sample_id,sample_rank,q_index,filename,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
apps_python_22,34,,apps_python_22.txt,ok,0.0,-3.40625,3.40625,0.999229501146789,1.165137614678899,0.9987815366972477,1.0596330275229358,L21H1,<tool_call>,I,full,
codecontests_java_22,35,,codecontests_java_22.txt,ok,0.0,-6.375,6.375,0.9996553308823529,1.0735294117647058,0.9991479013480392,1.0735294117647058,L21H12,<tool_call>,I,full,
codecontests_java_23,36,,codecontests_java_23.txt,ok,0.0,-7.21875,7.21875,0.9995983833874459,0.7575757575757576,0.999611066017316,0.7229437229437229,L21H12,<tool_call>,I,full,
codecontests_java_24,37,,codecontests_java_24.txt,ok,0.0,-7.375,7.375,0.9991806806144068,0.8050847457627118,0.996971001059322,0.7245762711864406,L21H12,<tool_call>,I,full,
codecontests_java_25,38,,codecontests_java_25.txt,ok,0.0,-4.0625,4.0625,0.9960036057692307,1.5,0.9950420673076923,1.4615384615384615,L21H12,<tool_call>,I,full,
codecontests_cpp_26,39,,codecontests_cpp_26.txt,ok,0.0,-3.734375,3.734375,0.9992604275627615,1.0334728033472804,0.9986679524058577,1.0585774058577406,L21H1,<tool_call>,I,full,
humaneval_python_26,40,,humaneval_python_26.txt,ok,0.0,-3.53125,3.53125,0.9997040064988938,0.9424778761061947,0.9983407079646017,0.9026548672566371,L20H14,<tool_call>,I,full,
codecontests_cpp_27,41,,codecontests_cpp_27.txt,ok,0.0,-1.71875,1.71875,0.9956498579545454,0.7681818181818182,0.9857954545454546,0.5681818181818182,L21H12,<tool_call>,I,full,
codecontests_java_27,42,,codecontests_java_27.txt,ok,0.0,-6.875,6.875,0.9984730113636363,0.8772727272727273,0.9913352272727273,0.6181818181818182,L21H12,<tool_call>,I,full,
codecontests_cpp_28,43,,codecontests_cpp_28.txt,ok,0.0,-2.453125,2.453125,0.9997714097332803,0.9490445859872612,0.9961435111464968,0.5191082802547771,L21H12,<tool_call>,I,full,
codecontests_java_28,44,,codecontests_java_28.txt,ok,0.0,-4.78125,4.78125,0.9997303283292484,0.8562091503267973,0.9958639705882353,0.6372549019607843,L21H12,<tool_call>,I,full,
apps_python_29,45,,apps_python_29.txt,ok,0.0,-3.015625,3.015625,0.9981480731865285,1.16580310880829,0.9967414183937824,1.1554404145077721,L21H1,<tool_call>,I,full,
