group,promote_signed_recovery_median,suppress_signed_recovery_median,promote_boundary_flip_rate,suppress_boundary_flip_rate,promote_endpoint_authenticity_median,suppress_endpoint_authenticity_median,duality_balance
shared_backbone,0.9672131147540983,0.9701492537313433,0.9966358284272497,0.9991589571068125,0.9574468085106383,0.9473684210526316,0.9969735182849936
shared_core,0.9538461538461539,0.9469964664310954,0.9957947855340622,0.9983179142136249,0.95,0.9375,0.992818876097116
forward_selective,0.8201058201058201,0.6190476190476191,0.9150546677880572,0.8957106812447435,0.8201058201058201,0.6190476190476191,0.7548387096774194
reverse_selective,0.7428571428571429,0.5531914893617021,0.7981497056349874,0.8553406223717409,0.7428571428571429,0.5531914893617021,0.7446808510638298
reverse_only_core,0.3090909090909091,0.16981132075471697,0.02691337258200168,0.04709840201850295,0.3090909090909091,0.16981132075471694,0.5493895671476138
forward_only_core,0.47058823529411764,0.1590909090909091,0.21362489486963834,0.08242220353238015,0.47058823529411764,0.15909090909090906,0.3380681818181818
