node,layer,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance,forward_score_norm_median,reverse_score_norm_median
MLP27,27,0.9993829715875546,0.9990772134151482,0.9990772134151482,0.9993829715875546,-0.0003057581724064118,-0.00015299687964811682,0.8017928286852589,0.7988026702596767
L24H6,24,0.9742125350016168,0.9948085722889137,0.9742125350016168,0.9948085722889137,0.020596037287296975,0.010460038854351405,0.6685992578849722,0.35267857142857145
L23H6,23,0.9961053634560207,0.9100045883997815,0.9100045883997815,0.9961053634560207,-0.08610077505623925,-0.045170938314660666,0.6682195512127632,0.24236641221374045
L21H12,21,0.9959893489124966,0.8656692699725504,0.8656692699725504,0.9959893489124966,-0.13032007893994613,-0.07000213552471571,1.0079260651629074,0.32170542635658916
MLP19,19,0.718278378271277,0.7542125871565921,0.718278378271277,0.7542125871565921,0.035934208885315067,0.024403687172962367,0.5616113744075829,0.4312977099236641
MLP16,16,0.7160957724560063,0.759440742268803,0.7160957724560063,0.759440742268803,0.043344969812796674,0.02937573511752815,0.6266458691910499,0.47397609305145105
MLP17,17,0.678076607713765,0.9115001540834454,0.678076607713765,0.9115001540834454,0.23342354636968043,0.1468463505378417,0.636986301369863,0.5291005291005291
L17H8,17,0.5551724901266852,0.6087174523509185,0.5551724901266852,0.6087174523509185,0.05354496222423322,0.04600517649482443,0.40119760479041916,0.23269128350789986
L21H1,21,0.9501043184232267,0.5430383283073528,0.5430383283073528,0.9501043184232267,-0.40706599011587397,-0.2726236445038894,0.8044295988685264,0.27325581395348836
L20H5,20,0.4558638643431844,0.5068814014359447,0.4558638643431844,0.5068814014359447,0.05101753709276036,0.052991729906324656,0.4328160888841408,0.22568753111000497
MLP12,12,0.3481757669717075,0.45443741429740736,0.3481757669717075,0.45443741429740736,0.10626164732569987,0.13239459531137518,0.5,0.39663461538461536
MLP11,11,0.4469276391211729,0.32927601133818,0.32927601133818,0.4469276391211729,-0.11765162778299287,-0.15157314412701783,0.4949258684811794,0.42962962962962964
L12H6,12,0.3727083136558594,0.3035508175050789,0.3035508175050789,0.3727083136558594,-0.06915749615078048,-0.1022647872156009,0.19355413105413105,0.14369803568823844
L13H9,13,0.27564372367089973,0.26601601883202736,0.26601601883202736,0.27564372367089973,-0.009627704838872375,-0.017774451530003357,0.1854575163398693,0.11561264822134387
L16H8,16,0.2630394455129606,0.7492286296617617,0.2630394455129606,0.7492286296617617,0.48618918414880113,0.4802968660894324,0.39645717530332913,0.24803149606299213
L16H4,16,0.2581080320140666,0.5322675282681447,0.2581080320140666,0.5322675282681447,0.2741594962540781,0.3468724363847824,0.39826839826839827,0.23902439024390243
L17H2,17,0.19705590484713945,0.37197293177982055,0.19705590484713945,0.37197293177982055,0.1749170269326811,0.3073957164799224,0.3805970149253731,0.24514380009429515
MLP18,18,0.21649805374040662,0.1940633282286687,0.1940633282286687,0.21649805374040662,-0.02243472551173792,-0.05464402278689662,0.558091286307054,0.4305555555555556
L17H12,17,0.18152540090200098,0.2108844464926404,0.18152540090200098,0.2108844464926404,0.029359045590639427,0.07481730080314071,0.3786610878661088,0.23992637215528784
MLP13,13,0.19177509700622727,0.18138589099323282,0.18138589099323282,0.19177509700622727,-0.01038920601299445,-0.027841082929626833,0.4772727272727273,0.36326979472140764
L18H14,18,0.30527271257981964,0.1805124512993824,0.1805124512993824,0.30527271257981964,-0.12476026128043724,-0.2568218845634833,0.38374818254812176,0.23780487804878048
L2H14,2,0.455107363246008,0.1709036900416964,0.1709036900416964,0.455107363246008,-0.2842036732043116,-0.45399146183078065,0.08432765151515151,0.06479203935599284
L13H3,13,0.14303806596032007,0.1815374818618711,0.14303806596032007,0.1815374818618711,0.03849941590155104,0.1186146527668861,0.18779205607476634,0.14673822251921148
MLP5,5,0.1415881694317038,0.14163889659862763,0.1415881694317038,0.14163889659862763,5.0727166923836275e-05,0.0001791042347570122,0.16926916506512918,0.1480908152734778
L2H15,2,0.13259698070102596,0.13870049882816554,0.13259698070102596,0.13870049882816554,0.006103518127139579,0.02249751135812835,0.05854982838205705,0.06286764705882353
L9H3,9,0.14875220744802178,0.1320044046540625,0.1320044046540625,0.14875220744802178,-0.016747802793959293,-0.05965238955038296,0.2181076322801675,0.15314348070965925
L10H2,10,0.16971498336127752,0.1270485866737809,0.1270485866737809,0.16971498336127752,-0.04266639668749661,-0.14377235279403122,0.1943120385021097,0.16457286432160803
MLP6,6,0.1340959276799618,0.12487510454122987,0.12487510454122987,0.1340959276799618,-0.009220823138731946,-0.03560561603992944,0.19083969465648856,0.12727272727272726
L11H1,11,0.1141747589937612,0.16355163281080695,0.1141747589937612,0.16355163281080695,0.04937687381704575,0.1777896349576727,0.1809023435173605,0.16425075548548154
L20H14,20,0.11034869952956267,0.1775723431526499,0.11034869952956267,0.1775723431526499,0.06722364362308722,0.2334794393520034,0.5,0.2070761260675424
MLP20,20,0.1079978821054467,0.18032607709887005,0.1079978821054467,0.18032607709887005,0.07232819499342336,0.25085738692346754,0.41295546558704455,0.2560824876398647
L13H6,13,0.14093200391391586,0.10717453431027556,0.10717453431027556,0.14093200391391586,-0.0337574696036403,-0.1360603789213194,0.2722602739726027,0.22687861271676302
MLP4,4,0.13198437643229385,0.10487489076962599,0.10487489076962599,0.13198437643229385,-0.027109485662667868,-0.11445397928871129,0.16265060240963855,0.13178294573643412
L6H0,6,0.12224865120840812,0.10243594888037387,0.10243594888037387,0.12224865120840812,-0.019812702328034254,-0.08818006361008032,0.05307112068965517,0.0575
MLP3,3,0.09793801197869628,0.11728567750928955,0.09793801197869628,0.11728567750928955,0.019347665530593264,0.08989561314844613,0.17251131221719457,0.125
L16H9,16,0.09708910064183097,0.18135702202163628,0.09708910064183097,0.18135702202163628,0.08426792137980531,0.30263636129583443,0.49044585987261147,0.2147887323943662
MLP2,2,0.14323813720016806,0.08093182399172097,0.08093182399172097,0.14323813720016806,-0.062306313208447095,-0.27794229377196983,0.18354430379746836,0.1420807453416149
L15H5,15,0.07998117941923368,0.16070730932870636,0.07998117941923368,0.16070730932870636,0.08072612990947269,0.3353967210040227,0.34022556390977443,0.30553883806772586
MLP10,10,0.08708487135202815,0.07733725237560826,0.07733725237560826,0.08708487135202815,-0.009747618976419889,-0.05928410821749706,0.3577981651376147,0.21610169491525424
MLP9,9,0.12364302340088763,0.07354714092435241,0.07354714092435241,0.12364302340088763,-0.05009588247653522,-0.2540485862870343,0.35222082667275634,0.3235294117647059
MLP0,0,0.070702504015868,0.07507101133624576,0.070702504015868,0.07507101133624576,0.00436850732037776,0.029967770961862965,0.1588235294117647,0.1190668960631515
L11H8,11,0.08236124803914607,0.06841681850161728,0.06841681850161728,0.08236124803914607,-0.013944429537528794,-0.0924831433208415,0.17690497137454697,0.13718616452991456
MLP1,1,0.06579351961366345,0.0851653330981089,0.06579351961366345,0.0851653330981089,0.019371813484445458,0.12832512394243156,0.1706450664072222,0.12811278040749124
L4H15,4,0.10808839781234716,0.05879505431867876,0.05879505431867876,0.10808839781234716,-0.0492933434936684,-0.29537586180184305,0.05941901408450704,0.0588052908113392
L13H10,13,0.07516510202745239,0.056732337454568495,0.056732337454568495,0.07516510202745239,-0.01843276457288389,-0.1397507384925125,0.2535885167464115,0.245
L9H5,9,0.07125675644120073,0.05610094992269452,0.05610094992269452,0.07125675644120073,-0.015155806518506211,-0.11900188022546504,0.16370558375634517,0.14332060510299627
L11H5,11,0.05509006829682152,0.06191261631147666,0.05509006829682152,0.06191261631147666,0.006822548014655143,0.058311038225282455,0.16447368421052633,0.11452913279132791
MLP7,7,0.06161750693753722,0.052715963396799334,0.052715963396799334,0.06161750693753722,-0.008901543540737883,-0.07785597266231652,0.24691358024691357,0.1976284584980237
L13H13,13,0.05547849686640364,0.04986266121512376,0.04986266121512376,0.05547849686640364,-0.005615835651279877,-0.05331093518958255,0.1897590361445783,0.15634242382557262
L16H13,16,0.04707102604025052,0.13964939080951086,0.04707102604025052,0.13964939080951086,0.09257836476926035,0.495812757550507,0.3519253604749788,0.23492462311557788
L11H9,11,0.08440181397766841,0.04659124896021757,0.04659124896021757,0.08440181397766841,-0.037810565017450844,-0.28864555243951945,0.22238372093023256,0.1483353541161471
MLP14,14,0.04678083845114933,0.04355907725482854,0.04355907725482854,0.04678083845114933,-0.0032217611963207896,-0.03566265444398242,0.46912117249645857,0.42265193370165743
MLP15,15,0.05449746047024152,0.042232465954689116,0.042232465954689116,0.05449746047024152,-0.0122649945155524,-0.12679627669386181,0.4063508064516129,0.2634228187919463
MLP22,22,0.044552633626146455,0.041575574084224645,0.041575574084224645,0.044552633626146455,-0.00297705954192181,-0.03456544169516404,0.3554582210242587,0.22993418981044147
MLP21,21,0.3297281590486184,0.04151448490872642,0.04151448490872642,0.3297281590486184,-0.28821367413989196,-0.7763485117647401,0.4389252545002444,0.19597736001617141
L12H0,12,0.03700589583333856,0.10623569145948708,0.03700589583333856,0.10623569145948708,0.06922979562614852,0.4833079340612413,0.1951219512195122,0.13914708148718935
L17H1,17,0.036947017794134285,0.036272515535917864,0.036272515535917864,0.036947017794134285,-0.0006745022582164209,-0.009212053499111538,0.3668032786885246,0.26685653422246924
L12H10,12,0.018193957782293903,0.021151250896843207,0.018193957782293903,0.021151250896843207,0.002957293114549304,0.07516272536933868,0.18265931372549019,0.17889129294518752
L6H8,6,0.05271372453341593,0.017885708440741988,0.017885708440741988,0.05271372453341593,-0.03482801609267394,-0.49331863763583367,0.03340890522875817,0.05121415301067073
L13H15,13,0.01977091950831745,0.01652242664317733,0.01652242664317733,0.01977091950831745,-0.003248492865140118,-0.08950656827233125,0.16332329911830507,0.12551429941691697
L13H11,13,0.016343885536454834,0.0269425996040463,0.016343885536454834,0.0269425996040463,0.010598714067591466,0.24485042001423085,0.14969257912745937,0.1646730006105006
L15H9,15,0.014416021985431642,0.08669144551153872,0.014416021985431642,0.08669144551153872,0.07227542352610708,0.7148376407338338,0.3205032467532467,0.19497873199205168
L12H3,12,0.01423797566219623,0.022207222856842585,0.01423797566219623,0.022207222856842585,0.007969247194646355,0.21866384375662692,0.16456941249497936,0.18760681404708085
L16H6,16,0.013294603004081442,0.03278606156701249,0.013294603004081442,0.03278606156701249,0.01949145856293105,0.4229856219382283,0.3328488372093023,0.17871259175607002
L9H15,9,0.011857641073096944,0.017851799737322736,0.011857641073096944,0.017851799737322736,0.005994158664225792,0.20175939030543866,0.15338645418326693,0.10563119413136417
MLP8,8,0.011317444475942347,0.018310042351193573,0.011317444475942347,0.018310042351193573,0.006992597875251225,0.23601724695888415,0.15333333333333332,0.13157894736842105
L6H7,6,0.04914773786723498,0.009924704986542413,0.009924704986542413,0.04914773786723498,-0.039223032880692565,-0.66398190062635,0.05699636496601566,0.07635571994408201
L11H4,11,0.009435156818432773,0.018479394927612466,0.009435156818432773,0.018479394927612466,0.009044238109179693,0.3239972538860856,0.1736111111111111,0.13389121338912133
L12H13,12,0.009156548844242428,0.03437673214369043,0.009156548844242428,0.03437673214369043,0.025220183299448,0.5793310939839079,0.12440191387559808,0.07224462365591398
MLP23,23,0.008369874298062832,0.023073368487304367,0.008369874298062832,0.023073368487304367,0.014703494189241535,0.4676201589514211,0.46122515477354187,0.34969711090400746
L23H5,23,0.17059095297636406,0.007719299462789978,0.007719299462789978,0.17059095297636406,-0.16287165351357408,-0.9134172112125286,0.39460595558978306,0.22900763358778625
