sample_id,group,n_nodes,promote_suff_ratio,suppress_suff_ratio,promote_tool_top1,suppress_no_tool_top1,promote_nec_drop,suppress_nec_drop,promote_nec_top1_drop,suppress_nec_top1_drop
apps_python_1,full_functional_circuit,31,0.9997901053450227,0.9998123004872311,True,True,0.0,0.0,0.0,0.0
apps_python_1,tool_schema_readers,5,0.96875,0.9186827956989247,True,True,6.186368778282603e-05,0.00019294984879025812,0.0,0.0
apps_python_1,user_query_readers,3,0.5180995475113123,0.23118279569892472,False,False,-0.00017841045673072653,5.250336021500601e-06,0.0,0.0
apps_python_1,suppression_readers,5,0.9748303167420814,0.7903225806451613,True,True,5.634014423083755e-05,-5.972257224462485e-05,0.0,0.0
apps_python_1,promotion_routers_mediators,3,-0.22171945701357465,0.0,False,False,7.732960972894887e-06,0.00025070354502687575,0.0,0.0
apps_python_1,tool_call_writers,7,0.957579185520362,0.8978494623655914,True,True,-0.000134774462669629,0.0007311092909946248,0.0,0.0
apps_python_1,no_tool_writers,2,0.2669683257918552,-0.08064516129032258,False,False,-0.00015990658583142636,2.3626512096752705e-05,0.0,0.0
apps_python_1,arbitration_integrators,6,0.9987185378959276,0.995085685483871,True,True,4.1978930995556496e-05,0.002300959761424637,0.0,0.0
codecontests_cpp_1,full_functional_circuit,31,0.9999749525538031,0.9979876893939394,True,True,0.0,0.0,0.0,0.0
codecontests_cpp_1,tool_schema_readers,5,0.9944722877358491,0.8630050505050505,True,False,0.00015690641583143705,0.002189867424242431,0.0,0.0
codecontests_cpp_1,user_query_readers,3,-0.05660377358490566,-0.08080808080808081,False,False,-2.8790168038472785e-07,-0.0006214488636363535,0.0,0.0
codecontests_cpp_1,suppression_readers,5,0.8431603773584906,0.3484848484848485,False,False,4.2321547022439177e-05,0.0027028093434343647,0.0,0.0
codecontests_cpp_1,promotion_routers_mediators,3,0.6320754716981132,0.15151515151515152,False,False,1.7274100825304117e-06,-0.0008433948863635354,0.0,0.0
codecontests_cpp_1,tool_call_writers,7,0.9780365566037735,0.6691919191919192,True,False,0.00012581303434555657,0.006628787878787956,0.0,0.0
codecontests_cpp_1,no_tool_writers,2,-0.09433962264150944,-0.04040404040404041,False,False,2.8790168049575016e-07,4.932133838386754e-05,0.0,0.0
codecontests_cpp_1,arbitration_integrators,6,0.9927771226415094,0.9655934343434344,True,True,0.00012811624778896746,1.9728535353591425e-05,0.0,0.0
