edge,source,target,sign,n_samples,promote_source_ratio_median,promote_blocked_ratio_median,promote_mediated_ratio_median,suppress_source_ratio_median,suppress_blocked_ratio_median,suppress_mediated_ratio_median
L24H6->MLP27,L24H6,MLP27,no_tool_bias,1722,0.5741183767499557,0.2687149749767749,0.3053097345132743,0.4184990074820583,0.16245264546886307,0.2560199942045784
L21H12->MLP27,L21H12,MLP27,shared,1722,0.7068972611758509,0.3713760504201681,0.3284202317290552,0.36799628718838906,0.2027201873016851,0.16629297458893869
MLP16->MLP17,MLP16,MLP17,no_tool_bias,1722,0.5244572441293753,0.2943391188251001,0.2200342182011003,0.4313445795088067,0.22178505817513777,0.2101375582079966
L21H1->MLP27,L21H1,MLP27,shared,1722,0.5725214198286414,0.27873820168902136,0.2915780141843971,0.26336189310485514,0.1295921427500375,0.12954695767195767
L23H6->MLP27,L23H6,MLP27,shared,1722,0.5251597604597886,0.2625,0.2635467980295566,0.27993710691823903,0.1456003441071648,0.1334474885844749
MLP11->MLP16,MLP11,MLP16,tool_bias,1722,0.33122119815668205,0.07918216894033347,0.24221491228070174,0.15266007532956688,0.013157894736842105,0.1325481520041645
MLP17->MLP19,MLP17,MLP19,no_tool_bias,1722,0.5539392015799125,0.40192662735989515,0.1492982790372769,0.47361459203564465,0.30524202071443673,0.16927299848388516
MLP12->MLP16,MLP12,MLP16,no_tool_bias,1722,0.25683386610103665,0.06950759842048582,0.17045650301464257,0.22692863190397927,0.09205263157894736,0.12295783926218709
L23H6->L24H6,L23H6,L24H6,tool_bias,1722,0.5251597604597886,0.28856432125088843,0.23545100474147662,0.27993710691823903,0.22112671540336026,0.05346752766286618
MLP16->MLP19,MLP16,MLP19,shared,1722,0.5244572441293753,0.375,0.13344376212023273,0.4313445795088067,0.3026315789473684,0.13153021442495128
L17H8->MLP27,L17H8,MLP27,no_tool_bias,1722,0.3184644524374378,0.15384615384615385,0.16587677725118483,0.20224719101123595,0.11222449897546105,0.08917197452229297
L21H12->L24H6,L21H12,L24H6,tool_bias,1722,0.7068972611758509,0.49786766840882696,0.18963095699341342,0.36799628718838906,0.33035714285714285,0.03785831285831287
L21H12->L23H6,L21H12,L23H6,tool_bias,1722,0.7068972611758509,0.5773268398268399,0.1208053691275168,0.36799628718838906,0.2672035025836196,0.10093948482709954
MLP17->L24H6,MLP17,L24H6,no_tool_bias,1722,0.5539392015799125,0.3617275520655514,0.1715693060169804,0.47361459203564465,0.4271195097037793,0.0482758620689655
MLP19->L24H6,MLP19,L24H6,no_tool_bias,1722,0.537846956964604,0.3423146473779385,0.17982666483968213,0.376483731322441,0.3369807617971514,0.03836952521163045
L20H5->MLP27,L20H5,MLP27,no_tool_bias,1722,0.307643234704417,0.16576062871155495,0.1448025616299483,0.1936619718309859,0.12307692307692308,0.06997808369289774
L21H1->L24H6,L21H1,L24H6,tool_bias,1722,0.5725214198286414,0.3706240154034658,0.18508951338716534,0.26336189310485514,0.23705097068114356,0.02598701298701296
MLP11->MLP12,MLP11,MLP12,shared,1722,0.33122119815668205,0.19701674614616835,0.10846710571448172,0.15266007532956688,0.020444413485650598,0.10116775717920753
MLP16->L24H6,MLP16,L24H6,no_tool_bias,1722,0.5244572441293753,0.33967035448182437,0.16573809671612139,0.4313445795088067,0.38988840216937837,0.03778024092354024
MLP16->L21H12,MLP16,L21H12,shared,1722,0.5244572441293753,0.3915880503144654,0.10356391633924672,0.4313445795088067,0.3412613122171946,0.08214285714285716
L21H1->L23H6,L21H1,L23H6,tool_bias,1722,0.5725214198286414,0.4621770417894919,0.10239529546758469,0.26336189310485514,0.17857466404952438,0.07824608104111211
MLP16->L17H2,MLP16,L17H2,no_tool_bias,1722,0.5244572441293753,0.4276272031925507,0.08054623415361672,0.4313445795088067,0.3269835510401548,0.0982142857142857
MLP16->L21H1,MLP16,L21H1,tool_bias,1722,0.5244572441293753,0.4215537532257607,0.08421089954969327,0.4313445795088067,0.3345703335852316,0.08950617283950618
MLP19->L21H1,MLP19,L21H1,tool_bias,1722,0.537846956964604,0.437066811259371,0.09426229508196722,0.376483731322441,0.3084876543209877,0.06818181818181818
L16H4->MLP17,L16H4,MLP17,no_tool_bias,1722,0.2588349150849151,0.18518518518518517,0.08064516129032256,0.19777256258234518,0.11702127659574468,0.07608695652173914
MLP19->L21H12,MLP19,L21H12,shared,1722,0.537846956964604,0.4490731911972234,0.08544303797468353,0.376483731322441,0.3157768785624157,0.06421502474134053
MLP19->L23H6,MLP19,L23H6,no_tool_bias,1722,0.537846956964604,0.4582364341085271,0.07555097510702397,0.376483731322441,0.29866201536695225,0.07368708342909673
MLP17->L21H12,MLP17,L21H12,no_tool_bias,1722,0.5539392015799125,0.4460431654676259,0.08274621681964775,0.47361459203564465,0.40026178010471203,0.0657906790335509
MLP16->L23H6,MLP16,L23H6,no_tool_bias,1722,0.5244572441293753,0.4465476190476191,0.06590116470355992,0.4313445795088067,0.35119235379471325,0.07770876466528642
MLP19->L20H5,MLP19,L20H5,shared,1722,0.537846956964604,0.46653491436100136,0.06427383443317775,0.376483731322441,0.30039525691699603,0.07804878048780488
L20H5->L21H12,L20H5,L21H12,tool_bias,1722,0.307643234704417,0.20943058443058443,0.09375,0.1936619718309859,0.15010729613733906,0.04186046511627908
L17H8->L21H12,L17H8,L21H12,tool_bias,1722,0.3184644524374378,0.23586370695167624,0.0835076708507671,0.20224719101123595,0.15816530744984242,0.04195804195804194
MLP17->L21H1,MLP17,L21H1,shared,1722,0.5539392015799125,0.4823529411764706,0.06298461261044658,0.47361459203564465,0.41256389561474305,0.058314648729446944
L16H8->L17H2,L16H8,L17H2,no_tool_bias,1722,0.2722222222222222,0.20733804343762852,0.060606060606060635,0.21365095521453178,0.15458937198067632,0.05719738276990184
MLP17->L23H6,MLP17,L23H6,no_tool_bias,1722,0.5539392015799125,0.4950845410628019,0.05007961783439491,0.47361459203564465,0.40900468883205454,0.06586826347305388
L17H8->MLP19,L17H8,MLP19,shared,1722,0.3184644524374378,0.2527448397013614,0.06965861143076335,0.20224719101123595,0.15885225885225884,0.04364698577557012
MLP19->MLP21,MLP19,MLP21,tool_bias,1722,0.537846956964604,0.4620401642162315,0.060903172256374344,0.376483731322441,0.3241991991991992,0.050293413375602836
MLP16->L20H5,MLP16,L20H5,tool_bias,1722,0.5244572441293753,0.4694160997732426,0.04663695769855386,0.4313445795088067,0.36752483443708606,0.06284153005464482
L16H4->L17H8,L16H4,L17H8,no_tool_bias,1722,0.2588349150849151,0.2007747995692234,0.06283437759276743,0.19777256258234518,0.15336191248600006,0.04223065666727638
L16H8->L17H8,L16H8,L17H8,no_tool_bias,1722,0.2722222222222222,0.20958260489510488,0.06282953761214628,0.21365095521453178,0.16666666666666666,0.04197044576014093
MLP12->L17H8,MLP12,L17H8,no_tool_bias,1722,0.25683386610103665,0.20155038759689922,0.059186279875935055,0.22692863190397927,0.1859905117883841,0.04519774011299435
L20H5->L21H1,L20H5,L21H1,tool_bias,1722,0.307643234704417,0.2546764261647496,0.05208695652173913,0.1936619718309859,0.15256906171909768,0.0399004975124378
L20H5->MLP21,L20H5,MLP21,tool_bias,1722,0.307643234704417,0.2564946018893387,0.049334729761623786,0.1936619718309859,0.156,0.03936735484585156
MLP17->L20H5,MLP17,L20H5,no_tool_bias,1722,0.5539392015799125,0.5089751071579498,0.036226820289064626,0.47361459203564465,0.4322429906542056,0.04850746268656714
L13H9->MLP16,L13H9,MLP16,shared,1722,0.10456030897207368,0.06322974876198265,0.04075700047460846,0.07142857142857142,0.03906526774764954,0.03333333333333333
MLP16->L17H8,MLP16,L17H8,no_tool_bias,1722,0.5244572441293753,0.4830490944194171,0.028890659382350747,0.4313445795088067,0.39919185727651063,0.03883644450753543
MLP11->L17H8,MLP11,L17H8,tool_bias,1722,0.33122119815668205,0.2878787878787879,0.031250000000000014,0.15266007532956688,0.13244153082919916,0.022949308755760366
L17H2->MLP19,L17H2,MLP19,no_tool_bias,1722,0.2511243319552284,0.22849891225525742,0.02615329077367383,0.16666666666666666,0.14917200854700854,0.022111670659560947
L16H8->MLP17,L16H8,MLP17,no_tool_bias,1722,0.2722222222222222,0.2781550927738198,-0.003237093530003343,0.21365095521453178,0.17106269777793232,0.044198895027624314
MLP12->L13H9,MLP12,L13H9,no_tool_bias,1722,0.25683386610103665,0.24070891514500536,0.020761494252873547,0.22692863190397927,0.2182741116751269,0.008225279061900986
L18H14->MLP19,L18H14,MLP19,shared,1722,0.26185366850602904,0.24146260203231718,0.02227182539682543,0.11707317073170732,0.10387112887112887,0.004672897196261683
MLP11->L12H6,MLP11,L12H6,tool_bias,1722,0.33122119815668205,0.31368092691622107,0.019726317609926936,0.15266007532956688,0.15277453611856692,0.005669407683412564
L12H6->MLP16,L12H6,MLP16,shared,1722,0.10768968392329266,0.08972150039543554,0.024822695035460994,0.041056071551427584,0.041379310344827586,0.0
MLP21->L23H6,MLP21,L23H6,tool_bias,1722,0.4049187764624557,0.38353128791139984,0.024413167064001484,0.14285714285714285,0.1473844180469578,0.0
MLP17->L18H14,MLP17,L18H14,tool_bias,1722,0.5539392015799125,0.5451991828396323,0.007954865016872925,0.47361459203564465,0.459891901166781,0.014847883597883638
MLP16->L18H14,MLP16,L18H14,tool_bias,1722,0.5244572441293753,0.5088376971486287,0.014604464878187506,0.4313445795088067,0.42293552036199095,0.005649897854954039
MLP11->L16H8,MLP11,L16H8,no_tool_bias,1722,0.33122119815668205,0.3107084357084357,0.01219557538575941,0.15266007532956688,0.14579490189501929,0.006349782293178521
MLP12->L16H8,MLP12,L16H8,no_tool_bias,1722,0.25683386610103665,0.26855240995076446,-0.010050251256281409,0.22692863190397927,0.24043715846994534,0.0
L2H14->MLP11,L2H14,MLP11,tool_bias,1722,0.0415587219343696,0.02997872418473277,0.009009009009009014,0.006097560975609756,0.0,0.0
MLP12->L16H4,MLP12,L16H4,no_tool_bias,1722,0.25683386610103665,0.2573390015511001,0.0,0.22692863190397927,0.23196412843302106,0.0
MLP11->L16H4,MLP11,L16H4,no_tool_bias,1722,0.33122119815668205,0.3373863552368985,0.0,0.15266007532956688,0.15597117364447494,0.0
