condition,layer,head,query_span,key_span,mass_mean,density_mean
clean,0,L0H0,instruction_suffix,instruction_suffix,0.446392544692204,0.049599171741785616
clean,0,L0H0,instruction_suffix,task_body,0.0,0.0
clean,0,L0H0,instruction_suffix,assistant_prefix,0.0,0.0
clean,0,L0H0,task_body,system_preamble,0.051329684252633685,0.0014665624080530428
clean,0,L0H0,task_body,tools_block,0.07049079100469635,0.0013053850176095358
clean,0,L0H0,task_body,tool_instruction,0.0753737786192316,0.003426080841006816
clean,0,L0H0,task_body,tool_call_example,0.0766131714936757,0.0033310074579063573
clean,0,L0H0,task_body,user_lead_phrase,0.0042262392512462475,0.0024443572875034623
clean,0,L0H0,task_body,function_body_anchor,0.02165830049066761,0.005414575122666902
clean,0,L0H0,task_body,file_target,0.007248024943091268,0.003624012471545634
clean,0,L0H0,task_body,instruction_suffix,0.05328164442776659,0.005920182715550077
clean,0,L0H0,task_body,task_body,0.6397783668530543,0.008489946064669471
clean,0,L0H0,task_body,assistant_prefix,0.0,0.0
clean,0,L0H0,assistant_prefix,system_preamble,0.025456658583545625,0.000727333102680062
clean,0,L0H0,assistant_prefix,tools_block,0.015235196758679992,0.0002821332730008487
clean,0,L0H0,assistant_prefix,tool_instruction,0.015930502182398165,0.0007241137360459847
clean,0,L0H0,assistant_prefix,tool_call_example,0.013175620521911445,0.0005728530661638549
clean,0,L0H0,assistant_prefix,user_lead_phrase,0.0006536858485871364,0.0003803833360663438
clean,0,L0H0,assistant_prefix,function_body_anchor,0.001971486611489758,0.0004928716528724395
clean,0,L0H0,assistant_prefix,file_target,0.0004167850633269006,0.0002083925316634503
clean,0,L0H0,assistant_prefix,instruction_suffix,0.005062777997674771,0.0005625308885482318
clean,0,L0H0,assistant_prefix,task_body,0.49077577836573955,0.006549514168553597
clean,0,L0H0,assistant_prefix,assistant_prefix,0.43132150582573203,0.04792461181493538
clean,0,L0H1,system_preamble,system_preamble,1.0,0.02857142873108387
clean,0,L0H1,system_preamble,tools_block,0.0,0.0
clean,0,L0H1,system_preamble,tool_instruction,0.0,0.0
clean,0,L0H1,system_preamble,tool_call_example,0.0,0.0
clean,0,L0H1,system_preamble,user_lead_phrase,0.0,0.0
clean,0,L0H1,system_preamble,function_body_anchor,0.0,0.0
clean,0,L0H1,system_preamble,file_target,0.0,0.0
clean,0,L0H1,system_preamble,instruction_suffix,0.0,0.0
clean,0,L0H1,system_preamble,task_body,0.0,0.0
clean,0,L0H1,system_preamble,assistant_prefix,0.0,0.0
clean,0,L0H1,tools_block,system_preamble,0.049485728948796666,0.0014138779788942838
clean,0,L0H1,tools_block,tools_block,0.9505142481816371,0.017602115493337834
clean,0,L0H1,tools_block,tool_instruction,0.0,0.0
clean,0,L0H1,tools_block,tool_call_example,0.0,0.0
clean,0,L0H1,tools_block,user_lead_phrase,0.0,0.0
clean,0,L0H1,tools_block,function_body_anchor,0.0,0.0
clean,0,L0H1,tools_block,file_target,0.0,0.0
clean,0,L0H1,tools_block,instruction_suffix,0.0,0.0
clean,0,L0H1,tools_block,task_body,0.0,0.0
clean,0,L0H1,tools_block,assistant_prefix,0.0,0.0
clean,0,L0H1,tool_instruction,system_preamble,0.0395792414474614,0.001130835474327889
clean,0,L0H1,tool_instruction,tools_block,0.05171493925184669,0.0009576840442700505
clean,0,L0H1,tool_instruction,tool_instruction,0.9087059776118225,0.04130481773239613
clean,0,L0H1,tool_instruction,tool_call_example,0.0,0.0
clean,0,L0H1,tool_instruction,user_lead_phrase,0.0,0.0
clean,0,L0H1,tool_instruction,function_body_anchor,0.0,0.0
clean,0,L0H1,tool_instruction,file_target,0.0,0.0
clean,0,L0H1,tool_instruction,instruction_suffix,0.0,0.0
clean,0,L0H1,tool_instruction,task_body,0.0,0.0
clean,0,L0H1,tool_instruction,assistant_prefix,0.0,0.0
clean,0,L0H1,tool_call_example,system_preamble,0.01293845370088994,0.00036967010815545633
clean,0,L0H1,tool_call_example,tools_block,0.030652211034763375,0.0005676335411851438
clean,0,L0H1,tool_call_example,tool_instruction,0.08006139449281763,0.0036391543008566806
clean,0,L0H1,tool_call_example,tool_call_example,0.8763479770253354,0.038102085865845174
clean,0,L0H1,tool_call_example,user_lead_phrase,0.0,0.0
clean,0,L0H1,tool_call_example,function_body_anchor,0.0,0.0
clean,0,L0H1,tool_call_example,file_target,0.0,0.0
clean,0,L0H1,tool_call_example,instruction_suffix,0.0,0.0
clean,0,L0H1,tool_call_example,task_body,0.0,0.0
clean,0,L0H1,tool_call_example,assistant_prefix,0.0,0.0
clean,0,L0H1,user_lead_phrase,system_preamble,0.0011707757744361866,3.3450736427447194e-05
clean,0,L0H1,user_lead_phrase,tools_block,0.007276835176866815,0.00013475620605979085
clean,0,L0H1,user_lead_phrase,tool_instruction,0.0026043246854104266,0.00011837839475699726
clean,0,L0H1,user_lead_phrase,tool_call_example,0.03362909128664512,0.001462134401461675
clean,0,L0H1,user_lead_phrase,user_lead_phrase,0.955318975331641,0.683140326672076
clean,0,L0H1,user_lead_phrase,function_body_anchor,0.0,0.0
clean,0,L0H1,user_lead_phrase,file_target,0.0,0.0
clean,0,L0H1,user_lead_phrase,instruction_suffix,0.0,0.0
clean,0,L0H1,user_lead_phrase,task_body,0.0,0.0
clean,0,L0H1,user_lead_phrase,assistant_prefix,0.0,0.0
clean,0,L0H1,function_body_anchor,system_preamble,0.004921380471390956,0.00014061087135431902
clean,0,L0H1,function_body_anchor,tools_block,0.02107866319964045,0.00039034561402197146
clean,0,L0H1,function_body_anchor,tool_instruction,0.015579371858549625,0.0007081532636973383
clean,0,L0H1,function_body_anchor,tool_call_example,0.05694760138493333,0.0024759826561259386
clean,0,L0H1,function_body_anchor,user_lead_phrase,0.1822485632323283,0.1344531334735581
clean,0,L0H1,function_body_anchor,function_body_anchor,0.7192244100356239,0.17980610250890597
clean,0,L0H1,function_body_anchor,file_target,0.0,0.0
clean,0,L0H1,function_body_anchor,instruction_suffix,0.0,0.0
clean,0,L0H1,function_body_anchor,task_body,0.0,0.0
clean,0,L0H1,function_body_anchor,assistant_prefix,0.0,0.0
clean,0,L0H1,file_target,system_preamble,0.00047479748401965243,1.356564237599951e-05
clean,0,L0H1,file_target,tools_block,0.0031045464766824822,5.749160167663579e-05
clean,0,L0H1,file_target,tool_instruction,0.0013629764861325206,6.195347678652189e-05
clean,0,L0H1,file_target,tool_call_example,0.0060522882688565155,0.0002631429684542969
clean,0,L0H1,file_target,user_lead_phrase,0.0018989995535233833,0.0008791946469588296
clean,0,L0H1,file_target,function_body_anchor,0.019158762825602697,0.004789690706400674
clean,0,L0H1,file_target,file_target,0.9679476606582679,0.48397383032913394
clean,0,L0H1,file_target,instruction_suffix,0.0,0.0
clean,0,L0H1,file_target,task_body,0.0,0.0
clean,0,L0H1,file_target,assistant_prefix,0.0,0.0
clean,0,L0H1,instruction_suffix,system_preamble,0.005358860400396469,0.00015311029600512574
clean,0,L0H1,instruction_suffix,tools_block,0.01706530449672839,0.00031602415654565365
clean,0,L0H1,instruction_suffix,tool_instruction,0.013532140079766925,0.0006150972737872841
clean,0,L0H1,instruction_suffix,tool_call_example,0.02481679140284767,0.0010789909337411954
clean,0,L0H1,instruction_suffix,user_lead_phrase,0.005359240190201391,0.003461316736504125
clean,0,L0H1,instruction_suffix,function_body_anchor,0.04369653175940595,0.010924132939851488
clean,0,L0H1,instruction_suffix,file_target,0.042160863961448754,0.021080431980724377
clean,0,L0H1,instruction_suffix,instruction_suffix,0.8480102651838581,0.09422336275082382
clean,0,L0H1,instruction_suffix,task_body,0.0,0.0
clean,0,L0H1,instruction_suffix,assistant_prefix,0.0,0.0
clean,0,L0H1,task_body,system_preamble,0.011201147896634416,0.0003200327970851129
clean,0,L0H1,task_body,tools_block,0.008448524996470766,0.00015645416658897126
clean,0,L0H1,task_body,tool_instruction,0.0167257658564596,0.0007602620845554337
clean,0,L0H1,task_body,tool_call_example,0.01949577804811707,0.000847642523542508
clean,0,L0H1,task_body,user_lead_phrase,0.001516834537266322,0.0008112949359121278
clean,0,L0H1,task_body,function_body_anchor,0.0077190200641343125,0.0019297550160335781
clean,0,L0H1,task_body,file_target,0.0025958654217826367,0.0012979327108913184
clean,0,L0H1,task_body,instruction_suffix,0.029158259278965943,0.0032398065818452374
clean,0,L0H1,task_body,task_body,0.9031388063656923,0.012058761633722414
clean,0,L0H1,task_body,assistant_prefix,0.0,0.0
clean,0,L0H1,assistant_prefix,system_preamble,0.005644173078175759,0.00016126208806643927
clean,0,L0H1,assistant_prefix,tools_block,0.004221014422992776,7.816693371290846e-05
clean,0,L0H1,assistant_prefix,tool_instruction,0.0034780350760960357,0.00015809250326366648
clean,0,L0H1,assistant_prefix,tool_call_example,0.005125493239122119,0.0002228475325895055
clean,0,L0H1,assistant_prefix,user_lead_phrase,0.0006739914422289226,0.00031664241488158146
clean,0,L0H1,assistant_prefix,function_body_anchor,0.0030953059334604942,0.0007738264833651236
clean,0,L0H1,assistant_prefix,file_target,0.0008720465020131791,0.00043602325100658955
clean,0,L0H1,assistant_prefix,instruction_suffix,0.007111045230978751,0.0007901161372682972
clean,0,L0H1,assistant_prefix,task_body,0.26693250236458593,0.003513516263483444
clean,0,L0H1,assistant_prefix,assistant_prefix,0.7028463936592845,0.07809404374533566
clean,0,L0H2,system_preamble,system_preamble,1.0,0.02857142873108387
clean,0,L0H2,system_preamble,tools_block,0.0,0.0
clean,0,L0H2,system_preamble,tool_instruction,0.0,0.0
clean,0,L0H2,system_preamble,tool_call_example,0.0,0.0
clean,0,L0H2,system_preamble,user_lead_phrase,0.0,0.0
clean,0,L0H2,system_preamble,function_body_anchor,0.0,0.0
clean,0,L0H2,system_preamble,file_target,0.0,0.0
clean,0,L0H2,system_preamble,instruction_suffix,0.0,0.0
clean,0,L0H2,system_preamble,task_body,0.0,0.0
clean,0,L0H2,system_preamble,assistant_prefix,0.0,0.0
clean,0,L0H2,tools_block,system_preamble,0.033924897488447264,0.0009692827620766661
clean,0,L0H2,tools_block,tools_block,0.9660751165567805,0.017890280385243533
clean,0,L0H2,tools_block,tool_instruction,0.0,0.0
clean,0,L0H2,tools_block,tool_call_example,0.0,0.0
clean,0,L0H2,tools_block,user_lead_phrase,0.0,0.0
clean,0,L0H2,tools_block,function_body_anchor,0.0,0.0
clean,0,L0H2,tools_block,file_target,0.0,0.0
clean,0,L0H2,tools_block,instruction_suffix,0.0,0.0
clean,0,L0H2,tools_block,task_body,0.0,0.0
clean,0,L0H2,tools_block,assistant_prefix,0.0,0.0
clean,0,L0H2,tool_instruction,system_preamble,0.015334119303692635,0.0004381176880482761
clean,0,L0H2,tool_instruction,tools_block,0.05885204577472789,0.0010898527184780003
clean,0,L0H2,tool_instruction,tool_instruction,0.9258138005692551,0.042082446431611666
clean,0,L0H2,tool_instruction,tool_call_example,0.0,0.0
clean,0,L0H2,tool_instruction,user_lead_phrase,0.0,0.0
clean,0,L0H2,tool_instruction,function_body_anchor,0.0,0.0
clean,0,L0H2,tool_instruction,file_target,0.0,0.0
clean,0,L0H2,tool_instruction,instruction_suffix,0.0,0.0
clean,0,L0H2,tool_instruction,task_body,0.0,0.0
clean,0,L0H2,tool_instruction,assistant_prefix,0.0,0.0
clean,0,L0H2,tool_call_example,system_preamble,0.010503295512042958,0.0003000941599767963
clean,0,L0H2,tool_call_example,tools_block,0.02205736209270609,0.0004084696699337819
clean,0,L0H2,tool_call_example,tool_instruction,0.045339568209692,0.0020608894788916735
clean,0,L0H2,tool_call_example,tool_call_example,0.9220997659963169,0.040091293695659204
clean,0,L0H2,tool_call_example,user_lead_phrase,0.0,0.0
clean,0,L0H2,tool_call_example,function_body_anchor,0.0,0.0
clean,0,L0H2,tool_call_example,file_target,0.0,0.0
clean,0,L0H2,tool_call_example,instruction_suffix,0.0,0.0
clean,0,L0H2,tool_call_example,task_body,0.0,0.0
clean,0,L0H2,tool_call_example,assistant_prefix,0.0,0.0
clean,0,L0H2,user_lead_phrase,system_preamble,0.011985945138769591,0.00034245557850012587
clean,0,L0H2,user_lead_phrase,tools_block,0.021844593481368593,0.00040452951455061597
clean,0,L0H2,user_lead_phrase,tool_instruction,0.00512995946206585,0.00023317997491403917
clean,0,L0H2,user_lead_phrase,tool_call_example,0.5965653603693938,0.02593762427492285
clean,0,L0H2,user_lead_phrase,user_lead_phrase,0.36447412233406756,0.1835054437053418
clean,0,L0H2,user_lead_phrase,function_body_anchor,0.0,0.0
clean,0,L0H2,user_lead_phrase,file_target,0.0,0.0
clean,0,L0H2,user_lead_phrase,instruction_suffix,0.0,0.0
clean,0,L0H2,user_lead_phrase,task_body,0.0,0.0
clean,0,L0H2,user_lead_phrase,assistant_prefix,0.0,0.0
clean,0,L0H2,function_body_anchor,system_preamble,0.002021424478899995,5.775498476535088e-05
clean,0,L0H2,function_body_anchor,tools_block,0.014373015509560425,0.0002661669521387141
clean,0,L0H2,function_body_anchor,tool_instruction,0.008289581040211345,0.00037679913892480757
clean,0,L0H2,function_body_anchor,tool_call_example,0.015223875791078109,0.000661907648907187
clean,0,L0H2,function_body_anchor,user_lead_phrase,0.25247899532464324,0.17531226745952083
