condition,layer,head,key_span,decision_mass_mean,decision_density_mean
clean,0,L0H0,system_preamble,0.05950891922851712,0.0017002548337841706
clean,0,L0H0,tools_block,0.021302522543150678,0.00039449115808750865
clean,0,L0H0,tool_instruction,0.024725424378610788,0.0011238829266639366
clean,0,L0H0,tool_call_example,0.020162200859046478,0.0008766174285517638
clean,0,L0H0,user_lead_phrase,0.00023349549043538578,0.00018524576765290685
clean,0,L0H0,function_body_anchor,0.0002832195261580994,7.080488153952484e-05
clean,0,L0H0,file_target,0.00021516263314936586,0.00010758131657468293
clean,0,L0H0,instruction_suffix,0.0006125411046690781,6.806012273819929e-05
clean,0,L0H0,task_body,0.8141374680124533,0.010902012458668134
clean,0,L0H0,assistant_prefix,0.0588190448443761,0.006535449427745183
clean,0,L0H1,system_preamble,0.009553757900728533,0.0002729645113514787
clean,0,L0H1,tools_block,0.006366109960858702,0.00011789092526057977
clean,0,L0H1,tool_instruction,0.005512042081505913,0.0002505473670604805
clean,0,L0H1,tool_call_example,0.007442585630867804,0.00032359068024553385
clean,0,L0H1,user_lead_phrase,0.0009260401040065639,0.0004664873462443335
clean,0,L0H1,function_body_anchor,0.0051653816132969585,0.0012913454033242396
clean,0,L0H1,file_target,0.0004745679807966662,0.0002372839903983331
clean,0,L0H1,instruction_suffix,0.012543653501089658,0.0013937392777912682
clean,0,L0H1,task_body,0.30270168753013393,0.0039279570154623356
clean,0,L0H1,assistant_prefix,0.6493141730593933,0.07214601920919153
clean,0,L0H2,system_preamble,0.0007832343306488381,2.2378123717759543e-05
clean,0,L0H2,tools_block,0.0015257016782959556,2.8253734775849393e-05
clean,0,L0H2,tool_instruction,0.002386399863025753,0.000108472721199278
clean,0,L0H2,tool_call_example,0.006154481408182735,0.0002675861482945062
clean,0,L0H2,user_lead_phrase,0.0007249646022129421,0.00037177445873951947
clean,0,L0H2,function_body_anchor,0.001404642097150185,0.00035116052428754626
clean,0,L0H2,file_target,0.0007424343326812431,0.00037121716634062153
clean,0,L0H2,instruction_suffix,0.0034356157462389985,0.00038173508286764354
clean,0,L0H2,task_body,0.04135171060837982,0.0005331784725574341
clean,0,L0H2,assistant_prefix,0.9414908163194664,0.10461009067170267
clean,0,L0H3,system_preamble,1.7817656547443662e-05,5.09075901413341e-07
clean,0,L0H3,tools_block,3.456243620142693e-05,6.400451145051299e-07
clean,0,L0H3,tool_instruction,0.00016472803539703667,7.487637945769562e-06
clean,0,L0H3,tool_call_example,0.0002428945849152235,1.0560634135248414e-05
clean,0,L0H3,user_lead_phrase,2.1726617062135924e-05,9.732219891468738e-06
clean,0,L0H3,function_body_anchor,5.9619508911892993e-05,1.4904877227973248e-05
clean,0,L0H3,file_target,1.3010205036542079e-05,6.505102518271039e-06
clean,0,L0H3,instruction_suffix,7.027042810401754e-05,7.807825338958069e-06
clean,0,L0H3,task_body,0.0015089762710422834,1.9221491816569337e-05
clean,0,L0H3,assistant_prefix,0.9978663792204682,0.11087404220126636
clean,0,L0H4,system_preamble,0.0009290575698192839,2.654450202127907e-05
clean,0,L0H4,tools_block,0.0007575869840559419,1.4029388589748445e-05
clean,0,L0H4,tool_instruction,0.0027465655631655245,0.0001248438892686922
clean,0,L0H4,tool_call_example,0.0058621789851647215,0.00025487734744448364
clean,0,L0H4,user_lead_phrase,0.00011379537004814237,6.615092401161623e-05
clean,0,L0H4,function_body_anchor,0.0006267950893988953,0.00015669877234972382
clean,0,L0H4,file_target,9.994894889736308e-05,4.997447444868154e-05
clean,0,L0H4,instruction_suffix,0.0012619206632200912,0.0001402134069711177
clean,0,L0H4,task_body,0.7103298552584083,0.009505858924125648
clean,0,L0H4,assistant_prefix,0.2772722954596054,0.030808032830706503
clean,0,L0H5,system_preamble,0.02305269571369969,0.0006586484489336119
clean,0,L0H5,tools_block,0.02721307417781428,0.0005039458186713101
clean,0,L0H5,tool_instruction,0.023946266519309357,0.0010884666599513002
clean,0,L0H5,tool_call_example,0.0363576449491906,0.00158076716968843
clean,0,L0H5,user_lead_phrase,0.001547658399758594,0.0008105270997903947
clean,0,L0H5,function_body_anchor,0.008417098045532645,0.0021042745113831612
clean,0,L0H5,file_target,0.002401945350649984,0.001200972675324992
clean,0,L0H5,instruction_suffix,0.02086602447658034,0.00231844716286934
clean,0,L0H5,task_body,0.6400365271435735,0.008354292269826593
clean,0,L0H5,assistant_prefix,0.21616106471221952,0.02401789608590445
clean,0,L0H6,system_preamble,0.08919235690818979,0.002548353053943139
clean,0,L0H6,tools_block,0.11753250615867745,0.0021765278910270735
clean,0,L0H6,tool_instruction,0.06886727247426769,0.003130330568414032
clean,0,L0H6,tool_call_example,0.06749303778443098,0.002934479902350692
clean,0,L0H6,user_lead_phrase,0.01346767517202705,0.009655666300135597
clean,0,L0H6,function_body_anchor,0.0058338363452731514,0.0014584590863182879
clean,0,L0H6,file_target,0.009658641807844624,0.004829320903922312
clean,0,L0H6,instruction_suffix,0.03424164060219964,0.0038046267303201817
clean,0,L0H6,task_body,0.503768582667665,0.00660009539929064
clean,0,L0H6,assistant_prefix,0.08994445010398318,0.009993827782985576
clean,0,L0H7,system_preamble,0.045586742427221404,0.0013024783535717315
clean,0,L0H7,tools_block,0.02430584544402746,0.00045010824935744534
clean,0,L0H7,tool_instruction,0.02987179875325104,0.0013578090338319697
clean,0,L0H7,tool_call_example,0.016421574424915715,0.0007139814970510359
