sample_id,chain_key,edge,base_variant,direction,source_ratio,blocked_ratio,mediated_ratio
apps_python_1,query_chain,L2H14->MLP11,corrupt_full,tool,0.3031674208144796,-0.06787330316742081,0.3710407239819004
apps_python_1,query_chain,MLP11->MLP16,corrupt_full,tool,0.3665158371040724,-0.12669683257918551,0.4932126696832579
apps_python_1,query_chain,MLP16->L24H6,corrupt_full,tool,0.9680429864253394,0.8619909502262444,0.10605203619909498
apps_python_1,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.08031674208144797,0.051470588235294115,0.028846153846153855
apps_python_1,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.9785067873303167,0.5610859728506787,0.41742081447963797
apps_python_1,schema_chain,L21H12->MLP27,clean_no_protocol,tool,2.009049773755656,1.2307692307692308,0.7782805429864252
apps_python_1,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.11827956989247312,0.043010752688172046,0.07526881720430108
apps_python_1,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.7661290322580645,0.7217741935483871,0.04435483870967738
codecontests_cpp_1,query_chain,L2H14->MLP11,corrupt_full,tool,0.0047169811320754715,0.05660377358490566,-0.05188679245283019
codecontests_cpp_1,query_chain,MLP11->MLP16,corrupt_full,tool,-0.16981132075471697,-0.20754716981132076,0.03773584905660379
codecontests_cpp_1,query_chain,MLP16->L24H6,corrupt_full,tool,0.7794811320754716,0.6014150943396226,0.17806603773584906
codecontests_cpp_1,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.33903301886792453,0.2429245283018868,0.09610849056603774
codecontests_cpp_1,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.0268278301886793,0.6344339622641509,0.39239386792452835
codecontests_cpp_1,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.721698113207547,0.9764150943396226,0.7452830188679245
codecontests_cpp_1,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.10606060606060606,0.06060606060606061,0.045454545454545456
codecontests_cpp_1,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.23232323232323232,0.1717171717171717,0.06060606060606061
codecontests_java_1,query_chain,L2H14->MLP11,corrupt_full,tool,0.1330049261083744,0.12315270935960591,0.009852216748768475
codecontests_java_1,query_chain,MLP11->MLP16,corrupt_full,tool,0.5024630541871922,0.21182266009852216,0.29064039408867004
codecontests_java_1,query_chain,MLP16->L24H6,corrupt_full,tool,0.5665024630541872,0.31527093596059114,0.25123152709359603
codecontests_java_1,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.7781711822660099,0.45566502463054187,0.322506157635468
codecontests_java_1,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.0224753694581281,0.5812807881773399,0.44119458128078826
codecontests_java_1,schema_chain,L21H12->MLP27,clean_no_protocol,tool,0.6865763546798029,0.4236453201970443,0.2629310344827586
codecontests_java_1,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.32272727272727275,0.15,0.17272727272727276
codecontests_java_1,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.4636363636363636,0.35909090909090907,0.10454545454545455
mbpp_python_1,query_chain,L2H14->MLP11,corrupt_full,tool,-0.09803921568627451,-0.09803921568627451,0.0
mbpp_python_1,query_chain,MLP11->MLP16,corrupt_full,tool,0.24019607843137256,0.10294117647058823,0.13725490196078433
mbpp_python_1,query_chain,MLP16->L24H6,corrupt_full,tool,0.5833333333333334,0.43137254901960786,0.1519607843137255
mbpp_python_1,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.02217371323529412,0.014629289215686275,0.007544424019607844
mbpp_python_1,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.9387254901960784,0.45588235294117646,0.48284313725490197
mbpp_python_1,schema_chain,L21H12->MLP27,clean_no_protocol,tool,2.784313725490196,1.588235294117647,1.196078431372549
mbpp_python_1,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.23741007194244604,0.14028776978417265,0.09712230215827339
mbpp_python_1,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.7014388489208633,0.670863309352518,0.030575539568345245
codecontests_java_2,query_chain,L2H14->MLP11,corrupt_full,tool,0.12962962962962962,-0.05092592592592592,0.18055555555555555
codecontests_java_2,query_chain,MLP11->MLP16,corrupt_full,tool,0.5300925925925926,0.2175925925925926,0.3125
codecontests_java_2,query_chain,MLP16->L24H6,corrupt_full,tool,0.19444444444444445,0.17592592592592593,0.018518518518518517
codecontests_java_2,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.6108217592592593,0.34953703703703703,0.26128472222222227
codecontests_java_2,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.3169849537037037,0.18287037037037038,0.13411458333333334
codecontests_java_2,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.787037037037037,0.9907407407407407,0.7962962962962963
codecontests_java_2,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.07746478873239436,0.07042253521126761,0.007042253521126751
codecontests_java_2,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.3732394366197183,0.2746478873239437,0.09859154929577463
codecontests_cpp_3,query_chain,L2H14->MLP11,corrupt_full,tool,0.22540983606557377,0.036885245901639344,0.1885245901639344
codecontests_cpp_3,query_chain,MLP11->MLP16,corrupt_full,tool,0.01639344262295082,-0.11475409836065574,0.13114754098360656
codecontests_cpp_3,query_chain,MLP16->L24H6,corrupt_full,tool,0.5901639344262295,0.36475409836065575,0.22540983606557374
codecontests_cpp_3,schema_chain,L21H12->MLP27,clean_no_schema,tool,1.0081967213114753,0.4918032786885246,0.5163934426229507
codecontests_cpp_3,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.5102459016393444,0.7868852459016393,0.723360655737705
codecontests_cpp_3,schema_chain,L21H12->MLP27,clean_no_protocol,tool,2.3852459016393444,1.3114754098360655,1.0737704918032789
codecontests_cpp_3,no_tool_chain,L16H4->MLP17,clean_full,no_tool,-0.11855670103092783,-0.16494845360824742,0.04639175257731959
