sample_id,component,variant,set,mass
apps_python_1,L24H6,clean_no_schema,user_block,0.03535091504454613
apps_python_1,L24H6,clean_no_schema,tools_block,0.0048748645931482315
apps_python_1,L24H6,clean_no_schema,tools_payload,0.00032787679811008275
apps_python_1,L24H6,clean_no_schema,tool_call_tags,0.7730966806411743
apps_python_1,L24H6,clean_no_schema,protocol_payload,nan
apps_python_1,L24H6,clean_no_schema,prefix_16,0.1564575731754303
apps_python_1,L2H14,clean_schema_mismatch,user_block,0.22298498451709747
apps_python_1,L2H14,clean_schema_mismatch,tools_block,0.19209876656532288
apps_python_1,L2H14,clean_schema_mismatch,tools_payload,0.0013749764766544104
apps_python_1,L2H14,clean_schema_mismatch,tool_call_tags,0.004332909360527992
apps_python_1,L2H14,clean_schema_mismatch,protocol_payload,nan
apps_python_1,L2H14,clean_schema_mismatch,prefix_16,0.16766652464866638
apps_python_1,L21H12,clean_schema_mismatch,user_block,0.16993051767349243
apps_python_1,L21H12,clean_schema_mismatch,tools_block,0.3065449595451355
apps_python_1,L21H12,clean_schema_mismatch,tools_payload,0.04921736195683479
apps_python_1,L21H12,clean_schema_mismatch,tool_call_tags,0.02815288119018078
apps_python_1,L21H12,clean_schema_mismatch,protocol_payload,nan
apps_python_1,L21H12,clean_schema_mismatch,prefix_16,0.16776704788208008
apps_python_1,L16H4,clean_schema_mismatch,user_block,0.5025408267974854
apps_python_1,L16H4,clean_schema_mismatch,tools_block,0.027396144345402718
apps_python_1,L16H4,clean_schema_mismatch,tools_payload,8.221911684813676e-07
apps_python_1,L16H4,clean_schema_mismatch,tool_call_tags,0.0001876331225503236
apps_python_1,L16H4,clean_schema_mismatch,protocol_payload,nan
apps_python_1,L16H4,clean_schema_mismatch,prefix_16,0.16371729969978333
apps_python_1,L23H6,clean_schema_mismatch,user_block,0.05862082168459892
apps_python_1,L23H6,clean_schema_mismatch,tools_block,0.012789903208613396
apps_python_1,L23H6,clean_schema_mismatch,tools_payload,7.435668521793559e-05
apps_python_1,L23H6,clean_schema_mismatch,tool_call_tags,0.0126515356823802
apps_python_1,L23H6,clean_schema_mismatch,protocol_payload,nan
apps_python_1,L23H6,clean_schema_mismatch,prefix_16,0.3703518807888031
apps_python_1,L24H6,clean_schema_mismatch,user_block,0.04293776676058769
apps_python_1,L24H6,clean_schema_mismatch,tools_block,0.01892211101949215
apps_python_1,L24H6,clean_schema_mismatch,tools_payload,0.00043491358519531786
apps_python_1,L24H6,clean_schema_mismatch,tool_call_tags,0.6783388257026672
apps_python_1,L24H6,clean_schema_mismatch,protocol_payload,nan
apps_python_1,L24H6,clean_schema_mismatch,prefix_16,0.2275652438402176
apps_python_1,L2H14,clean_no_protocol,user_block,0.22161415219306946
apps_python_1,L2H14,clean_no_protocol,tools_block,0.18976500630378723
apps_python_1,L2H14,clean_no_protocol,tools_payload,0.0010239459807053208
apps_python_1,L2H14,clean_no_protocol,tool_call_tags,0.0030203349888324738
apps_python_1,L2H14,clean_no_protocol,protocol_payload,0.034816887229681015
apps_python_1,L2H14,clean_no_protocol,prefix_16,0.15341179072856903
apps_python_1,L21H12,clean_no_protocol,user_block,0.2530868351459503
apps_python_1,L21H12,clean_no_protocol,tools_block,0.23625323176383972
apps_python_1,L21H12,clean_no_protocol,tools_payload,0.03868547081947327
apps_python_1,L21H12,clean_no_protocol,tool_call_tags,0.036890871822834015
