sample_id,sample_rank,q_index,group,n_nodes,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,delta_full_suff_drop,delta_full_nec_drop,gap
apps_python_1,1,,full_core,10,0.9814814814814815,1.0185185185185186,nan,nan,0.0,0.0,6.75
apps_python_1,1,,tool_tag_reader,1,0.3148148148148148,0.2222222222222222,0.9814814814814815,0.9814814814814815,0.0,0.03703703703703709,6.75
apps_python_1,1,,format_router,4,0.6666666666666666,0.5,0.9814814814814815,0.9814814814814815,0.0,0.03703703703703709,6.75
apps_python_1,1,,primary_writer_mlp,4,0.9814814814814815,0.9259259259259259,0.7407407407407407,0.6111111111111112,0.2407407407407408,0.40740740740740744,6.75
apps_python_1,1,,support_mlp,1,0.2037037037037037,0.018518518518518517,1.0185185185185186,1.037037037037037,-0.03703703703703709,-0.01851851851851838,6.75
apps_python_1,1,,all_heads,5,0.7222222222222222,0.7037037037037037,0.9814814814814815,0.9259259259259259,0.0,0.09259259259259267,6.75
apps_python_1,1,,all_mlps,5,0.9814814814814815,0.9259259259259259,0.7222222222222222,0.7037037037037037,0.2592592592592593,0.3148148148148149,6.75
codecontests_cpp_1,2,,full_core,10,0.941747572815534,0.8932038834951457,nan,nan,0.0,0.0,12.875
codecontests_cpp_1,2,,tool_tag_reader,1,0.30097087378640774,0.0970873786407767,0.941747572815534,0.8737864077669902,0.0,0.019417475728155442,12.875
codecontests_cpp_1,2,,format_router,4,0.7184466019417476,0.3592233009708738,0.8252427184466019,0.7281553398058253,0.1165048543689321,0.16504854368932043,12.875
codecontests_cpp_1,2,,primary_writer_mlp,4,0.8349514563106796,0.6796116504854369,0.7281553398058253,0.47572815533980584,0.21359223300970875,0.41747572815533984,12.875
codecontests_cpp_1,2,,support_mlp,1,-0.08737864077669903,-0.019417475728155338,0.9514563106796117,0.9029126213592233,-0.009708737864077666,-0.009708737864077666,12.875
codecontests_cpp_1,2,,all_heads,5,0.7378640776699029,0.47572815533980584,0.8058252427184466,0.6601941747572816,0.13592233009708743,0.23300970873786409,12.875
codecontests_cpp_1,2,,all_mlps,5,0.8058252427184466,0.6601941747572816,0.7378640776699029,0.47572815533980584,0.2038834951456311,0.41747572815533984,12.875
codecontests_java_1,3,,full_core,10,0.9805825242718447,0.9967637540453075,nan,nan,0.0,0.0,19.3125
codecontests_java_1,3,,tool_tag_reader,1,0.44336569579288027,0.1423948220064725,0.9805825242718447,1.0032362459546926,0.0,-0.006472491909385147,19.3125
codecontests_java_1,3,,format_router,4,0.7864077669902912,0.4401294498381877,0.9029126213592233,0.8478964401294499,0.07766990291262132,0.1488673139158576,19.3125
codecontests_java_1,3,,primary_writer_mlp,4,0.883495145631068,0.7249190938511327,0.8381877022653722,0.7119741100323624,0.14239482200647247,0.28478964401294504,19.3125
codecontests_java_1,3,,support_mlp,1,0.3268608414239482,0.0970873786407767,0.9676375404530745,0.9935275080906149,0.012944983818770184,0.003236245954692629,19.3125
codecontests_java_1,3,,all_heads,5,0.7928802588996764,0.6148867313915858,0.8964401294498382,0.7508090614886731,0.08414239482200647,0.24595469255663438,19.3125
codecontests_java_1,3,,all_mlps,5,0.8964401294498382,0.7508090614886731,0.7928802588996764,0.6148867313915858,0.18770226537216828,0.3818770226537217,19.3125
mbpp_python_1,4,,full_core,10,0.9183673469387755,1.0204081632653061,nan,nan,0.0,0.0,6.125
mbpp_python_1,4,,tool_tag_reader,1,0.24489795918367346,0.14285714285714285,0.9183673469387755,0.9795918367346939,0.0,0.04081632653061229,6.125
mbpp_python_1,4,,format_router,4,0.673469387755102,0.5510204081632653,0.8163265306122449,0.8571428571428571,0.10204081632653061,0.16326530612244905,6.125
mbpp_python_1,4,,primary_writer_mlp,4,0.8163265306122449,0.8163265306122449,0.673469387755102,0.6938775510204082,0.24489795918367352,0.326530612244898,6.125
mbpp_python_1,4,,support_mlp,1,0.14285714285714285,0.14285714285714285,0.9387755102040817,1.0408163265306123,-0.020408163265306145,-0.020408163265306145,6.125
mbpp_python_1,4,,all_heads,5,0.6938775510204082,0.6938775510204082,0.8163265306122449,0.8163265306122449,0.10204081632653061,0.20408163265306123,6.125
mbpp_python_1,4,,all_mlps,5,0.8163265306122449,0.8163265306122449,0.6938775510204082,0.6938775510204082,0.22448979591836737,0.326530612244898,6.125
codecontests_java_2,5,,full_core,10,0.9560439560439561,0.8681318681318682,nan,nan,0.0,0.0,11.375
codecontests_java_2,5,,tool_tag_reader,1,0.4175824175824176,0.16483516483516483,0.9560439560439561,0.8351648351648352,0.0,0.03296703296703296,11.375
codecontests_java_2,5,,format_router,4,0.7252747252747253,0.4175824175824176,0.8241758241758241,0.6373626373626373,0.13186813186813195,0.23076923076923084,11.375
codecontests_java_2,5,,primary_writer_mlp,4,0.7692307692307693,0.5604395604395604,0.8681318681318682,0.6813186813186813,0.08791208791208793,0.18681318681318682,11.375
codecontests_java_2,5,,support_mlp,1,0.32967032967032966,0.06593406593406594,0.967032967032967,0.8901098901098901,-0.01098901098901095,-0.0219780219780219,11.375
codecontests_java_2,5,,all_heads,5,0.7692307692307693,0.5934065934065934,0.7582417582417582,0.5384615384615384,0.19780219780219788,0.3296703296703297,11.375
codecontests_java_2,5,,all_mlps,5,0.7582417582417582,0.5384615384615384,0.7692307692307693,0.5934065934065934,0.18681318681318682,0.27472527472527475,11.375
codecontests_cpp_3,6,,full_core,10,0.9830508474576272,1.0,nan,nan,0.0,0.0,7.375
codecontests_cpp_3,6,,tool_tag_reader,1,0.3220338983050847,0.13559322033898305,0.9830508474576272,1.0169491525423728,0.0,-0.016949152542372836,7.375
codecontests_cpp_3,6,,format_router,4,0.7288135593220338,0.576271186440678,0.9322033898305084,0.9491525423728814,0.05084745762711873,0.05084745762711862,7.375
codecontests_cpp_3,6,,primary_writer_mlp,4,0.9491525423728814,0.9152542372881356,0.7457627118644068,0.6779661016949152,0.23728813559322037,0.3220338983050848,7.375
codecontests_cpp_3,6,,support_mlp,1,0.0,-0.05084745762711865,1.0169491525423728,1.0169491525423728,-0.03389830508474567,-0.016949152542372836,7.375
codecontests_cpp_3,6,,all_heads,5,0.7796610169491526,0.6610169491525424,0.9152542372881356,0.8983050847457628,0.06779661016949157,0.10169491525423724,7.375
codecontests_cpp_3,6,,all_mlps,5,0.9152542372881356,0.8983050847457628,0.7796610169491526,0.6610169491525424,0.2033898305084746,0.3389830508474576,7.375
codecontests_java_3,7,,full_core,10,0.992,1.0,nan,nan,0.0,0.0,15.625
codecontests_java_3,7,,tool_tag_reader,1,0.424,0.152,1.0,1.024,-0.008000000000000007,-0.02400000000000002,15.625
codecontests_java_3,7,,format_router,4,0.792,0.376,0.928,0.824,0.06399999999999995,0.17600000000000005,15.625
codecontests_java_3,7,,primary_writer_mlp,4,0.888,0.72,0.856,0.648,0.136,0.352,15.625
codecontests_java_3,7,,support_mlp,1,0.312,0.072,0.984,0.992,0.008000000000000007,0.008000000000000007,15.625
codecontests_java_3,7,,all_heads,5,0.808,0.584,0.92,0.744,0.07199999999999995,0.256,15.625
codecontests_java_3,7,,all_mlps,5,0.92,0.744,0.808,0.584,0.18399999999999994,0.41600000000000004,15.625
apps_python_4,8,,full_core,10,0.9859154929577465,0.971830985915493,nan,nan,0.0,0.0,8.875
apps_python_4,8,,tool_tag_reader,1,0.29577464788732394,0.15492957746478872,0.9859154929577465,0.9154929577464789,0.0,0.05633802816901412,8.875
apps_python_4,8,,format_router,4,0.6901408450704225,0.4084507042253521,0.8450704225352113,0.676056338028169,0.14084507042253525,0.295774647887324,8.875
apps_python_4,8,,primary_writer_mlp,4,0.8450704225352113,0.647887323943662,0.704225352112676,0.4788732394366197,0.2816901408450705,0.4929577464788733,8.875
apps_python_4,8,,support_mlp,1,-0.323943661971831,-0.09859154929577464,0.9859154929577465,1.0,0.0,-0.028169014084507005,8.875
apps_python_4,8,,all_heads,5,0.7464788732394366,0.6056338028169014,0.8169014084507042,0.6056338028169014,0.16901408450704225,0.3661971830985916,8.875
apps_python_4,8,,all_mlps,5,0.8169014084507042,0.6056338028169014,0.7464788732394366,0.6056338028169014,0.23943661971830987,0.3661971830985916,8.875
codecontests_cpp_4,9,,full_core,10,1.0,1.0344827586206897,nan,nan,0.0,0.0,7.25
codecontests_cpp_4,9,,tool_tag_reader,1,0.39655172413793105,0.2413793103448276,1.0,1.0344827586206897,0.0,0.0,7.25
codecontests_cpp_4,9,,format_router,4,0.7413793103448276,0.6206896551724138,0.9137931034482759,0.9137931034482759,0.08620689655172409,0.12068965517241381,7.25
codecontests_cpp_4,9,,primary_writer_mlp,4,0.896551724137931,0.8620689655172413,0.8275862068965517,0.8103448275862069,0.1724137931034483,0.22413793103448287,7.25
codecontests_cpp_4,9,,support_mlp,1,0.13793103448275862,0.13793103448275862,1.0,1.0172413793103448,0.0,0.017241379310344973,7.25
codecontests_cpp_4,9,,all_heads,5,0.7931034482758621,0.7758620689655172,0.8793103448275862,0.8275862068965517,0.12068965517241381,0.206896551724138,7.25
codecontests_cpp_4,9,,all_mlps,5,0.8793103448275862,0.8275862068965517,0.7931034482758621,0.7758620689655172,0.2068965517241379,0.2586206896551725,7.25
codecontests_java_4,10,,full_core,10,0.9782608695652174,0.9420289855072463,nan,nan,0.0,0.0,17.25
codecontests_java_4,10,,tool_tag_reader,1,0.4492753623188406,0.17391304347826086,0.9782608695652174,0.9057971014492754,0.0,0.03623188405797095,17.25
codecontests_java_4,10,,format_router,4,0.7681159420289855,0.3333333333333333,0.927536231884058,0.7463768115942029,0.050724637681159424,0.19565217391304346,17.25
codecontests_java_4,10,,primary_writer_mlp,4,0.8840579710144928,0.6086956521739131,0.8405797101449275,0.6014492753623188,0.1376811594202899,0.3405797101449275,17.25
codecontests_java_4,10,,support_mlp,1,0.2971014492753623,0.036231884057971016,0.9710144927536232,0.9130434782608695,0.007246376811594235,0.02898550724637683,17.25
codecontests_java_4,10,,all_heads,5,0.7898550724637681,0.5362318840579711,0.8985507246376812,0.6376811594202898,0.07971014492753625,0.30434782608695654,17.25
codecontests_java_4,10,,all_mlps,5,0.8985507246376812,0.6376811594202898,0.7898550724637681,0.5362318840579711,0.18840579710144933,0.4057971014492753,17.25
mbpp_python_4,11,,full_core,10,0.9841269841269841,0.9682539682539683,nan,nan,0.0,0.0,7.875
mbpp_python_4,11,,tool_tag_reader,1,0.3492063492063492,0.2222222222222222,1.0158730158730158,0.9365079365079365,-0.031746031746031744,0.031746031746031744,7.875
mbpp_python_4,11,,format_router,4,0.7936507936507936,0.4603174603174603,0.7777777777777778,0.6666666666666666,0.20634920634920628,0.3015873015873016,7.875
mbpp_python_4,11,,primary_writer_mlp,4,0.7619047619047619,0.6507936507936508,0.7777777777777778,0.5555555555555556,0.20634920634920628,0.4126984126984127,7.875
mbpp_python_4,11,,support_mlp,1,-0.3492063492063492,-0.1746031746031746,1.0,1.0317460317460319,-0.015873015873015928,-0.0634920634920636,7.875
mbpp_python_4,11,,all_heads,5,0.8571428571428571,0.6825396825396826,0.7619047619047619,0.5873015873015873,0.2222222222222222,0.38095238095238093,7.875
mbpp_python_4,11,,all_mlps,5,0.7619047619047619,0.5873015873015873,0.8571428571428571,0.6825396825396826,0.12698412698412698,0.2857142857142857,7.875
apps_python_5,12,,full_core,10,0.9452054794520548,0.9315068493150684,nan,nan,0.0,0.0,9.125
apps_python_5,12,,tool_tag_reader,1,0.3835616438356164,0.1780821917808219,0.9452054794520548,0.8904109589041096,0.0,0.041095890410958846,9.125
apps_python_5,12,,format_router,4,0.726027397260274,0.5205479452054794,0.8493150684931506,0.8082191780821918,0.09589041095890416,0.12328767123287665,9.125
apps_python_5,12,,primary_writer_mlp,4,0.8356164383561644,0.7671232876712328,0.7534246575342466,0.6027397260273972,0.1917808219178082,0.3287671232876712,9.125
apps_python_5,12,,support_mlp,1,0.2191780821917808,-0.0136986301369863,0.958904109589041,0.9863013698630136,-0.013698630136986245,-0.0547945205479452,9.125
apps_python_5,12,,all_heads,5,0.7534246575342466,0.6575342465753424,0.8356164383561644,0.7123287671232876,0.1095890410958904,0.2191780821917808,9.125
apps_python_5,12,,all_mlps,5,0.8356164383561644,0.7123287671232876,0.7534246575342466,0.6575342465753424,0.1917808219178082,0.273972602739726,9.125
codecontests_cpp_5,13,,full_core,10,0.9710144927536232,0.9710144927536232,nan,nan,0.0,0.0,8.625
codecontests_cpp_5,13,,tool_tag_reader,1,0.34782608695652173,0.14492753623188406,0.9710144927536232,0.9855072463768116,0.0,-0.01449275362318847,8.625
codecontests_cpp_5,13,,format_router,4,0.7246376811594203,0.5217391304347826,0.8840579710144928,0.8840579710144928,0.08695652173913038,0.08695652173913038,8.625
codecontests_cpp_5,13,,primary_writer_mlp,4,0.855072463768116,0.7536231884057971,0.782608695652174,0.7391304347826086,0.18840579710144922,0.23188405797101452,8.625
codecontests_cpp_5,13,,support_mlp,1,0.2318840579710145,0.15942028985507245,0.9565217391304348,0.8985507246376812,0.01449275362318836,0.07246376811594202,8.625
codecontests_cpp_5,13,,all_heads,5,0.7681159420289855,0.6376811594202898,0.8695652173913043,0.8405797101449275,0.10144927536231885,0.13043478260869568,8.625
codecontests_cpp_5,13,,all_mlps,5,0.8695652173913043,0.8405797101449275,0.7681159420289855,0.6376811594202898,0.2028985507246377,0.33333333333333337,8.625
codecontests_java_5,14,,full_core,10,1.0515463917525774,1.0206185567010309,nan,nan,0.0,0.0,12.125
codecontests_java_5,14,,tool_tag_reader,1,0.4639175257731959,0.21649484536082475,1.0515463917525774,0.9690721649484536,0.0,0.05154639175257725,12.125
codecontests_java_5,14,,format_router,4,0.7938144329896907,0.3711340206185567,1.0,0.845360824742268,0.05154639175257736,0.17525773195876282,12.125
codecontests_java_5,14,,primary_writer_mlp,4,0.8969072164948454,0.6494845360824743,0.9690721649484536,0.7628865979381443,0.08247422680412375,0.25773195876288657,12.125
codecontests_java_5,14,,support_mlp,1,0.6082474226804123,0.2268041237113402,1.0309278350515463,1.0,0.020618556701031077,0.020618556701030855,12.125
