base_variant,alpha,n_samples,tool_score_median,no_tool_score_median,decision_score_median,tool_top1_rate,boundary_flip_rate
clean_no_protocol,0.0,8,-14.75,-0.33203125,-14.46533203125,0.0,0.0
clean_no_protocol,0.25,8,-11.6875,-0.298828125,-11.48388671875,0.0,0.0
clean_no_protocol,0.5,8,-8.59375,-0.3056640625,-8.42822265625,0.0,0.0
clean_no_protocol,0.75,8,-6.015625,-0.384765625,-5.859375,0.0,0.0
clean_no_protocol,1.0,8,-3.8828125,-0.5,-3.7119140625,0.25,0.25
clean_no_protocol,1.25,8,-2.11328125,-0.81640625,-1.5078125,0.375,0.375
clean_no_protocol,1.5,8,-0.7099609375,-1.34765625,0.5087890625,0.625,0.625
clean_no_schema,0.0,8,-3.4765625,-0.21875,-3.29443359375,0.375,0.375
clean_no_schema,0.25,8,-2.4453125,-0.2685546875,-2.1767578125,0.375,0.375
clean_no_schema,0.5,8,-1.60546875,-0.416015625,-1.189453125,0.375,0.375
clean_no_schema,0.75,8,-0.8515625,-0.728515625,-0.083984375,0.5,0.5
clean_no_schema,1.0,8,-0.4423828125,-0.935546875,0.5712890625,0.625,0.625
clean_no_schema,1.25,8,-0.279296875,-1.484375,1.1201171875,0.875,0.875
clean_no_schema,1.5,8,-0.115234375,-2.453125,2.345703125,1.0,1.0
clean_schema_mismatch,0.0,8,-4.828125,-0.1337890625,-4.41748046875,0.0,0.0
clean_schema_mismatch,0.25,8,-3.40625,-0.20556640625,-3.214111328125,0.0,0.0
clean_schema_mismatch,0.5,8,-2.390625,-0.37353515625,-2.2705078125,0.25,0.125
clean_schema_mismatch,0.75,8,-1.46484375,-0.4736328125,-1.232421875,0.375,0.375
clean_schema_mismatch,1.0,8,-0.677734375,-1.0546875,0.333984375,0.625,0.625
clean_schema_mismatch,1.25,8,-0.1669921875,-2.2578125,2.0908203125,1.0,1.0
clean_schema_mismatch,1.5,8,-0.0653076171875,-3.25,3.1832275390625,1.0,1.0
corrupt_full,0.0,8,-5.390625,0.0,-5.390625,0.0,0.0
corrupt_full,0.25,8,-3.8671875,-0.008697509765625,-3.8577728271484375,0.0,0.0
corrupt_full,0.5,8,-2.71875,-0.046875,-2.6710205078125,0.0,0.0
corrupt_full,0.75,8,-1.62109375,-0.15771484375,-1.44482421875,0.0,0.0
corrupt_full,1.0,8,-0.9140625,-0.4951171875,-0.435546875,0.125,0.125
corrupt_full,1.25,8,-0.318359375,-1.26953125,0.8818359375,0.75,0.75
corrupt_full,1.5,8,-0.114990234375,-2.125,1.99658203125,0.875,1.0
