base_variant,step_idx,node,n_samples,rescue_ratio_median,top1_rate,boundary_flip_rate
clean_no_protocol,1,L21H12,1223,1.7266187050359711,0.011447260834014717,0.032706459525756335
clean_no_protocol,2,MLP27,1223,2.528340517241379,0.4627964022894522,0.5200327064595257
clean_no_schema,1,L21H12,1223,0.5279187817258884,0.5388389206868357,0.5960752248569092
clean_no_schema,2,MLP27,1223,0.5909598214285714,0.7375306623058054,0.830744071954211
clean_schema_mismatch,1,L21H12,1223,0.852112676056338,0.4652493867538839,0.5077677841373671
clean_schema_mismatch,2,MLP27,1223,1.0250699626865671,0.9239574816026165,0.9664758789860998
