sample_id,head,family,span,n_tokens,attn_mass_base,attn_density_base
apps_python_1,L20H5,tool,lead_phrase,4,0.00034875262645073235,8.718815661268309e-05
apps_python_1,L20H5,tool,function_body_anchor,2,0.048852257430553436,0.024426128715276718
apps_python_1,L20H5,tool,file_target,2,0.11556658893823624,0.05778329446911812
apps_python_1,L20H5,tool,tail_suffix,14,0.09271056950092316,0.0066221836023032665
apps_python_1,L20H5,tool,task_body,61,0.045395735651254654,0.0007441923953592777
apps_python_1,L21H1,tool,lead_phrase,4,0.015723660588264465,0.003930915147066116
apps_python_1,L21H1,tool,function_body_anchor,2,0.006944514811038971,0.0034722574055194855
apps_python_1,L21H1,tool,file_target,2,0.006714752875268459,0.0033573764376342297
apps_python_1,L21H1,tool,tail_suffix,14,0.01373405009508133,0.0009810036281123757
apps_python_1,L21H1,tool,task_body,61,0.06997407972812653,0.0011471160687506199
apps_python_1,L21H12,tool,lead_phrase,4,0.0008842433453537524,0.0002210608363384381
apps_python_1,L21H12,tool,function_body_anchor,2,0.0014271038817241788,0.0007135519408620894
apps_python_1,L21H12,tool,file_target,2,0.0037954130675643682,0.0018977065337821841
apps_python_1,L21H12,tool,tail_suffix,14,0.029606249183416367,0.00211473205126822
apps_python_1,L21H12,tool,task_body,61,0.01601257547736168,0.00026250124210491776
apps_python_1,L24H6,tool,lead_phrase,4,0.002973813796415925,0.0007434534491039813
apps_python_1,L24H6,tool,function_body_anchor,2,9.288023284170777e-05,4.644011642085388e-05
apps_python_1,L24H6,tool,file_target,2,0.0014075272483751178,0.0007037636241875589
apps_python_1,L24H6,tool,tail_suffix,14,0.00039493065560236573,2.820933332259301e-05
apps_python_1,L24H6,tool,task_body,61,0.004243874456733465,6.957170990062878e-05
apps_python_1,L16H4,no_tool,lead_phrase,4,0.00376102770678699,0.0009402569266967475
apps_python_1,L16H4,no_tool,function_body_anchor,2,0.015286566689610481,0.007643283344805241
apps_python_1,L16H4,no_tool,file_target,2,0.006507866084575653,0.0032539330422878265
apps_python_1,L16H4,no_tool,tail_suffix,14,0.1442163735628128,0.010301169939339161
apps_python_1,L16H4,no_tool,task_body,61,0.2887653410434723,0.004733858164399862
apps_python_1,L23H6,no_tool,lead_phrase,4,0.0006817670073360205,0.00017044175183400512
apps_python_1,L23H6,no_tool,function_body_anchor,2,0.00029938272200524807,0.00014969136100262403
apps_python_1,L23H6,no_tool,file_target,2,0.0006644463865086436,0.0003322231932543218
apps_python_1,L23H6,no_tool,tail_suffix,14,0.003972499165683985,0.00028374994872137904
apps_python_1,L23H6,no_tool,task_body,61,0.025674397125840187,0.00042089176713488996
codecontests_cpp_1,L20H5,tool,lead_phrase,3,0.0006236013723537326,0.00020786712411791086
codecontests_cpp_1,L20H5,tool,function_body_anchor,2,0.1681612730026245,0.08408063650131226
codecontests_cpp_1,L20H5,tool,file_target,2,0.1201120913028717,0.06005604565143585
codecontests_cpp_1,L20H5,tool,tail_suffix,11,0.05943228304386139,0.005402934737503529
codecontests_cpp_1,L20H5,tool,task_body,92,0.10628660768270493,0.0011552892392501235
codecontests_cpp_1,L21H1,tool,lead_phrase,3,0.0075998930260539055,0.0025332977529615164
codecontests_cpp_1,L21H1,tool,function_body_anchor,2,0.010275889188051224,0.005137944594025612
codecontests_cpp_1,L21H1,tool,file_target,2,0.013448084704577923,0.006724042352288961
codecontests_cpp_1,L21H1,tool,tail_suffix,11,0.020183982327580452,0.0018349074525758624
codecontests_cpp_1,L21H1,tool,task_body,92,0.1512882262468338,0.001644437201321125
codecontests_cpp_1,L21H12,tool,lead_phrase,3,0.0005520880804397166,0.00018402935529593378
codecontests_cpp_1,L21H12,tool,function_body_anchor,2,0.0022783055901527405,0.0011391527950763702
codecontests_cpp_1,L21H12,tool,file_target,2,0.0036659378092736006,0.0018329689046368003
codecontests_cpp_1,L21H12,tool,tail_suffix,11,0.05646331608295441,0.005133028607815504
codecontests_cpp_1,L21H12,tool,task_body,92,0.029066814109683037,0.0003159436455462128
codecontests_cpp_1,L24H6,tool,lead_phrase,3,0.00045742280781269073,0.0001524742692708969
codecontests_cpp_1,L24H6,tool,function_body_anchor,2,0.0004313373938202858,0.0002156686969101429
codecontests_cpp_1,L24H6,tool,file_target,2,0.004593341611325741,0.0022966708056628704
codecontests_cpp_1,L24H6,tool,tail_suffix,11,0.0008298845496028662,7.544404797954485e-05
codecontests_cpp_1,L24H6,tool,task_body,92,0.013240206055343151,0.0001439152838429436
codecontests_cpp_1,L16H4,no_tool,lead_phrase,3,0.014180818572640419,0.004726939368993044
codecontests_cpp_1,L16H4,no_tool,function_body_anchor,2,0.008232733234763145,0.004116366617381573
codecontests_cpp_1,L16H4,no_tool,file_target,2,0.0034977721516042948,0.0017488860758021474
codecontests_cpp_1,L16H4,no_tool,tail_suffix,11,0.0772869661450386,0.007026087958365679
codecontests_cpp_1,L16H4,no_tool,task_body,92,0.2020672708749771,0.0021963834296911955
