head,family,best_read_span,best_read_mass_median,best_read_density_median,best_causal_span,best_causal_span_rescue_median,best_causal_span_top1_rate,best_qkv_component,best_qkv_rescue_median,best_qkv_top1_rate
L20H5,tool,file_target,0.10305687412619591,0.051528437063097954,function_body_anchor,0.03790626069107082,0.0,z,0.307643234704417,0.005226480836236934
L21H1,tool,file_target,0.014574061147868633,0.007287030573934317,file_target,0.0,0.0,z,0.5725214198286414,0.056329849012775844
L21H12,tool,tail_suffix,0.057055242359638214,0.005186840193346143,tail_suffix,0.014134452102687045,0.0,z,0.7068972611758509,0.15911730545876887
L24H6,tool,file_target,0.0032677935669198632,0.0016338967834599316,file_target,0.0,0.0,z,0.5741183767499557,0.004645760743321719
L16H4,no_tool,tail_suffix,0.10625410825014114,0.009659464471042156,task_body,0.022099447513812154,0.0005807200929152149,z,0.19777256258234518,0.011614401858304297
L23H6,no_tool,file_target,0.0010676594101823866,0.0005338297050911933,file_target,0.0,0.0,z,0.27993710691823903,0.022067363530778164
