sample_id,head,family,span,rescue_ratio,decision_score,top1_success
apps_python_1,L23H6,no_tool,function_body_anchor,0.0,-2.90625087544322,False
apps_python_1,L23H6,no_tool,file_target,0.03763440860215054,-2.7959861755371094,False
apps_python_1,L23H6,no_tool,tail_suffix,0.03763440860215054,-2.7961502075195312,False
apps_python_1,L23H6,no_tool,task_body,0.0,-2.9060850143432617,False
codecontests_cpp_1,L20H5,tool,lead_phrase,-0.014150943396226415,-6.718400955200195,False
codecontests_cpp_1,L20H5,tool,function_body_anchor,0.08018867924528301,-6.092800140380859,False
codecontests_cpp_1,L20H5,tool,file_target,0.09433962264150944,-5.999240875244141,False
codecontests_cpp_1,L20H5,tool,tail_suffix,0.018867924528301886,-6.500274658203125,False
codecontests_cpp_1,L20H5,tool,task_body,0.018867924528301886,-6.500507354736328,False
codecontests_cpp_1,L21H1,tool,lead_phrase,-0.05660377358490566,-6.999530792236328,False
codecontests_cpp_1,L21H1,tool,function_body_anchor,-0.0330188679245283,-6.843021392822266,False
codecontests_cpp_1,L21H1,tool,file_target,-0.0330188679245283,-6.843242645263672,False
codecontests_cpp_1,L21H1,tool,tail_suffix,-0.0330188679245283,-6.842765808105469,False
codecontests_cpp_1,L21H1,tool,task_body,-0.0330188679245283,-6.843267440795898,False
codecontests_cpp_1,L21H12,tool,lead_phrase,-0.0330188679245283,-6.842842102050781,False
codecontests_cpp_1,L21H12,tool,function_body_anchor,-0.0330188679245283,-6.842887878417969,False
codecontests_cpp_1,L21H12,tool,file_target,-0.014150943396226415,-6.7177734375,False
codecontests_cpp_1,L21H12,tool,tail_suffix,-0.014150943396226415,-6.717842102050781,False
codecontests_cpp_1,L21H12,tool,task_body,-0.014150943396226415,-6.7180023193359375,False
codecontests_cpp_1,L24H6,tool,lead_phrase,0.0047169811320754715,-6.592929840087891,False
codecontests_cpp_1,L24H6,tool,function_body_anchor,-0.014150943396226415,-6.7177734375,False
codecontests_cpp_1,L24H6,tool,file_target,0.0047169811320754715,-6.593263626098633,False
codecontests_cpp_1,L24H6,tool,tail_suffix,0.0047169811320754715,-6.593040466308594,False
codecontests_cpp_1,L24H6,tool,task_body,0.0047169811320754715,-6.593280792236328,False
codecontests_cpp_1,L16H4,no_tool,lead_phrase,0.0,-6.187490224838257,False
codecontests_cpp_1,L16H4,no_tool,function_body_anchor,0.0,-6.18749968521297,False
codecontests_cpp_1,L16H4,no_tool,file_target,0.0,-6.187497690320015,False
codecontests_cpp_1,L16H4,no_tool,tail_suffix,-0.020202020202020204,-6.312489628791809,False
codecontests_cpp_1,L16H4,no_tool,task_body,0.0,-6.187503755092621,False
codecontests_cpp_1,L23H6,no_tool,lead_phrase,-0.020202020202020204,-6.312481164932251,False
codecontests_cpp_1,L23H6,no_tool,function_body_anchor,-0.020202020202020204,-6.312476992607117,False
codecontests_cpp_1,L23H6,no_tool,file_target,0.0,-6.187499072402716,False
codecontests_cpp_1,L23H6,no_tool,tail_suffix,-0.04040404040404041,-6.437443256378174,False
codecontests_cpp_1,L23H6,no_tool,task_body,-0.015151515151515152,-6.281242251396179,False
codecontests_java_1,L20H5,tool,lead_phrase,0.0,-12.686744689941406,False
codecontests_java_1,L20H5,tool,function_body_anchor,0.03940886699507389,-12.186920166015625,False
codecontests_java_1,L20H5,tool,file_target,0.024630541871921183,-12.375341415405273,False
codecontests_java_1,L20H5,tool,tail_suffix,0.019704433497536946,-12.436149597167969,False
codecontests_java_1,L20H5,tool,task_body,-0.0049261083743842365,-12.74884033203125,False
codecontests_java_1,L21H1,tool,lead_phrase,0.024630541871921183,-12.374279022216797,False
codecontests_java_1,L21H1,tool,function_body_anchor,0.019704433497536946,-12.436103820800781,False
codecontests_java_1,L21H1,tool,file_target,0.009852216748768473,-12.561042785644531,False
codecontests_java_1,L21H1,tool,tail_suffix,0.019704433497536946,-12.436027526855469,False
codecontests_java_1,L21H1,tool,task_body,0.0,-12.686576843261719,False
codecontests_java_1,L21H12,tool,lead_phrase,0.009852216748768473,-12.560958862304688,False
codecontests_java_1,L21H12,tool,function_body_anchor,0.029556650246305417,-12.311378479003906,False
codecontests_java_1,L21H12,tool,file_target,0.009852216748768473,-12.562084197998047,False
codecontests_java_1,L21H12,tool,tail_suffix,0.024630541871921183,-12.374736785888672,False
codecontests_java_1,L21H12,tool,task_body,0.029556650246305417,-12.311439514160156,False
codecontests_java_1,L24H6,tool,lead_phrase,0.014778325123152709,-12.498542785644531,False
codecontests_java_1,L24H6,tool,function_body_anchor,0.009852216748768473,-12.561042785644531,False
codecontests_java_1,L24H6,tool,file_target,0.0,-12.687547206878662,False
codecontests_java_1,L24H6,tool,tail_suffix,0.0,-12.687702178955078,False
codecontests_java_1,L24H6,tool,task_body,0.0,-12.687386512756348,False
codecontests_java_1,L16H4,no_tool,lead_phrase,0.01818181818181818,-6.7499916553497314,False
codecontests_java_1,L16H4,no_tool,function_body_anchor,0.01818181818181818,-6.749990880489349,False
codecontests_java_1,L16H4,no_tool,file_target,-0.004545454545454545,-6.90624663233757,False
codecontests_java_1,L16H4,no_tool,tail_suffix,0.013636363636363636,-6.781239211559296,False
codecontests_java_1,L16H4,no_tool,task_body,0.02727272727272727,-6.68746018409729,False
codecontests_java_1,L23H6,no_tool,lead_phrase,-0.00909090909090909,-6.93749064207077,False
codecontests_java_1,L23H6,no_tool,function_body_anchor,-0.022727272727272728,-7.031241714954376,False
codecontests_java_1,L23H6,no_tool,file_target,0.013636363636363636,-6.781246483325958,False
codecontests_java_1,L23H6,no_tool,tail_suffix,-0.004545454545454545,-6.90624912083149,False
codecontests_java_1,L23H6,no_tool,task_body,-0.004545454545454545,-6.906251832842827,False
