family,n_samples,promote_source_ratio_median,promote_blocked_ratio_median,promote_mediated_ratio_median,suppress_source_ratio_median,suppress_blocked_ratio_median,suppress_mediated_ratio_median
symmetric_backbone->symmetric_backbone (tool_bias),200,0.8373971797884842,0.0,0.8373971797884842,-0.7607680722891565,0.0,-0.7607680722891565
symmetric_backbone->symmetric_backbone (no_tool_bias),200,0.8373971797884842,0.0,0.8373971797884842,-0.7607680722891565,0.0,-0.7607680722891565
no_tool_bias_backbone->no_tool_bias_backbone (no_tool_bias),200,0.7029138513513513,0.0,0.7029138513513513,-0.5047951730708161,0.0,-0.5047951730708161
no_tool_bias_backbone->symmetric_backbone (no_tool_bias),200,0.7029138513513513,0.2054794520547945,0.51141670991178,-0.5047951730708161,-0.1448321891685736,-0.35529738165423963
tool_bias_backbone->symmetric_backbone (tool_bias),200,0.6575342465753424,0.20890648193963385,0.4542464114832536,-0.39652590595986825,-0.10683127572016461,-0.2868900646678424
no_tool_bias_backbone->tool_bias_backbone (no_tool_bias),200,0.7029138513513513,0.40545808966861596,0.2996062992125984,-0.5047951730708161,-0.23606811145510836,-0.2394029850746269
no_tool_bias_backbone->tool_bias_backbone (shared),200,0.7029138513513513,0.40545808966861596,0.2996062992125984,-0.5047951730708161,-0.23606811145510836,-0.2394029850746269
no_tool_bias_backbone->tool_bias_backbone (tool_bias),200,0.7029138513513513,0.40545808966861596,0.2996062992125984,-0.5047951730708161,-0.23606811145510836,-0.2394029850746269
no_tool_bias_backbone->no_tool_tail (no_tool_bias),200,0.7029138513513513,0.6453654552878726,0.05805527468823729,-0.5047951730708161,-0.43704018109790604,-0.06594202898550725
tool_bias_backbone->no_tool_bias_backbone (shared),200,0.6575342465753424,0.6168439716312057,0.05128579777907652,-0.39652590595986825,-0.33824750830564787,-0.055555555555555525
symmetric_backbone->tool_bias_backbone (tool_bias),200,0.8373971797884842,0.8031015037593985,0.03773584905660382,-0.7607680722891565,-0.7058823529411765,-0.05765273820829381
