sample_id,family,promote_source_ratio,promote_blocked_ratio,promote_mediated_ratio,suppress_source_ratio,suppress_blocked_ratio,suppress_mediated_ratio
apps_python_1,symmetric_backbone->symmetric_backbone (tool_bias),0.7547169811320755,0.0,0.7547169811320755,-0.6415094339622641,0.0,-0.6415094339622641
apps_python_1,tool_bias_backbone->symmetric_backbone (tool_bias),0.4528301886792453,0.1509433962264151,0.30188679245283023,-0.24528301886792453,-0.03773584905660377,-0.20754716981132076
apps_python_1,no_tool_bias_backbone->tool_bias_backbone (no_tool_bias),0.8113207547169812,0.5471698113207547,0.26415094339622647,-0.6415094339622641,-0.4339622641509434,-0.2075471698113207
apps_python_1,symmetric_backbone->tool_bias_backbone (tool_bias),0.7547169811320755,0.7169811320754716,0.037735849056603876,-0.6415094339622641,-0.5849056603773585,-0.05660377358490565
apps_python_1,no_tool_bias_backbone->tool_bias_backbone (shared),0.8113207547169812,0.5471698113207547,0.26415094339622647,-0.6415094339622641,-0.4339622641509434,-0.2075471698113207
apps_python_1,symmetric_backbone->symmetric_backbone (no_tool_bias),0.7547169811320755,0.0,0.7547169811320755,-0.6415094339622641,0.0,-0.6415094339622641
apps_python_1,no_tool_bias_backbone->no_tool_bias_backbone (no_tool_bias),0.8113207547169812,0.0,0.8113207547169812,-0.6415094339622641,0.0,-0.6415094339622641
apps_python_1,no_tool_bias_backbone->symmetric_backbone (no_tool_bias),0.8113207547169812,0.24528301886792453,0.5660377358490567,-0.6415094339622641,-0.16981132075471697,-0.4716981132075472
apps_python_1,no_tool_bias_backbone->tool_bias_backbone (tool_bias),0.8113207547169812,0.5471698113207547,0.26415094339622647,-0.6415094339622641,-0.4339622641509434,-0.2075471698113207
apps_python_1,no_tool_bias_backbone->no_tool_tail (no_tool_bias),0.8113207547169812,0.7358490566037735,0.07547169811320764,-0.6415094339622641,-0.5660377358490566,-0.07547169811320753
apps_python_1,tool_bias_backbone->no_tool_bias_backbone (shared),0.4528301886792453,0.5094339622641509,-0.05660377358490565,-0.24528301886792453,-0.39622641509433965,0.15094339622641512
codecontests_cpp_1,symmetric_backbone->symmetric_backbone (tool_bias),0.782608695652174,0.0,0.782608695652174,-0.6630434782608695,0.0,-0.6630434782608695
codecontests_cpp_1,tool_bias_backbone->symmetric_backbone (tool_bias),0.6195652173913043,0.20652173913043478,0.4130434782608695,-0.2391304347826087,-0.07608695652173914,-0.16304347826086957
codecontests_cpp_1,no_tool_bias_backbone->tool_bias_backbone (no_tool_bias),0.717391304347826,0.45652173913043476,0.2608695652173913,-0.43478260869565216,-0.21739130434782608,-0.21739130434782608
codecontests_cpp_1,symmetric_backbone->tool_bias_backbone (tool_bias),0.782608695652174,0.75,0.03260869565217395,-0.6630434782608695,-0.6086956521739131,-0.05434782608695643
codecontests_cpp_1,no_tool_bias_backbone->tool_bias_backbone (shared),0.717391304347826,0.45652173913043476,0.2608695652173913,-0.43478260869565216,-0.21739130434782608,-0.21739130434782608
