sample_id,path_key,base_variant,source_variant,direction,ratio,top1,boundary_flip
codecontests_cpp_5,query_tool_path,corrupt_full,clean_full,tool,0.8454391891891891,False,False
codecontests_cpp_5,schema_tool_path,clean_no_schema,clean_full,tool,1.1121199324324325,True,True
codecontests_cpp_5,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.0557432432432432,True,True
codecontests_cpp_5,schema_tool_path,clean_no_protocol,clean_full,tool,3.3902027027027026,False,False
codecontests_cpp_5,no_tool_path,clean_full,corrupt_full,no_tool,0.6974248927038627,False,False
codecontests_java_5,query_tool_path,corrupt_full,clean_full,tool,0.954833984375,True,True
codecontests_java_5,schema_tool_path,clean_no_schema,clean_full,tool,0.890869140625,True,True
codecontests_java_5,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.26268768310546875,True,True
codecontests_java_5,schema_tool_path,clean_no_protocol,clean_full,tool,2.1787109375,True,True
codecontests_java_5,no_tool_path,clean_full,corrupt_full,no_tool,0.7911522633744856,True,False
codecontests_cpp_6,query_tool_path,corrupt_full,clean_full,tool,0.5106382978723404,False,False
codecontests_cpp_6,schema_tool_path,clean_no_schema,clean_full,tool,0.6201795212765957,True,True
codecontests_cpp_6,schema_tool_path,clean_schema_mismatch,clean_full,tool,2.193317819148936,True,True
codecontests_cpp_6,schema_tool_path,clean_no_protocol,clean_full,tool,4.840425531914893,True,True
codecontests_cpp_6,no_tool_path,clean_full,corrupt_full,no_tool,0.7844036697247706,False,False
codecontests_java_6,query_tool_path,corrupt_full,clean_full,tool,0.7288961038961039,False,False
codecontests_java_6,schema_tool_path,clean_no_schema,clean_full,tool,0.5271915584415584,True,True
codecontests_java_6,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.9943181818181818,True,True
codecontests_java_6,schema_tool_path,clean_no_protocol,clean_full,tool,1.8254870129870129,False,False
codecontests_java_6,no_tool_path,clean_full,corrupt_full,no_tool,0.9103009259259259,True,True
codecontests_java_7,query_tool_path,corrupt_full,clean_full,tool,0.9080882352941176,True,True
codecontests_java_7,schema_tool_path,clean_no_schema,clean_full,tool,0.7908241421568627,True,True
codecontests_java_7,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.6862745098039216,True,True
codecontests_java_7,schema_tool_path,clean_no_protocol,clean_full,tool,1.8442095588235294,True,True
codecontests_java_7,no_tool_path,clean_full,corrupt_full,no_tool,0.7893700787401575,False,False
apps_python_8,query_tool_path,corrupt_full,clean_full,tool,0.7021531100478469,False,False
apps_python_8,schema_tool_path,clean_no_schema,clean_full,tool,0.018877093301435405,True,True
apps_python_8,schema_tool_path,clean_schema_mismatch,clean_full,tool,2.2048444976076556,True,True
apps_python_8,schema_tool_path,clean_no_protocol,clean_full,tool,3.848684210526316,True,True
