sample_id,sample_rank,q_index,filename,direction,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
codecontests_cpp_692,1126,,codecontests_cpp_692.txt,reverse_no_tool,ok,0.0,-4.21875,4.21875,0.9958333333333333,1.1185185185185185,0.9878472222222222,0.9555555555555556,L21H12,I,<tool_call>,full,
codecontests_cpp_693,1127,,codecontests_cpp_693.txt,reverse_no_tool,ok,0.0,-1.9296875,1.9296875,0.9986952808704453,0.9473684210526315,0.9937689777327935,1.174089068825911,L21H12,I,<tool_call>,full,
codecontests_cpp_694,1128,,codecontests_cpp_694.txt,reverse_no_tool,ok,0.0,-1.4453125,1.4453125,0.9982474662162162,1.0594594594594595,0.9988228462837838,0.8918918918918919,L21H12,I,<tool_call>,full,
codecontests_cpp_697,1129,,codecontests_cpp_697.txt,reverse_no_tool,ok,0.0,-1.609375,1.609375,0.9739077669902912,1.2184466019417475,0.9811893203883495,0.9805825242718447,L24H6,I,<tool_call>,full,
codecontests_cpp_698,1130,,codecontests_cpp_698.txt,reverse_no_tool,ok,0.0,-2.734375,2.734375,0.9933035714285714,0.7714285714285715,0.9916071428571429,0.6542857142857142,L24H6,I,<tool_call>,full,
codecontests_cpp_699,1131,,codecontests_cpp_699.txt,reverse_no_tool,ok,0.0,-6.21875,6.21875,0.9980959484924623,1.0100502512562815,0.9839038944723618,0.7839195979899497,L24H6,I,<tool_call>,full,
codecontests_cpp_700,1132,,codecontests_cpp_700.txt,reverse_no_tool,ok,0.0,-4.40625,4.40625,0.9991065492021277,1.0212765957446808,0.9957058953900709,1.0425531914893618,L24H6,I,<tool_call>,full,
codecontests_cpp_701,1133,,codecontests_cpp_701.txt,reverse_no_tool,ok,0.0,-1.7265625,1.7265625,0.9970482183257918,1.1855203619909502,0.9965179581447964,1.3122171945701357,L21H1,I,<tool_call>,full,
codecontests_cpp_702,1134,,codecontests_cpp_702.txt,reverse_no_tool,ok,0.0,-5.5,5.5,0.9962269176136364,1.0,0.9954723011363636,0.9034090909090909,L24H6,I,<tool_call>,full,
codecontests_cpp_705,1135,,codecontests_cpp_705.txt,reverse_no_tool,ok,0.0,-3.234375,3.234375,0.9910929951690821,1.0483091787439613,0.9832427536231884,0.7246376811594203,L24H6,I,<tool_call>,full,
codecontests_cpp_707,1136,,codecontests_cpp_707.txt,reverse_no_tool,ok,0.0,-1.453125,1.453125,0.988239247311828,1.3978494623655915,0.9660618279569892,0.8924731182795699,L24H6,I,<tool_call>,full,
codecontests_cpp_708,1137,,codecontests_cpp_708.txt,reverse_no_tool,ok,0.0,-2.6875,2.6875,0.9840116279069767,0.8546511627906976,0.9929596656976745,0.7267441860465116,L24H6,I,<tool_call>,full,
codecontests_cpp_709,1138,,codecontests_cpp_709.txt,reverse_no_tool,ok,0.0,-4.625,4.625,0.9964368665540541,0.918918918918919,0.9960145692567568,0.8344594594594594,L21H1,I,<tool_call>,full,
codecontests_cpp_710,1139,,codecontests_cpp_710.txt,reverse_no_tool,ok,0.0,-3.46875,3.46875,0.9946509009009009,0.8108108108108109,0.9820523648648649,0.7072072072072072,L21H12,I,<tool_call>,full,
