sample_id,combo,n_nodes,promote_ratio,suppress_ratio,promote_tool_top1,suppress_no_tool_top1,promote_gain_vs_symmetric,suppress_gain_vs_symmetric,promote_top1_gain_vs_symmetric,suppress_top1_gain_vs_symmetric
apps_python_1,symmetric_backbone,7,0.7547169811320755,-0.6415094339622641,True,True,0.0,0.0,0.0,0.0
apps_python_1,symmetric_plus_tool_bias,10,0.7735849056603774,-0.660377358490566,True,True,0.018867924528301883,-0.018867924528301883,0.0,0.0
apps_python_1,symmetric_plus_no_tool_bias,13,0.9056603773584906,-0.9245283018867925,True,True,0.15094339622641506,-0.28301886792452835,0.0,0.0
apps_python_1,symmetric_plus_tool_mode,15,0.8679245283018868,-0.8301886792452831,True,True,0.1132075471698113,-0.18867924528301894,0.0,0.0
apps_python_1,symmetric_plus_no_tool_mode,15,0.9245283018867925,-0.9245283018867925,True,True,0.16981132075471694,-0.28301886792452835,0.0,0.0
apps_python_1,full_signed_circuit,23,1.0,-1.0377358490566038,True,True,0.24528301886792447,-0.39622641509433965,0.0,0.0
codecontests_cpp_1,symmetric_backbone,7,0.782608695652174,-0.6630434782608695,True,True,0.0,0.0,0.0,0.0
codecontests_cpp_1,symmetric_plus_tool_bias,10,0.8478260869565217,-0.7717391304347826,True,True,0.06521739130434778,-0.10869565217391308,0.0,0.0
codecontests_cpp_1,symmetric_plus_no_tool_bias,13,0.9239130434782609,-0.8695652173913043,True,True,0.14130434782608692,-0.2065217391304348,0.0,0.0
codecontests_cpp_1,symmetric_plus_tool_mode,15,0.8695652173913043,-0.7934782608695652,True,True,0.08695652173913038,-0.13043478260869568,0.0,0.0
codecontests_cpp_1,symmetric_plus_no_tool_mode,15,0.9347826086956522,-0.8913043478260869,True,True,0.15217391304347827,-0.2282608695652174,0.0,0.0
codecontests_cpp_1,full_signed_circuit,23,0.9456521739130435,-0.9347826086956522,True,True,0.1630434782608695,-0.2717391304347827,0.0,0.0
codecontests_java_1,symmetric_backbone,7,0.8355263157894737,-0.6776315789473685,True,True,0.0,0.0,0.0,0.0
codecontests_java_1,symmetric_plus_tool_bias,10,0.9276315789473685,-0.8947368421052632,True,True,0.0921052631578948,-0.2171052631578947,0.0,0.0
codecontests_java_1,symmetric_plus_no_tool_bias,13,0.9605263157894737,-0.9210526315789473,True,True,0.125,-0.24342105263157887,0.0,0.0
codecontests_java_1,symmetric_plus_tool_mode,15,0.9342105263157895,-0.8782894736842105,True,True,0.09868421052631582,-0.20065789473684204,0.0,0.0
