group,functional_label,n_samples,n_nodes,promote_suff_ratio_median,suppress_suff_ratio_median,promote_tool_top1_rate,suppress_no_tool_top1_rate,promote_nec_drop_median,suppress_nec_drop_median,promote_nec_top1_drop_mean,suppress_nec_top1_drop_mean
full_functional_circuit,full_functional_circuit,1722,24,0.9996854096456291,0.9979679017405432,0.9988385598141696,0.997096399535424,0.0,0.0,0.0,0.0
tool_schema_readers,Tool-Schema Readers,1722,6,0.9653074402005557,0.9078301309346392,0.8385598141695703,0.7531939605110337,0.0004779218105243621,0.0013970431403181882,0.008130081300813009,0.0017421602787456446
user_query_readers,User-Query Readers,1722,1,0.0415587219343696,0.006097560975609756,0.0,0.0011614401858304297,3.049077305083969e-07,1.8168604651147557e-05,0.0005807200929152149,0.0
suppression_readers,Suppression Readers,1722,6,0.877791737330407,0.7388472810159556,0.48257839721254353,0.3797909407665505,0.00013752997898103247,0.0011925641972429513,0.003484320557491289,0.0017421602787456446
tool_call_writers,Tool-Call Writers,1722,2,0.5977852005657368,0.27951630889322554,0.09349593495934959,0.04413472706155633,1.819505652911335e-05,0.0009765625,0.0011614401858304297,0.0011614401858304297
no_tool_writers,No-Tool Writers,1722,2,0.5900459959900932,0.5407248157248157,0.13995354239256677,0.18815331010452963,0.00019549207282909542,0.0010055374313186483,0.0017421602787456446,0.0029036004645760743
arbitration_integrators,Arbitration Integrators,1722,7,0.9906978366181283,0.9811031590188783,0.9587688734030198,0.9767711962833914,0.0005031673211304266,0.0029968206781615936,0.006387921022067364,0.003484320557491289
