sample_id,sample_rank,q_index,cluster_id,cluster_size,weight
codecontests_cpp_264,495,,0,305,0.9993920736754967
apps_python_267,498,,0,305,0.9473175321930281
codecontests_java_267,499,,0,305,0.9994762073863637
apps_python_273,505,,0,305,0.9990445143884892
codecontests_cpp_274,507,,0,305,0.8269394814588755
codecontests_cpp_276,510,,0,305,0.9999274553571429
codecontests_cpp_279,517,,0,305,0.9737259274574669
codecontests_cpp_281,521,,0,305,0.9185299015045166
mbpp_python_285,528,,0,305,0.9993360918972332
codecontests_cpp_288,532,,0,305,0.9999571986168435
codecontests_java_290,535,,0,305,0.877109305328478
apps_python_291,536,,0,305,0.9997682996616242
mbpp_python_291,538,,0,305,0.9998961331551535
apps_python_297,548,,0,305,0.9999754968350821
codecontests_cpp_297,549,,0,305,0.9381401583095224
apps_python_301,556,,0,305,0.9521519124983109
codecontests_cpp_301,557,,0,305,0.9714172682649518
mbpp_python_302,560,,0,305,0.9749713611602783
codecontests_cpp_304,563,,0,305,0.8305700256741957
codecontests_java_307,567,,0,305,0.9701217729218152
codecontests_java_309,572,,0,305,0.845767448565478
codecontests_cpp_314,583,,0,305,0.9998407273065476
apps_python_316,587,,0,305,0.9834864753560734
codecontests_cpp_317,589,,0,305,0.9322974495652828
codecontests_cpp_320,594,,0,305,0.9888493586513482
apps_python_323,601,,0,305,0.9997052228009259
apps_python_324,603,,0,305,0.9093526082631841
codecontests_cpp_328,610,,0,305,0.9367642981480276
apps_python_333,619,,0,305,0.9999280747536307
codecontests_cpp_335,622,,0,305,0.9728753178523772
mbpp_python_335,623,,0,305,0.9814814814814815
apps_python_336,624,,0,305,0.9854403409090909
codecontests_cpp_337,626,,0,305,0.9993561126373627
codecontests_java_338,628,,0,305,0.8667481199062911
apps_python_339,629,,0,305,0.9998027473096026
codecontests_cpp_339,630,,0,305,0.952045727106887
codecontests_cpp_340,632,,0,305,0.9999060537300858
codecontests_cpp_341,635,,0,305,0.9807252940341565
codecontests_cpp_344,639,,0,305,0.9970871497844828
codecontests_java_346,645,,0,305,0.8879531770062868
apps_python_347,646,,0,305,0.9996441981589147
codecontests_cpp_347,647,,0,305,0.9999740672223445
codecontests_java_348,649,,0,305,0.8995424517463235
codecontests_java_350,652,,0,305,0.9991167853860294
codecontests_cpp_358,663,,0,305,0.9427247837611608
codecontests_java_363,675,,0,305,0.9616084600200374
codecontests_java_364,676,,0,305,0.8261274524451881
apps_python_365,678,,0,305,0.9999642956398221
codecontests_cpp_366,682,,0,305,0.9998948503248762
codecontests_cpp_367,684,,0,305,0.999851707175926
codecontests_cpp_369,690,,0,305,0.9997010842347757
apps_python_370,691,,0,305,0.9612461564381539
codecontests_cpp_370,692,,0,305,0.999597588900862
