base_variant,candidate,n_samples,source_rescue_median,blocked_rescue_median,mlp27_mediated_rescue_median,blocked_retained_fraction_median,source_tool_top1_rate,blocked_tool_top1_rate,source_boundary_flip_rate,blocked_boundary_flip_rate
clean_no_protocol,L17H8,8,0.46201235171823407,0.2572266815687868,0.202710346092699,0.49878875968992253,0.0,0.0,0.0,0.0
clean_no_protocol,L21H1,8,2.256127450980392,1.2116727383120827,1.0135222892575833,0.556240062433871,0.0,0.0,0.0,0.0
clean_no_protocol,L21H12,8,1.8980434053963466,1.1107549857549857,0.7872884196413608,0.5791745221988096,0.0,0.0,0.125,0.0
clean_no_protocol,L23H6,8,1.1884978229317853,0.6531085678935973,0.5340540425168616,0.5653151206017117,0.0,0.0,0.0,0.0
clean_no_protocol,L24H6,8,2.003362242332831,1.016884531590414,0.9864777107424167,0.5147229393497212,0.0,0.0,0.0,0.0
clean_no_protocol,MLP16,8,-0.28580581813340433,-0.11577186792704033,-0.2903112388406506,0.40572012257405515,0.0,0.0,0.0,0.0
clean_no_protocol,MLP19,8,0.02128450599498094,0.005716144623106233,0.03773584905660377,0.665,0.0,0.0,0.0,0.0
clean_no_protocol,MLP27,8,2.1225280710574825,0.0,2.1225280710574825,0.0,0.25,0.0,0.25,0.0
clean_no_schema,L17H8,8,0.2719252271139064,0.14902166317260657,0.1229035639412998,0.5867044228694714,0.375,0.375,0.375,0.375
clean_no_schema,L21H1,8,0.4293708508036338,0.24519566736547868,0.18417518343815512,0.5476376084598699,0.5,0.375,0.5,0.375
clean_no_schema,L21H12,8,0.4749273890635919,0.2962307826694619,0.17869660639413,0.6132019615218511,0.75,0.375,0.75,0.375
clean_no_schema,L23H6,8,0.40960757337526205,0.23233315863032844,0.1772744147449336,0.5169255399393482,0.5,0.375,0.5,0.375
clean_no_schema,L24H6,8,0.40940557302585606,0.2282713137665968,0.18113425925925927,0.5263964914594736,0.5,0.375,0.5,0.375
clean_no_schema,MLP16,8,0.35782724056603776,0.224984713487072,0.1327235138087065,0.5997492508103479,0.5,0.375,0.5,0.5
clean_no_schema,MLP19,8,0.48200832023060797,0.33844920531647926,0.14195984014675053,0.7263567625609593,0.625,0.5,0.625,0.5
clean_no_schema,MLP27,8,0.4523442959468903,0.0,0.4523442959468903,0.0,0.625,0.0,0.625,0.0
clean_schema_mismatch,L17H8,8,0.48590705227343023,0.2655596345940408,0.21858567893597275,0.5317673560223634,0.125,0.0,0.125,0.0
clean_schema_mismatch,L21H1,8,1.0096293914880903,0.5474927675988428,0.4074633736871457,0.5193042409814349,0.5,0.125,0.625,0.125
clean_schema_mismatch,L21H12,8,1.0004910783942225,0.5711833805140093,0.40490734120208316,0.5751579636083506,0.625,0.125,0.625,0.125
clean_schema_mismatch,L23H6,8,0.7646480762116168,0.36760081391046984,0.39704726230114684,0.48355925023827173,0.25,0.0,0.25,0.125
clean_schema_mismatch,L24H6,8,0.7522248814945627,0.36203411097685656,0.3996193968303502,0.4909762162656944,0.125,0.0,0.125,0.0
clean_schema_mismatch,MLP16,8,0.15337559557457803,0.10832791151594015,0.03607768715174028,0.49087850950963896,0.0,0.0,0.0,0.0
clean_schema_mismatch,MLP19,8,0.37253059118384196,0.22606043410412824,0.15381125226860254,0.5856434980581224,0.125,0.0,0.125,0.0
clean_schema_mismatch,MLP27,8,0.9913758275193367,0.0,0.9913758275193367,0.0,0.625,0.0,0.625,0.0
corrupt_full,L17H8,8,0.31546273116369217,0.14034761594943768,0.1866369215860454,0.46494644595910417,0.0,0.0,0.0,0.0
corrupt_full,L21H1,8,0.6686373873873874,0.3332133362871068,0.32924031681638166,0.5036764705882353,0.0,0.0,0.0,0.0
corrupt_full,L21H12,8,0.7092731829573935,0.4085735171261487,0.32468123861566484,0.5389681987000929,0.125,0.0,0.125,0.0
corrupt_full,L23H6,8,0.6541848684822009,0.3351091099569801,0.3097058276791524,0.5084453952730237,0.0,0.0,0.0,0.0
corrupt_full,L24H6,8,0.5859075755426302,0.2857674847496099,0.306484537134692,0.4734756497768443,0.0,0.0,0.0,0.0
corrupt_full,MLP16,8,0.5957576428887904,0.3648094816127603,0.22984184599429608,0.6123985642946317,0.125,0.0,0.125,0.0
corrupt_full,MLP19,8,0.627693141254462,0.36738271290158087,0.23911070780399277,0.6062534353727116,0.0,0.0,0.0,0.0
corrupt_full,MLP27,8,0.86187473893066,0.0,0.86187473893066,0.0,0.125,0.0,0.125,0.0
