space,variant,frame,delivery_object,object_margin_median,object_correct_rate
l2h14_lead_k,develop_below,develop,below,0.0,0.3
l2h14_lead_k,develop_file,develop,file,0.0,0.3
l2h14_lead_k,write_below,write,below,0.0,0.3
l2h14_lead_k,write_file,write,file,0.0,0.3
l2h14_lead_k_centered,develop_below,develop,below,0.0,0.3
l2h14_lead_k_centered,develop_file,develop,file,0.0,0.3
l2h14_lead_k_centered,write_below,write,below,0.0,0.3
l2h14_lead_k_centered,write_file,write,file,0.0,0.3
l2h14_z,develop_below,develop,below,0.0019516050815582275,0.7
l2h14_z,develop_file,develop,file,0.008405596017837524,1.0
l2h14_z,write_below,write,below,0.007783383131027222,1.0
l2h14_z,write_file,write,file,0.0022846460342407227,0.8
l2h14_z_centered,develop_below,develop,below,-0.02980247139930725,0.5
l2h14_z_centered,develop_file,develop,file,1.0165412425994873,1.0
l2h14_z_centered,write_below,write,below,1.0328699350357056,1.0
l2h14_z_centered,write_file,write,file,0.13492470979690552,0.6
mlp11_out,develop_below,develop,below,0.0058304667472839355,1.0
mlp11_out,develop_file,develop,file,0.012735694646835327,1.0
mlp11_out,write_below,write,below,0.015056610107421875,1.0
mlp11_out,write_file,write,file,0.00730547308921814,1.0
mlp11_out_centered,develop_below,develop,below,1.1378396153450012,1.0
mlp11_out_centered,develop_file,develop,file,1.73641037940979,1.0
mlp11_out_centered,write_below,write,below,1.7139450907707214,1.0
mlp11_out_centered,write_file,write,file,1.396685540676117,1.0
