source,target,support_weighted,support_unweighted
MLP16,L17H1,0.06098046404059139,0.06
L17H12,MLP19,0.06097543410291191,0.06
MLP12,L13H6,0.06082140135843545,0.06
L13H13,MLP16,0.06078758069549334,0.06
L16H9,MLP27,0.060226769784510956,0.06
L16H4,MLP19,0.060202016356692166,0.06
MLP6,L16H4,0.06009996008194482,0.06
MLP3,L16H8,0.0600186823207776,0.06
L18H14,MLP27,0.059767001036148466,0.06
Input Embed,MLP4,0.05953349800409657,0.06
L12H6,L16H8,0.059228875070776635,0.06
MLP12,L15H9,0.059208802361233874,0.06
Input Embed,L6H0,0.05920654787011866,0.06
L16H6,MLP27,0.05878087095389259,0.06
MLP12,L16H6,0.05878087095389259,0.06
MLP3,L9H3,0.058582100542094055,0.06
MLP20,L21H12,0.05762928203393687,0.06
MLP5,MLP12,0.05747240818965775,0.06
L17H12,MLP27,0.05731436913615761,0.06
L12H6,L13H9,0.0567744678259842,0.06
L16H13,MLP27,0.05633769389857874,0.06
MLP9,L12H6,0.05628120416445903,0.06
MLP5,L12H6,0.05556278047788051,0.06
L10H2,L12H6,0.0553645083100505,0.06
MLP3,L6H0,0.05528573567788552,0.06
MLP5,L16H4,0.0541767696231452,0.06
MLP10,L15H5,0.04167504164579986,0.04
MLP11,L15H5,0.04167504164579986,0.04
L12H10,L15H5,0.04167504164579986,0.04
L12H10,L13H3,0.04167504164579986,0.04
MLP11,L12H10,0.04167504164579986,0.04
L11H1,L13H10,0.04167504164579986,0.04
L16H9,MLP19,0.04167504164579986,0.04
L16H9,MLP20,0.04167504164579986,0.04
L17H14,MLP27,0.04167504164579986,0.04
L12H6,L16H9,0.04167504164579986,0.04
MLP0,L13H6,0.04167504164579986,0.04
L20H14,L23H6,0.04167504164579986,0.04
L11H1,L12H6,0.04167504164579986,0.04
L20H14,L24H6,0.04167504164579986,0.04
MLP18,MLP27,0.04167504164579986,0.04
MLP10,L11H1,0.04167504164579986,0.04
Input Embed,MLP10,0.04167504164579986,0.04
L11H1,L15H5,0.04167504164579986,0.04
MLP11,MLP13,0.04167504164579986,0.04
L2H15,MLP11,0.04167504164579986,0.04
L13H10,L15H5,0.04167504164579986,0.04
L16H13,L17H8,0.04167504164579986,0.04
MLP6,L12H0,0.04167504164579986,0.04
L16H13,L17H2,0.04167504164579986,0.04
MLP1,L10H2,0.04167504164579986,0.04
MLP11,L16H9,0.04167504164579986,0.04
L13H6,MLP17,0.04137304859039551,0.04
L4H15,L10H2,0.04137304859039551,0.04
