path_key,path_label,direction,source,target,source_label,target_label,sign,union_support_max,promote_mediated_ratio_median,suppress_mediated_ratio_median
query_tool_path,Query-Conditioned Tool Branch,tool,L2H14,MLP11,User-Query Readers / tool_tail / tool-tail router / reads user content on tool endpoint (user=0.31),Tool-Call Writers / tool_bias_backbone / tool-biased writer MLP / tool-skewed writer (+0.18),tool_bias,0.18738427175849032,0.009009009009009014,0.0
query_tool_path,Query-Conditioned Tool Branch,tool,MLP11,MLP16,Tool-Call Writers / tool_bias_backbone / tool-biased writer MLP / tool-skewed writer (+0.18),Arbitration Integrators / symmetric_backbone / shared writer MLP / shared late writer with balanced causal role (+0.09),tool_bias,0.24158735127770317,0.24221491228070174,0.1325481520041645
query_tool_path,Query-Conditioned Tool Branch,tool,MLP16,L24H6,Arbitration Integrators / symmetric_backbone / shared writer MLP / shared late writer with balanced causal role (+0.09),Arbitration Integrators / symmetric_backbone / format/prefix router / late shared head with balanced causal profile (+0.16),no_tool_bias,0.23734295258754193,0.16573809671612139,0.03778024092354024
query_tool_path,Query-Conditioned Tool Branch,tool,L24H6,Residual Output: decision,Arbitration Integrators / symmetric_backbone / format/prefix router / late shared head with balanced causal profile (+0.16),final endpoint write,shared,0.9935762388656596,nan,nan
schema_tool_path,Schema-Conditioned Tool Branch,tool,L21H12,MLP27,"Tool-Schema Readers / tool_bias_backbone / format/prefix router / reads tools/tags (tools=0.25, tags=0.015)",Arbitration Integrators / symmetric_backbone / shared writer MLP / shared late writer with balanced causal role (+0.00),shared,0.7135113461699809,0.3284202317290552,0.16629297458893869
schema_tool_path,Schema-Conditioned Tool Branch,tool,MLP27,Residual Output: decision,Arbitration Integrators / symmetric_backbone / shared writer MLP / shared late writer with balanced causal role (+0.00),final endpoint write,shared,0.9993829715875546,nan,nan
no_tool_path,No-Tool Suppression Branch,no_tool,L16H4,MLP17,"Suppression Readers / no_tool_bias_backbone / no-tool-biased router / reads user/prefix more in no-tool mode (d_user=+0.06, d_prefix=-0.00)",No-Tool Writers / no_tool_bias_backbone / no-tool-biased writer MLP / no-tool-skewed writer (+0.08),no_tool_bias,0.41926574497739716,0.08064516129032256,0.07608695652173914
no_tool_path,No-Tool Suppression Branch,no_tool,MLP17,L23H6,No-Tool Writers / no_tool_bias_backbone / no-tool-biased writer MLP / no-tool-skewed writer (+0.08),"Suppression Readers / tool_bias_backbone / tool-biased router / reads user/prefix more in no-tool mode (d_user=+0.02, d_prefix=+0.06)",no_tool_bias,0.5528304976961251,0.05007961783439491,0.06586826347305388
no_tool_path,No-Tool Suppression Branch,no_tool,L23H6,Residual Output: decision,"Suppression Readers / tool_bias_backbone / tool-biased router / reads user/prefix more in no-tool mode (d_user=+0.02, d_prefix=+0.06)",final endpoint write,shared,0.9942892693240383,nan,nan
