sample_id,frame,node,file_rescue_ratio,object_decision_score,object_boundary_flip,tool_top1,no_tool_top1
apps_python_8,write,L2H14,0.20774647887323944,-0.8636474609375,False,False,True
apps_python_8,write,MLP11,0.31690140845070425,-0.71630859375,False,False,True
apps_python_8,develop,L2H14,-0.135,-0.21832275390625,False,False,True
apps_python_8,develop,MLP11,0.0,-0.149169921875,False,False,True
apps_python_9,write,L2H14,0.08571428571428572,-0.15604686737060547,False,True,False
apps_python_9,write,MLP11,0.16,-0.14308738708496094,False,True,False
apps_python_9,develop,L2H14,0.5930851063829787,-0.01953125,False,False,True
apps_python_9,develop,MLP11,-1.148936170212766,-0.175048828125,False,True,False
codecontests_cpp_9,write,L2H14,0.14344262295081966,-0.40643310546875,False,True,False
codecontests_cpp_9,write,MLP11,-0.2540983606557377,-0.555419921875,False,True,False
codecontests_cpp_9,develop,L2H14,-0.14583333333333334,-0.160125732421875,False,False,True
codecontests_cpp_9,develop,MLP11,0.11458333333333333,-0.11138916015625,False,False,True
codecontests_java_9,write,L2H14,0.373015873015873,-0.135009765625,False,False,False
codecontests_java_9,write,MLP11,-1.3650793650793651,-0.53125,False,False,True
codecontests_java_9,develop,L2H14,0.4110429447852761,-0.01531982421875,False,False,True
codecontests_java_9,develop,MLP11,-1.2331288343558282,-0.08123779296875,False,False,True
apps_python_10,write,L2H14,-0.36492890995260663,-0.06954193115234375,False,True,False
apps_python_10,write,MLP11,-3.322274881516588,-0.14892578125,False,True,False
apps_python_10,develop,L2H14,-0.7424242424242424,-0.2177734375,False,False,True
apps_python_10,develop,MLP11,-0.16666666666666666,-0.13232421875,False,False,True
codecontests_cpp_11,write,L2H14,-4.125541125541125,-0.00701904296875,False,True,False
codecontests_cpp_11,write,MLP11,-10.151515151515152,-0.01318359375,False,True,False
codecontests_cpp_11,develop,L2H14,0.363905325443787,-0.04193115234375,False,False,True
codecontests_cpp_11,develop,MLP11,-0.8816568047337278,-0.14697265625,False,False,True
codecontests_java_11,write,L2H14,-0.06486486486486487,-0.768524169921875,False,True,False
codecontests_java_11,write,MLP11,0.8040540540540541,0.2939453125,True,False,True
codecontests_java_11,develop,L2H14,-0.3804347826086957,-0.057403564453125,False,False,True
codecontests_java_11,develop,MLP11,-2.391304347826087,-0.087890625,False,False,True
humaneval_python_11,write,L2H14,-0.3805970149253731,-0.08697509765625,False,True,False
humaneval_python_11,write,MLP11,0.1455223880597015,-0.0333251953125,False,True,False
humaneval_python_11,develop,L2H14,-0.11210762331838565,-0.0569000244140625,False,False,True
humaneval_python_11,develop,MLP11,-1.1345291479820627,-0.07958984375,False,False,True
mbpp_python_11,write,L2H14,0.0048543689320388345,-0.20017623901367188,False,True,False
mbpp_python_11,write,MLP11,0.5145631067961165,-0.054443359375,False,True,False
mbpp_python_11,develop,L2H14,-0.006666666666666667,-0.0154876708984375,False,False,True
mbpp_python_11,develop,MLP11,-2.973333333333333,-0.00634765625,False,False,True
codecontests_cpp_12,write,L2H14,-0.7105263157894737,-0.712646484375,False,False,True
codecontests_cpp_12,write,MLP11,-0.6666666666666666,-0.68701171875,False,False,True
codecontests_cpp_12,develop,L2H14,0.21804511278195488,-0.2018890380859375,False,False,True
codecontests_cpp_12,develop,MLP11,-0.06015037593984962,-0.26019287109375,False,False,True
codecontests_java_12,write,L2H14,-0.125,-0.08170318603515625,False,False,True
codecontests_java_12,write,MLP11,-0.6513157894736842,-0.1064453125,False,False,True
codecontests_java_12,develop,L2H14,0.06629834254143646,-0.0792083740234375,False,False,True
codecontests_java_12,develop,MLP11,-0.1712707182320442,-0.048583984375,False,False,True
apps_python_13,write,L2H14,-0.012145748987854251,-0.061005592346191406,False,True,False
apps_python_13,write,MLP11,-3.5991902834008096,-0.171875,False,True,False
apps_python_13,develop,L2H14,-0.27346938775510204,-0.60467529296875,False,False,True
apps_python_13,develop,MLP11,-0.19183673469387755,-0.5501708984375,False,False,True
codecontests_java_13,write,L2H14,-0.2919254658385093,-1.607177734375,False,True,False
codecontests_java_13,write,MLP11,-0.037267080745341616,-1.3006591796875,False,True,False
codecontests_java_13,develop,L2H14,0.14285714285714285,-0.0383758544921875,False,False,True
codecontests_java_13,develop,MLP11,0.6505102040816326,0.0047607421875,True,False,True
apps_python_14,write,L2H14,-0.14798206278026907,-0.4949951171875,False,False,True
apps_python_14,write,MLP11,-0.5874439461883408,-0.659912109375,False,False,True
apps_python_14,develop,L2H14,0.2,0.000274658203125,True,False,True
