source_group,target_group,sign,n_edges,support_median,top_edges
tool_schema_readers,suppression_readers,tool_bias,2,0.9718255350889676,L21H12->L23H6 (0.972) | L21H1->L23H6 (0.874)
suppression_readers,arbitration_integrators,tool_bias,1,0.9125363741274051,L23H6->L24H6 (0.913)
tool_schema_readers,arbitration_integrators,tool_bias,2,0.6538390301285328,L21H12->L24H6 (0.654) | L21H1->L24H6 (0.399)
arbitration_integrators,tool_schema_readers,shared,2,0.6529296972044996,MLP19->L21H12 (0.653) | MLP16->L21H12 (0.237)
tool_schema_readers,no_tool_writers,no_tool_bias,1,0.6188213763669552,L16H8->MLP17 (0.619)
arbitration_integrators,no_tool_writers,no_tool_bias,1,0.6139924648316013,MLP16->MLP17 (0.614)
no_tool_writers,suppression_readers,no_tool_bias,2,0.5528304976961251,MLP17->L23H6 (0.553) | MLP12->L16H4 (0.276)
arbitration_integrators,suppression_readers,no_tool_bias,2,0.5054724332647839,MLP19->L23H6 (0.505) | MLP16->L23H6 (0.224)
arbitration_integrators,arbitration_integrators,no_tool_bias,4,0.5042643187823417,L24H6->MLP27 (0.972) | MLP19->L24H6 (0.504) | L20H5->MLP27 (0.338) | MLP16->L24H6 (0.237)
arbitration_integrators,tool_schema_readers,no_tool_bias,2,0.48295472680857765,MLP16->L17H8 (0.483) | MLP16->L17H2 (0.300)
suppression_readers,no_tool_writers,no_tool_bias,1,0.41926574497739716,L16H4->MLP17 (0.419)
tool_schema_readers,arbitration_integrators,shared,3,0.4113052389943442,L21H12->MLP27 (0.714) | L21H1->MLP27 (0.411) | L17H8->MLP19 (0.275)
no_tool_writers,arbitration_integrators,no_tool_bias,5,0.4058756439551646,MLP17->MLP19 (0.604) | MLP17->L24H6 (0.568) | MLP17->L20H5 (0.406) | MLP12->MLP16 (0.251)
no_tool_writers,tool_schema_readers,shared,1,0.4055152835438,MLP17->L21H1 (0.406)
arbitration_integrators,tool_schema_readers,tool_bias,4,0.38820845402753096,MLP19->L21H1 (0.626) | L20H5->L21H12 (0.388) | L20H5->L21H1 (0.364) | MLP16->L21H1 (0.201)
arbitration_integrators,arbitration_integrators,shared,4,0.3414674879921968,MLP19->L20H5 (0.342) | MLP16->MLP19 (0.341) | L13H9->MLP16 (0.154) | L12H6->MLP16 (0.134)
suppression_readers,arbitration_integrators,shared,2,0.32514064980278995,L23H6->MLP27 (0.325) | L18H14->MLP19 (0.132)
no_tool_writers,tool_schema_readers,no_tool_bias,3,0.2971545255834754,MLP17->L21H12 (0.603) | MLP12->L16H8 (0.297) | MLP12->L17H8 (0.150)
no_tool_writers,suppression_readers,tool_bias,1,0.2577662209516312,MLP17->L18H14 (0.258)
tool_call_writers,arbitration_integrators,tool_bias,2,0.24158735127770317,MLP11->MLP16 (0.242) | MLP11->L12H6 (0.229)
arbitration_integrators,suppression_readers,tool_bias,1,0.21402654075394167,MLP16->L18H14 (0.214)
tool_schema_readers,tool_schema_readers,no_tool_bias,2,0.2110984005102782,L16H8->L17H8 (0.211) | L16H8->L17H2 (0.181)
tool_call_writers,suppression_readers,tool_bias,1,0.20535289973957474,MLP21->L23H6 (0.205)
arbitration_integrators,tool_call_writers,tool_bias,2,0.20051361727578762,L20H5->MLP21 (0.201) | MLP19->MLP21 (0.186)
tool_schema_readers,arbitration_integrators,no_tool_bias,2,0.19856986950003772,L17H8->MLP27 (0.199) | L17H2->MLP19 (0.167)
user_query_readers,tool_call_writers,tool_bias,1,0.18738427175849032,L2H14->MLP11 (0.187)
tool_call_writers,tool_schema_readers,no_tool_bias,1,0.17940584182717792,MLP11->L16H8 (0.179)
arbitration_integrators,arbitration_integrators,tool_bias,1,0.1656720190823833,MLP16->L20H5 (0.166)
tool_call_writers,suppression_readers,no_tool_bias,1,0.16517181863999134,MLP11->L16H4 (0.165)
tool_schema_readers,tool_schema_readers,tool_bias,1,0.1612402428565402,L17H8->L21H12 (0.161)
tool_call_writers,tool_schema_readers,tool_bias,1,0.14748352403781395,MLP11->L17H8 (0.147)
tool_call_writers,no_tool_writers,shared,1,0.14375382302632628,MLP11->MLP12 (0.144)
suppression_readers,tool_schema_readers,no_tool_bias,1,0.13216720007830263,L16H4->L17H8 (0.132)
