sample_id,space,same_object_cross_frame_cosine,same_frame_cross_object_cosine,object_minus_frame_cosine,object_wins
apps_python_1,l2h14_lead_k,0.8966465592384338,0.9999952614307404,-0.10334870219230652,False
apps_python_1,l2h14_z,0.9550378918647766,0.9611455500125885,-0.00610765814781189,False
apps_python_1,mlp11_out,0.991712749004364,0.9708954393863678,0.020817309617996216,True
apps_python_1,l2h14_lead_k_centered,-0.9999528527259827,0.9999015033245087,-1.9998543560504913,False
apps_python_1,l2h14_z_centered,-0.15975575521588326,0.1504715085029602,-0.31022726371884346,False
apps_python_1,mlp11_out_centered,0.5482018887996674,-0.6174064874649048,1.1656083762645721,True
codecontests_cpp_1,l2h14_lead_k,0.8965784907341003,1.0000000298023224,-0.10342153906822205,False
codecontests_cpp_1,l2h14_z,0.946137547492981,0.9553297460079193,-0.009192198514938354,False
codecontests_cpp_1,mlp11_out,0.9930601119995117,0.9742167294025421,0.018843382596969604,True
codecontests_cpp_1,l2h14_lead_k_centered,-1.0000001192092896,1.0000001192092896,-2.000000238418579,False
codecontests_cpp_1,l2h14_z_centered,-0.2427310347557068,0.2318793684244156,-0.4746104031801224,False
codecontests_cpp_1,mlp11_out_centered,0.5786993503570557,-0.6560223996639252,1.2347217500209808,True
codecontests_java_1,l2h14_lead_k,0.8966465592384338,0.9999952614307404,-0.10334870219230652,False
codecontests_java_1,l2h14_z,0.9538454115390778,0.9715444445610046,-0.01769903302192688,False
codecontests_java_1,mlp11_out,0.9928170740604401,0.9739472568035126,0.01886981725692749,True
codecontests_java_1,l2h14_lead_k_centered,-0.9999528527259827,0.9999015033245087,-1.9998543560504913,False
codecontests_java_1,l2h14_z_centered,-0.3728954643011093,0.3627943694591522,-0.7356898337602615,False
codecontests_java_1,mlp11_out_centered,0.5519089996814728,-0.6277965605258942,1.179705560207367,True
mbpp_python_1,l2h14_lead_k,0.8965359032154083,0.9999971985816956,-0.10346129536628723,False
mbpp_python_1,l2h14_z,0.9698536992073059,0.918616533279419,0.05123716592788696,True
