space,same_object_cross_frame_cosine_median,same_frame_cross_object_cosine_median,object_minus_frame_cosine_median,object_wins_rate
l2h14_lead_k,0.8966465592384338,0.9999952614307404,-0.10334870219230652,0.0
l2h14_lead_k_centered,-0.9999528527259827,0.9999015033245087,-1.9998543560504913,0.0
l2h14_z,0.9525479823350906,0.9601644724607468,-0.01110568642616272,0.2
l2h14_z_centered,-0.24873265624046326,0.23772688210010529,-0.48645953834056854,0.05
mlp11_out,0.9918341785669327,0.9734617620706558,0.018677935004234314,1.0
mlp11_out_centered,0.5320716947317123,-0.6055678576231003,1.1363201290369034,1.0
