head,target,n_samples,source_ratio_median,blocked_ratio_median,mediated_ratio_median,route_delta_median,blocked_route_delta_median,route_mediated_median,source_target_score_median,blocked_target_score_median,target_rescue_median,blocked_target_rescue_median,target_mediated_median,source_tool_top1_success_rate
L2H14,MLP11,1722,0.0415587219343696,0.02997872418473277,0.009009009009009014,0.21932029724121094,0.12658309936523438,0.005437564752912659,-0.9491876716426026,-1.0141244713222444,0.04246469895202899,0.0,0.04246469895202899,0.0
L2H14,MLP16,1722,0.0415587219343696,0.04246822397801443,0.0,0.21932029724121094,0.21910381317138672,0.0,-1.0100291791677443,-0.9973296886434355,-0.0053988866033734565,0.0,-0.0053988866033734565,0.0
L2H14,MLP19,1722,0.0415587219343696,0.044374120956399435,0.0,0.21932029724121094,0.22051620483398438,3.256672615775064e-06,-1.0289849449496178,-1.0242219553084118,-0.0008316339152465076,0.0,-0.0008316339152465076,0.0
L11H5,MLP11,1722,0.04842942901019126,0.001953125,0.04040449845818973,0.23564910888671875,0.015262603759765625,0.02472132894340289,-0.6465547575436228,-1.0141244713222444,0.19720766082652233,0.0,0.19720766082652233,0.0
L11H5,MLP16,1722,0.04842942901019126,0.0,0.036589447512491324,0.23564910888671875,0.007659912109375,0.02291635393922853,-0.885516271793046,-0.9973296886434355,0.053151608645187975,0.0,0.053151608645187975,0.0
L11H5,MLP19,1722,0.04842942901019126,0.047109423718865784,0.0,0.23564910888671875,0.23705291748046875,5.007841775147352e-06,-0.9695459895411723,-1.0242219553084118,0.027612178450005534,0.0,0.027612178450005534,0.0
L13H9,MLP16,1722,0.10456030897207368,0.06322974876198265,0.04075700047460846,0.522308349609375,0.3135414123535156,0.024878299658277394,-0.9772859358383038,-0.9973296886434355,0.010128906663719395,0.0,0.010128906663719395,0.0
L13H9,MLP19,1722,0.10456030897207368,0.07641100495399858,0.0288393562606562,0.522308349609375,0.3762550354003906,0.017322480831124573,-0.9939837974015396,-1.0242219553084118,0.018386601651307767,0.0,0.018386601651307767,0.0
L16H1,MLP16,1722,0.028169014084507043,0.02426696110906637,0.0,0.12652587890625,0.12488126754760742,0.00022549432179211335,-0.9197448939355808,-0.9973296886434355,0.0373424043179439,0.0,0.0373424043179439,0.0
L16H1,MLP19,1722,0.028169014084507043,0.022060016220600165,0.0,0.12652587890625,0.11051559448242188,0.00019801963188769719,-1.024173667833252,-1.0242219553084118,0.0014644875867516089,0.0,0.0014644875867516089,0.0
L18H13,MLP19,1722,0.06864848943869394,0.02301107532100781,0.04643462190050824,0.333465576171875,0.11097335815429688,0.028229206537823806,-0.9745030159053356,-1.0242219553084118,0.025006884815272575,0.0,0.025006884815272575,0.0
L20H5,,1722,0.307643234704417,nan,nan,1.44818115234375,nan,nan,nan,nan,nan,nan,nan,0.005226480836236934
