head,span,n_samples,rescue_ratio_median,route_delta_median,tool_top1_success_rate
L2H14,lead_phrase,1722,0.025105042016806724,0.1251969337463379,0.0
L2H14,function_body_anchor,1722,0.0,0.0009613037109375,0.0
L2H14,file_target,1722,0.0,0.000835418701171875,0.0
L2H14,tail_suffix,1722,0.0,0.00041961669921875,0.0
L2H14,task_body,1722,0.0,0.001705169677734375,0.0
L11H5,lead_phrase,1722,0.0,0.001003265380859375,0.0
L11H5,function_body_anchor,1722,0.014545646884586903,0.08165740966796875,0.0
L11H5,file_target,1722,0.008289568530532386,0.0353851318359375,0.0
L11H5,tail_suffix,1722,-0.027491733585262162,-0.12329483032226562,0.0
L11H5,task_body,1722,0.05077133565989848,0.24983692169189453,0.0
L13H9,lead_phrase,1722,0.0,0.000873565673828125,0.0
L13H9,function_body_anchor,1722,0.026966428311719793,0.12490534782409668,0.0
L13H9,file_target,1722,0.04878048780487805,0.25029659271240234,0.0
L13H9,tail_suffix,1722,0.00684931506849315,0.0447540283203125,0.0
L13H9,task_body,1722,0.0,0.00131988525390625,0.0
L16H1,lead_phrase,1722,0.0,0.0006885528564453125,0.0
L16H1,function_body_anchor,1722,0.0,0.0011749267578125,0.0
L16H1,file_target,1722,0.0,0.00016641616821289062,0.0
L16H1,tail_suffix,1722,0.0,0.00038051605224609375,0.0
L16H1,task_body,1722,0.0,0.000247955322265625,0.0
L18H13,lead_phrase,1722,0.0,0.00022792816162109375,0.0
L18H13,function_body_anchor,1722,0.0,0.00055694580078125,0.0
L18H13,file_target,1722,0.0,0.00295257568359375,0.0
L18H13,tail_suffix,1722,0.0,-0.0002288818359375,0.0
L18H13,task_body,1722,0.0,0.0001430511474609375,0.0
L20H5,lead_phrase,1722,0.0,0.00015735626220703125,0.0
L20H5,function_body_anchor,1722,0.03790626069107082,0.19086456298828125,0.0
L20H5,file_target,1722,0.023529411764705882,0.11094284057617188,0.0
L20H5,tail_suffix,1722,0.005102173630092412,0.01709747314453125,0.0
L20H5,task_body,1722,0.006578947368421052,0.03249359130859375,0.0
