path_key,path_label,direction,step_idx,node,n_samples,cumulative_ratio_median,cumulative_ratio_mean,incremental_ratio_median,incremental_ratio_mean,top1_rate,boundary_flip_rate
query_tool_path,Query-Conditioned Tool Branch,tool,1,L2H14,1223,0.04263565891472868,0.03131491878952663,0.04263565891472868,0.03131491878952663,0.0,0.0
query_tool_path,Query-Conditioned Tool Branch,tool,2,MLP11,1223,0.3458333333333333,0.29302211171497217,0.30065359477124187,0.26170719292544553,0.038430089942763694,0.03679476696647588
query_tool_path,Query-Conditioned Tool Branch,tool,3,MLP16,1223,0.5773809523809523,0.5513963920738393,0.21739130434782616,0.25837428035886717,0.12837285363859363,0.1259198691741619
query_tool_path,Query-Conditioned Tool Branch,tool,4,L24H6,1223,0.8152866242038217,0.7873443385240542,0.2190040650406504,0.23594794645021486,0.3221586263286999,0.312346688470973
schema_tool_path,Schema-Conditioned Tool Branch,tool,1,L21H12,1223,0.7052238805970149,0.6945962176116343,0.7052238805970149,0.6945962176116343,0.1553556827473426,0.13900245298446443
schema_tool_path,Schema-Conditioned Tool Branch,tool,2,MLP27,1223,0.9479961832061069,0.9281373888841622,0.22983284883720934,0.23354117127252805,0.7326246933769419,0.8070318887980377
no_tool_path,No-Tool Suppression Branch,no_tool,1,L16H4,1223,0.19680851063829788,0.20332443455956392,0.19680851063829788,0.20332443455956392,0.01062959934587081,0.0008176614881439084
no_tool_path,No-Tool Suppression Branch,no_tool,2,MLP17,1223,0.6055555555555555,0.593220438829583,0.39162561576354676,0.3898960042700191,0.2542927228127555,0.18070318887980377
no_tool_path,No-Tool Suppression Branch,no_tool,3,L23H6,1223,0.7924528301886793,0.7717566979276991,0.17445054945054939,0.17853625909811607,0.5167620605069502,0.473426001635323
