sample_id,edge,source,target,sign,promote_source_ratio,promote_blocked_ratio,promote_mediated_ratio,suppress_source_ratio,suppress_blocked_ratio,suppress_mediated_ratio
apps_python_1,L24H6->MLP27,L24H6,MLP27,no_tool_bias,0.5475113122171946,0.23529411764705882,0.3122171945701358,0.45161290322580644,0.16129032258064516,0.29032258064516125
apps_python_1,L21H12->L23H6,L21H12,L23H6,tool_bias,0.45701357466063347,0.33031674208144796,0.12669683257918551,0.1935483870967742,0.08064516129032258,0.11290322580645161
apps_python_1,L23H6->L24H6,L23H6,L24H6,tool_bias,0.6787330316742082,0.3936651583710407,0.28506787330316746,0.3763440860215054,0.3064516129032258,0.06989247311827956
apps_python_1,L21H1->L23H6,L21H1,L23H6,tool_bias,0.6266968325791855,0.5158371040723982,0.11085972850678727,0.3763440860215054,0.23118279569892472,0.14516129032258066
apps_python_1,L21H12->MLP27,L21H12,MLP27,shared,0.45701357466063347,0.23529411764705882,0.22171945701357465,0.1935483870967742,0.08064516129032258,0.11290322580645161
apps_python_1,L21H12->L24H6,L21H12,L24H6,tool_bias,0.45701357466063347,0.36199095022624433,0.09502262443438914,0.1935483870967742,0.1935483870967742,0.0
apps_python_1,MLP19->L21H12,MLP19,L21H12,shared,0.7319004524886877,0.6334841628959276,0.09841628959276016,0.3978494623655914,0.3951612903225806,0.0026881720430107503
apps_python_1,MLP19->L21H1,MLP19,L21H1,tool_bias,0.7319004524886877,0.5542986425339367,0.17760180995475106,0.3978494623655914,0.32526881720430106,0.07258064516129031
apps_python_1,L16H8->MLP17,L16H8,MLP17,no_tool_bias,0.6538461538461539,0.45701357466063347,0.19683257918552038,0.34946236559139787,0.3118279569892473,0.03763440860215056
apps_python_1,MLP16->MLP17,MLP16,MLP17,no_tool_bias,0.9680429864253394,0.6289592760180995,0.33908371040723984,0.8689516129032258,0.5134408602150538,0.355510752688172
apps_python_1,MLP17->MLP19,MLP17,MLP19,no_tool_bias,0.9473981900452488,0.8110859728506787,0.1363122171945701,0.7661290322580645,0.6344086021505376,0.13172043010752688
apps_python_1,MLP17->L21H12,MLP17,L21H12,no_tool_bias,0.9473981900452488,0.9179864253393665,0.02941176470588236,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,MLP17->L24H6,MLP17,L24H6,no_tool_bias,0.9473981900452488,0.8472850678733032,0.10011312217194568,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,MLP17->L23H6,MLP17,L23H6,no_tool_bias,0.9473981900452488,0.917420814479638,0.029977375565610864,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,MLP19->L23H6,MLP19,L23H6,no_tool_bias,0.7319004524886877,0.6583710407239819,0.07352941176470584,0.3978494623655914,0.3575268817204301,0.040322580645161255
apps_python_1,MLP19->L24H6,MLP19,L24H6,no_tool_bias,0.7319004524886877,0.579185520361991,0.15271493212669673,0.3978494623655914,0.3951612903225806,0.0026881720430107503
apps_python_1,MLP16->L17H8,MLP16,L17H8,no_tool_bias,0.9680429864253394,0.9550339366515838,0.01300904977375561,0.8689516129032258,0.7862903225806451,0.08266129032258063
apps_python_1,L16H4->MLP17,L16H4,MLP17,no_tool_bias,0.20361990950226244,0.06787330316742081,0.13574660633484165,0.11827956989247312,0.043010752688172046,0.07526881720430108
apps_python_1,L21H1->MLP27,L21H1,MLP27,shared,0.6266968325791855,0.33031674208144796,0.29638009049773756,0.3763440860215054,0.23118279569892472,0.14516129032258066
apps_python_1,MLP17->L20H5,MLP17,L20H5,no_tool_bias,0.9473981900452488,0.9179864253393665,0.02941176470588236,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,MLP17->L21H1,MLP17,L21H1,shared,0.9473981900452488,0.917420814479638,0.029977375565610864,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,L21H1->L24H6,L21H1,L24H6,tool_bias,0.6266968325791855,0.45248868778280543,0.17420814479638008,0.3763440860215054,0.34139784946236557,0.03494623655913981
apps_python_1,L20H5->L21H12,L20H5,L21H12,tool_bias,0.0,0.0,0.0,0.03763440860215054,0.03763440860215054,0.0
apps_python_1,L20H5->L21H1,L20H5,L21H1,tool_bias,0.0,-0.03167420814479638,0.03167420814479638,0.03763440860215054,0.03763440860215054,0.0
apps_python_1,MLP19->L20H5,MLP19,L20H5,shared,0.7319004524886877,0.7104072398190046,0.02149321266968318,0.3978494623655914,0.4274193548387097,-0.02956989247311831
apps_python_1,MLP16->MLP19,MLP16,MLP19,shared,0.9680429864253394,0.9072398190045249,0.060803167420814486,0.8689516129032258,0.7997311827956989,0.06922043010752688
