base_variant,candidate,n_samples,source_rescue_median,blocked_rescue_median,mlp27_mediated_rescue_median,blocked_retained_fraction_median,source_tool_top1_rate,blocked_tool_top1_rate,source_boundary_flip_rate,blocked_boundary_flip_rate
clean_no_protocol,L17H8,1223,0.37158469945355194,0.18627450980392157,0.1810699588477366,0.5,0.0,0.0,0.0,0.0
clean_no_protocol,L21H1,1223,1.7994186046511629,0.9642857142857143,0.839779005524862,0.5314401622718052,0.008994276369582993,0.0,0.022076860179885527,0.0
clean_no_protocol,L21H12,1223,1.7266187050359711,0.9841269841269841,0.7439024390243902,0.5659163987138263,0.011447260834014717,0.0,0.032706459525756335,0.0
clean_no_protocol,L23H6,1223,0.990990990990991,0.5637583892617449,0.4245810055865922,0.5652173913043478,0.0,0.0,0.0,0.0
clean_no_protocol,L24H6,1223,1.7811158798283262,0.9130434782608695,0.873015873015873,0.5093632958801498,0.001635322976287817,0.0,0.008994276369582993,0.0
clean_no_protocol,MLP16,1223,-0.33183856502242154,-0.09795918367346938,-0.2377622377622378,0.4484161762864655,0.0,0.0,0.0,0.0
clean_no_protocol,MLP19,1223,-0.06222222222222222,-0.07207207207207207,0.008474576271186446,0.6799999999999999,0.0,0.0,0.0,0.0
clean_no_protocol,MLP27,1223,1.943609022556391,0.0,1.943609022556391,0.0,0.053147996729354045,0.0,0.06377759607522486,0.0
clean_no_schema,L17H8,1223,0.2857142857142857,0.15432098765432098,0.12760416666666669,0.5483870967741935,0.26001635322976285,0.17906786590351595,0.2902698282910875,0.2019623875715454
clean_no_schema,L21H1,1223,0.362012987012987,0.1836734693877551,0.17276422764227642,0.5079990698755958,0.3654946852003271,0.1839738348323794,0.40310711365494684,0.21259198691741618
clean_no_schema,L21H12,1223,0.5279187817258884,0.3037974683544304,0.2138888888888889,0.5779334500875657,0.5388389206868357,0.214227309893704,0.5960752248569092,0.2428454619787408
clean_no_schema,L23H6,1223,0.42563291139240506,0.2197452229299363,0.19444444444444445,0.5178947368421052,0.32297628781684384,0.17661488143908421,0.3491414554374489,0.19950940310711365
clean_no_schema,L24H6,1223,0.41466346153846156,0.21065989847715735,0.20246478873239437,0.49891540130151846,0.223221586263287,0.1381847914963205,0.26901062959934585,0.1651676206050695
clean_no_schema,MLP16,1223,0.2777777777777778,0.18502202643171806,0.09128630705394192,0.6354562489622619,0.18152085036794766,0.12346688470973018,0.2044153720359771,0.1439084219133279
clean_no_schema,MLP19,1223,0.5550314465408805,0.35130718954248363,0.19246861924686187,0.6486486486486487,0.5960752248569092,0.28699918233851185,0.6353229762878169,0.3098937040065413
clean_no_schema,MLP27,1223,0.46814903846153844,0.0,0.46814903846153844,0.0,0.3704006541291905,0.0,0.41128372853638595,0.0
clean_schema_mismatch,L17H8,1223,0.40189873417721517,0.20212765957446807,0.19078947368421054,0.5098039215686275,0.11038430089942763,0.07849550286181521,0.12183156173344235,0.08421913327882256
clean_schema_mismatch,L21H1,1223,0.6848739495798319,0.35678391959798994,0.3270547945205479,0.5049704289312712,0.2649223221586263,0.09321340964840556,0.2927228127555192,0.0973017170891251
clean_schema_mismatch,L21H12,1223,0.852112676056338,0.4782608695652174,0.3697183098591549,0.5653333333333334,0.4652493867538839,0.1463614063777596,0.5077677841373671,0.1553556827473426
clean_schema_mismatch,L23H6,1223,0.5748031496062992,0.2694610778443114,0.30284552845528456,0.4734982332155477,0.15780866721177433,0.08094848732624693,0.16271463614063778,0.08585445625511039
clean_schema_mismatch,L24H6,1223,0.6358695652173914,0.29545454545454547,0.34146341463414637,0.47368421052631576,0.13327882256745707,0.07195421095666395,0.13982011447260834,0.07604251839738348
clean_schema_mismatch,MLP16,1223,0.07792207792207792,0.03588516746411483,0.03816793893129771,0.5,0.05233033524121014,0.050695012264922325,0.05233033524121014,0.053147996729354045
clean_schema_mismatch,MLP19,1223,0.3175355450236967,0.16326530612244897,0.14705882352941174,0.5214329454990814,0.10302534750613246,0.07195421095666395,0.10956663941128372,0.07440719542109567
clean_schema_mismatch,MLP27,1223,0.9011299435028248,0.0,0.9011299435028248,0.0,0.4987735077677841,0.0,0.5363859362224039,0.0
corrupt_full,L17H8,1223,0.3142857142857143,0.14937759336099585,0.16296296296296295,0.48069469290399525,0.0008176614881439084,0.0,0.0008176614881439084,0.0
corrupt_full,L21H1,1223,0.5683760683760684,0.27697841726618705,0.2895927601809955,0.49853372434017595,0.05478331970564186,0.0,0.035977105478331974,0.0
corrupt_full,L21H12,1223,0.7052238805970149,0.36879432624113473,0.32868020304568535,0.5317919075144508,0.1553556827473426,0.001635322976287817,0.13900245298446443,0.0
corrupt_full,L23H6,1223,0.5229885057471264,0.2602739726027397,0.26394849785407726,0.5047619047619049,0.02698282910874898,0.0,0.011447260834014717,0.0
corrupt_full,L24H6,1223,0.5741626794258373,0.2679738562091503,0.30588235294117644,0.4699453551912568,0.004088307440719542,0.0,0.0,0.0
corrupt_full,MLP16,1223,0.5219298245614035,0.3181818181818182,0.19142857142857145,0.6369563472957793,0.07604251839738348,0.006541291905151268,0.07277187244480784,0.0008176614881439084
corrupt_full,MLP19,1223,0.5375722543352601,0.3080357142857143,0.22248803827751196,0.5642857142857143,0.04333605887162715,0.001635322976287817,0.028618152085036794,0.0
corrupt_full,MLP27,1223,0.8073394495412844,0.0,0.8073394495412844,0.0,0.28618152085036797,0.0,0.27309893704006544,0.0
