sample_id,sample_rank,q_index,filename,direction,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
codecontests_cpp_5,13,,codecontests_cpp_5.txt,reverse_no_tool,skipped_resume,3.75,-3.625,7.375,1.0,0.9830508474576272,0.847457627118644,0.8305084745762712,L24H6,I,<tool_call>,full,
codecontests_java_5,14,,codecontests_java_5.txt,reverse_no_tool,skipped_resume,9.3125,-3.5,12.8125,1.0829268292682928,1.0682926829268293,1.1609756097560975,1.1560975609756097,L24H6,I,<tool_call>,full,
codecontests_cpp_6,15,,codecontests_cpp_6.txt,reverse_no_tool,skipped_resume,3.25,-4.0,7.25,1.0517241379310345,1.0344827586206897,1.0517241379310345,0.9827586206896551,L24H6,I,<tool_call>,full,
codecontests_java_6,16,,codecontests_java_6.txt,reverse_no_tool,skipped_resume,10.6875,-2.75,13.4375,1.0046511627906978,1.0,0.986046511627907,1.0,L24H6,I,<tool_call>,full,
codecontests_java_7,17,,codecontests_java_7.txt,reverse_no_tool,skipped_resume,5.875,-3.625,9.5,0.9605263157894737,0.9605263157894737,0.9210526315789473,0.9473684210526315,L24H6,I,<tool_call>,full,
apps_python_8,18,,apps_python_8.txt,reverse_no_tool,skipped_resume,3.5,-2.5,6.0,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,L21H12,I,<tool_call>,full,
apps_python_9,19,,apps_python_9.txt,reverse_no_tool,skipped_resume,4.25,-3.25,7.5,1.0666666666666667,1.05,0.9166666666666666,0.95,L17H2,I,<tool_call>,full,
codecontests_cpp_9,20,,codecontests_cpp_9.txt,reverse_no_tool,skipped_resume,2.75,-4.125,6.875,1.0363636363636364,1.0,1.1272727272727272,1.0363636363636364,L21H12,I,<tool_call>,full,
codecontests_java_9,21,,codecontests_java_9.txt,reverse_no_tool,skipped_resume,7.375,-5.0,12.375,0.9191919191919192,0.9090909090909091,0.8585858585858586,0.8585858585858586,L21H12,I,<tool_call>,full,
apps_python_10,22,,apps_python_10.txt,reverse_no_tool,skipped_resume,3.125,-3.0,6.125,1.0816326530612246,1.0612244897959184,0.9183673469387755,0.9183673469387755,L24H6,I,<tool_call>,full,
codecontests_cpp_11,23,,codecontests_cpp_11.txt,reverse_no_tool,skipped_resume,2.375,-3.5,5.875,0.9574468085106383,0.9787234042553191,0.8936170212765957,0.9361702127659575,L16H8,I,<tool_call>,full,
codecontests_java_11,24,,codecontests_java_11.txt,reverse_no_tool,skipped_resume,6.875,-3.375,10.25,0.8658536585365854,0.9390243902439024,0.8414634146341463,0.926829268292683,L24H6,I,<tool_call>,full,
humaneval_python_11,25,,humaneval_python_11.txt,reverse_no_tool,skipped_resume,3.5,-2.25,5.75,1.0217391304347827,1.0217391304347827,0.8043478260869565,0.8695652173913043,L24H6,I,<tool_call>,full,
mbpp_python_11,26,,mbpp_python_11.txt,reverse_no_tool,skipped_resume,3.875,-1.875,5.75,1.065217391304348,1.0,0.8913043478260869,0.8695652173913043,L17H2,I,<tool_call>,full,
codecontests_cpp_12,27,,codecontests_cpp_12.txt,reverse_no_tool,skipped_resume,2.625,-3.0,5.625,1.0,0.9333333333333333,0.9333333333333333,0.8888888888888888,L21H12,I,<tool_call>,full,
codecontests_java_12,28,,codecontests_java_12.txt,reverse_no_tool,skipped_resume,9.5625,-6.0,15.5625,1.0040160642570282,0.9839357429718876,0.9959839357429718,0.9437751004016064,L16H4,I,<tool_call>,full,
apps_python_13,29,,apps_python_13.txt,reverse_no_tool,skipped_resume,3.25,-3.625,6.875,0.9272727272727272,1.0,0.8,0.8727272727272727,L20H14,I,<tool_call>,full,
codecontests_java_13,30,,codecontests_java_13.txt,reverse_no_tool,skipped_resume,7.75,-4.375,12.125,1.175257731958763,1.1134020618556701,1.175257731958763,1.1134020618556701,L24H6,I,<tool_call>,full,
apps_python_14,31,,apps_python_14.txt,reverse_no_tool,skipped_resume,4.875,-3.5,8.375,1.0597014925373134,1.1343283582089552,0.7611940298507462,0.835820895522388,L20H14,I,<tool_call>,full,
codecontests_cpp_14,32,,codecontests_cpp_14.txt,reverse_no_tool,skipped_resume,4.125,-4.25,8.375,0.9552238805970149,0.9850746268656716,0.9104477611940298,0.9253731343283582,L17H1,The,<tool_call>,full,
codecontests_java_14,33,,codecontests_java_14.txt,reverse_no_tool,skipped_resume,9.125,-5.125,14.25,0.956140350877193,0.9824561403508771,0.9122807017543859,0.9385964912280702,L24H6,I,<tool_call>,full,
codecontests_cpp_15,34,,codecontests_cpp_15.txt,reverse_no_tool,skipped_resume,6.0,-1.5,7.5,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.9333333333333333,L24H6,I,<tool_call>,full,
