group,set,n_points,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool
forward_only_core_heads,contrast,1189,0.004533503670245409,0.003939891699701548,-0.0005936119705438614
forward_only_core_heads,prefix_16,1189,0.36223098635673523,0.5226423740386963,0.16041138768196106
forward_only_core_heads,recent_32,1189,0.19794391095638275,0.18407240509986877,-0.013871505856513977
forward_only_core_heads,tool_call_tags,1189,0.020475802943110466,0.008853685110807419,-0.011622117832303047
forward_only_core_heads,tools_block,1189,0.10673605650663376,0.0847034677863121,-0.022032588720321655
forward_only_core_heads,user_block,1189,0.2969309687614441,0.29400479793548584,-0.002926170825958252
forward_selective_heads,contrast,5945,0.0007430567056871951,0.0011368419509381056,0.0003937852452509105
forward_selective_heads,prefix_16,5945,0.21278907358646393,0.25584807991981506,0.043059006333351135
forward_selective_heads,recent_32,5945,0.12647110223770142,0.12208516895771027,-0.00438593327999115
forward_selective_heads,tool_call_tags,5945,0.011995185166597366,0.006714991293847561,-0.0052801938727498055
forward_selective_heads,tools_block,5945,0.1276198923587799,0.1207885593175888,-0.006831333041191101
forward_selective_heads,user_block,5945,0.14747586846351624,0.18918359279632568,0.04170772433280945
reverse_only_core_heads,contrast,2378,0.006913173012435436,0.004248420707881451,-0.0026647523045539856
reverse_only_core_heads,prefix_16,2378,0.08094818890094757,0.08104556053876877,9.737163782119751e-05
reverse_only_core_heads,recent_32,2378,0.38296516239643097,0.38864344358444214,0.005678281188011169
reverse_only_core_heads,tool_call_tags,2378,0.0005350534920580685,0.00048639833403285593,-4.8655158025212586e-05
reverse_only_core_heads,tools_block,2378,0.12371005862951279,0.09422890096902847,-0.029481157660484314
reverse_only_core_heads,user_block,2378,0.4246661812067032,0.47768642008304596,0.05302023887634277
reverse_selective_heads,contrast,5945,0.004760019481182098,0.0035893924068659544,-0.001170627074316144
reverse_selective_heads,prefix_16,5945,0.11415974795818329,0.10732388496398926,-0.006835862994194031
reverse_selective_heads,recent_32,5945,0.24577781558036804,0.290428102016449,0.04465028643608093
reverse_selective_heads,tool_call_tags,5945,0.0031302375718951225,0.0032875388860702515,0.00015730131417512894
reverse_selective_heads,tools_block,5945,0.2303762137889862,0.20985448360443115,-0.020521730184555054
reverse_selective_heads,user_block,5945,0.3664068877696991,0.4197276532649994,0.05332076549530029
shared_core_heads,contrast,4756,0.0004629876639228314,0.0010078379418700933,0.0005448502779472619
shared_core_heads,prefix_16,4756,0.14519000798463821,0.2717592120170593,0.1265692040324211
shared_core_heads,recent_32,4756,0.060927316546440125,0.09918668866157532,0.03825937211513519
shared_core_heads,tool_call_tags,4756,0.01326935226097703,0.008245799690485,-0.005023552570492029
shared_core_heads,tools_block,4756,0.0508295064792037,0.10698723047971725,0.056157724000513554
shared_core_heads,user_block,4756,0.04937664605677128,0.08869042620062828,0.039313780143857
