metric,n_samples,joint_minus_best_single_median,joint_minus_best_single_ci_lo,joint_minus_best_single_ci_hi,joint_minus_L11H5_median,joint_minus_L2H14_median,joint_beats_both_rate,joint_beats_or_ties_best_single_rate,joint_beats_or_ties_L11H5_rate
MLP11_local_rescue,1223,0.04614900492827373,0.040107691348491514,0.05150268117001794,0.04614900492827373,0.19529367068644624,0.6852003270645952,0.6852003270645952,0.6852003270645952
module_local_mean_rescue,1223,0.013777230581263789,0.010089804238412908,0.016620567875040668,0.013777230581263789,0.09564569801074144,0.6394112837285364,0.6394112837285364,0.6394112837285364
route_rescue,1223,-0.007034737723214286,-0.014718191964285712,-0.00018589792687908474,0.02720859222709552,0.028486190303679437,0.4660670482420278,0.4660670482420278,0.6295993458708095
tool_ratio,1223,-0.011764705882352941,-0.0228310502283105,0.0,0.04526748971193416,0.046511627906976744,0.43908421913327883,0.4758789860997547,0.6467702371218316
