head,key_span,clean_decision_density_mean,corrupt_decision_density_mean,delta_corrupt_minus_clean
L2H14,system_preamble,0.008514437557198868,0.008110212811702164,-0.0004042247454967042
L2H14,user_lead_phrase,0.010010596659154047,0.015465795837791266,0.005455199178637219
L2H14,function_body_anchor,0.015613588233016134,0.025531659360049034,0.0099180711270329
L2H14,file_target,0.008719883414628083,0.008025817863014165,-0.0006940655516139184
L2H14,instruction_suffix,0.006820961721439466,0.006318131871810845,-0.0005028298496286207
L2H14,task_body,0.0017578117526098264,0.0016757637207706262,-8.204803183920026e-05
L11H5,system_preamble,0.0035833906096186204,0.003885617045242452,0.00030222643562383177
L11H5,user_lead_phrase,0.02564530205670729,0.03289376127806615,0.007248459221358857
L11H5,function_body_anchor,0.006685409465982127,0.010531372382882024,0.003845962916899897
L11H5,file_target,0.009781162976610946,0.015590811615470166,0.00580964863885922
L11H5,instruction_suffix,0.008354684585082487,0.008789544509691799,0.00043485992460931197
L11H5,task_body,0.006421750984996107,0.005980003210038208,-0.00044174777495789835
