condition,blocked_target,n_samples,tool_ratio_median,route_rescue_median,module_local_mean_rescue_median,tool_top1_success_rate,MLP11_local_rescue_median,MLP16_local_rescue_median,MLP19_local_rescue_median
source_only,,1223,0.04666666666666667,0.028346961652728875,0.09439200188669207,0.0,0.19567221324165188,0.05340063806580314,0.02741462183187791
block_MLP11,MLP11,1223,0.0,0.0005027488425925926,0.011619324597656177,0.0,0.0,0.02132000086159963,0.013871768376966884
block_MLP16,MLP16,1223,0.0,0.0007512019230769231,0.07694401562562805,0.0,0.19567221324165188,0.0,0.029603488117899923
block_MLP19,MLP19,1223,0.0449438202247191,0.027949104532163743,0.08445761632790975,0.0,0.19567221324165188,0.05340063806580314,0.0
