sample_id,sample_rank,q_index,group,n_nodes,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,delta_full_suff_drop,delta_full_nec_drop,gap
codecontests_cpp_186,456,,full_core,16,0.95,0.9833333333333333,nan,nan,0.0,0.0,7.5
codecontests_cpp_186,456,,tool_tag_reader,1,0.2833333333333333,0.15,0.95,0.9833333333333333,0.0,0.0,7.5
codecontests_cpp_186,456,,format_router,5,0.6166666666666667,0.45,0.9166666666666666,0.95,0.033333333333333326,0.033333333333333326,7.5
codecontests_cpp_186,456,,primary_writer_mlp,3,0.8333333333333334,0.8166666666666667,0.9333333333333333,0.9833333333333333,0.016666666666666607,0.0,7.5
codecontests_cpp_186,456,,support_mlp,3,0.5833333333333334,0.48333333333333334,0.95,1.0,0.0,-0.01666666666666672,7.5
codecontests_cpp_186,456,,all_heads,10,0.7833333333333333,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.08333333333333326,0.11666666666666659,7.5
codecontests_cpp_186,456,,all_mlps,6,0.8666666666666667,0.8666666666666667,0.7833333333333333,0.8333333333333334,0.16666666666666663,0.1499999999999999,7.5
codecontests_cpp_284,621,,full_core,16,1.0178571428571428,1.0178571428571428,nan,nan,0.0,0.0,14.0
codecontests_cpp_284,621,,tool_tag_reader,1,0.4017857142857143,0.14285714285714285,1.0089285714285714,1.0178571428571428,0.008928571428571397,0.0,14.0
codecontests_cpp_284,621,,format_router,5,0.6875,0.24107142857142858,0.9910714285714286,0.9375,0.02678571428571419,0.0803571428571428,14.0
codecontests_cpp_284,621,,primary_writer_mlp,3,0.8392857142857143,0.6696428571428571,0.8839285714285714,0.7946428571428571,0.1339285714285714,0.2232142857142857,14.0
codecontests_cpp_284,621,,support_mlp,3,0.5,0.24107142857142858,0.9464285714285714,0.9464285714285714,0.0714285714285714,0.0714285714285714,14.0
codecontests_cpp_284,621,,all_heads,10,0.7767857142857143,0.5803571428571429,0.9553571428571429,0.8214285714285714,0.06249999999999989,0.1964285714285714,14.0
codecontests_cpp_284,621,,all_mlps,6,0.9553571428571429,0.8214285714285714,0.7767857142857143,0.5803571428571429,0.2410714285714285,0.4374999999999999,14.0
