sample_id,component,direction,source_variant,base_variant,rescue_ratio,tool_score_delta,no_tool_score_delta,top1_success,boundary_flip
codecontests_cpp_1,L21H12,tool,clean_full,corrupt_full,0.8466981132075472,5.609375,-0.451171875,False,False
codecontests_cpp_1,L21H12,tool,clean_full,clean_no_schema,0.33903301886792453,2.24609375,-1.890625,True,True
codecontests_cpp_1,L21H12,tool,clean_full,clean_schema_mismatch,1.0268278301886793,6.802734375,-1.435546875,True,True
codecontests_cpp_1,L21H12,tool,clean_full,clean_no_protocol,1.721698113207547,11.40625,0.03076171875,False,False
codecontests_cpp_1,MLP27,tool,clean_full,corrupt_full,0.8844339622641509,5.859375,-0.65625,False,False
codecontests_cpp_1,MLP27,tool,clean_full,clean_no_schema,0.30630896226415094,2.029296875,-1.109375,True,True
codecontests_cpp_1,MLP27,tool,clean_full,clean_schema_mismatch,0.9787735849056604,6.484375,-0.794921875,True,True
codecontests_cpp_1,MLP27,tool,clean_full,clean_no_protocol,1.7735849056603774,11.75,-0.3017578125,False,False
codecontests_cpp_1,L16H4,no_tool,corrupt_full,clean_full,0.10606060606060606,-0.000579833984375,0.65625,False,False
codecontests_cpp_1,L16H4,no_tool,corrupt_full,clean_no_schema,0.01002209595959596,-1.0625,0.06201171875,True,True
codecontests_cpp_1,L16H4,no_tool,corrupt_full,clean_schema_mismatch,-0.004182449494949495,0.15625,-0.02587890625,True,True
codecontests_cpp_1,L16H4,no_tool,corrupt_full,clean_no_protocol,0.01223169191919192,-0.875,0.07568359375,True,True
codecontests_cpp_1,MLP17,no_tool,corrupt_full,clean_full,0.23232323232323232,-0.00408935546875,1.4375,False,False
codecontests_cpp_1,MLP17,no_tool,corrupt_full,clean_no_schema,0.013060290404040404,-1.25,0.080810546875,True,True
codecontests_cpp_1,MLP17,no_tool,corrupt_full,clean_schema_mismatch,0.004379734848484848,-3.1875,0.027099609375,True,True
codecontests_cpp_1,MLP17,no_tool,corrupt_full,clean_no_protocol,-0.04750631313131313,-5.75,-0.2939453125,True,True
codecontests_cpp_1,L23H6,no_tool,corrupt_full,clean_full,0.15151515151515152,-0.00135040283203125,0.9375,False,False
codecontests_cpp_1,L23H6,no_tool,corrupt_full,clean_no_schema,0.0012626262626262627,0.0,0.0078125,True,True
codecontests_cpp_1,L23H6,no_tool,corrupt_full,clean_schema_mismatch,-0.0016571969696969697,0.40625,-0.01025390625,True,True
codecontests_cpp_1,L23H6,no_tool,corrupt_full,clean_no_protocol,0.01286300505050505,2.25,0.07958984375,True,True
codecontests_cpp_1,L24H6,tool,clean_full,corrupt_full,0.5778301886792453,3.828125,-0.062255859375,False,False
codecontests_cpp_1,L24H6,tool,clean_full,clean_no_schema,0.2783018867924528,1.84375,-0.75390625,True,True
codecontests_cpp_1,L24H6,tool,clean_full,clean_schema_mismatch,0.7051886792452831,4.671875,-0.078125,False,False
codecontests_cpp_1,L24H6,tool,clean_full,clean_no_protocol,1.6037735849056605,10.625,0.015625,False,False
codecontests_java_1,L2H14,tool,clean_full,corrupt_full,0.1330049261083744,1.6875,-0.005401611328125,False,False
codecontests_java_1,L2H14,tool,clean_full,clean_no_schema,0.029556650246305417,0.375,-0.0009765625,False,False
codecontests_java_1,L2H14,tool,clean_full,clean_schema_mismatch,0.06403940886699508,0.8125,0.0546875,False,False
codecontests_java_1,L2H14,tool,clean_full,clean_no_protocol,-0.04926108374384237,-0.625,0.033203125,False,False
codecontests_java_1,MLP11,tool,clean_full,corrupt_full,0.5024630541871922,6.375,-0.0198974609375,False,False
codecontests_java_1,MLP11,tool,clean_full,clean_no_schema,0.09359605911330049,1.1875,-0.00927734375,False,False
codecontests_java_1,MLP11,tool,clean_full,clean_schema_mismatch,0.11822660098522167,1.5,-0.0390625,False,False
codecontests_java_1,MLP11,tool,clean_full,clean_no_protocol,-0.15270935960591134,-1.9375,0.119140625,False,False
codecontests_java_1,MLP16,tool,clean_full,corrupt_full,0.5665024630541872,7.1875,-0.1435546875,False,False
codecontests_java_1,MLP16,tool,clean_full,clean_no_schema,0.4852216748768473,6.15625,0.01123046875,False,False
codecontests_java_1,MLP16,tool,clean_full,clean_schema_mismatch,0.11822660098522167,1.5,0.107421875,False,False
codecontests_java_1,MLP16,tool,clean_full,clean_no_protocol,-0.270935960591133,-3.4375,-0.15625,False,False
codecontests_java_1,L21H12,tool,clean_full,corrupt_full,0.9227216748768473,11.70703125,-0.57421875,False,False
codecontests_java_1,L21H12,tool,clean_full,clean_no_schema,0.7781711822660099,9.873046875,-1.251953125,True,True
codecontests_java_1,L21H12,tool,clean_full,clean_schema_mismatch,1.0224753694581281,12.97265625,-1.05078125,True,True
codecontests_java_1,L21H12,tool,clean_full,clean_no_protocol,0.6865763546798029,8.7109375,-0.33203125,False,False
codecontests_java_1,MLP27,tool,clean_full,corrupt_full,0.8676108374384236,11.0078125,-0.37890625,False,False
codecontests_java_1,MLP27,tool,clean_full,clean_no_schema,0.7136699507389163,9.0546875,-0.486328125,False,False
codecontests_java_1,MLP27,tool,clean_full,clean_schema_mismatch,0.9861453201970444,12.51171875,-0.64453125,True,True
codecontests_java_1,MLP27,tool,clean_full,clean_no_protocol,0.7410714285714286,9.40234375,-0.79296875,True,True
codecontests_java_1,L16H4,no_tool,corrupt_full,clean_full,0.32272727272727275,-0.007720947265625,2.21875,False,False
codecontests_java_1,L16H4,no_tool,corrupt_full,clean_no_schema,-0.005681818181818182,-1.875,-0.0390625,True,True
codecontests_java_1,L16H4,no_tool,corrupt_full,clean_schema_mismatch,0.01619318181818182,-1.0625,0.111328125,True,True
codecontests_java_1,L16H4,no_tool,corrupt_full,clean_no_protocol,-0.005397727272727273,-2.6875,-0.037109375,True,True
codecontests_java_1,MLP17,no_tool,corrupt_full,clean_full,0.4636363636363636,-0.025390625,3.1875,False,False
codecontests_java_1,MLP17,no_tool,corrupt_full,clean_no_schema,0.005752840909090909,-3.5625,0.03955078125,True,True
codecontests_java_1,MLP17,no_tool,corrupt_full,clean_schema_mismatch,0.022443181818181817,-5.5,0.154296875,True,True
codecontests_java_1,MLP17,no_tool,corrupt_full,clean_no_protocol,0.010795454545454546,-6.5625,0.07421875,True,True
codecontests_java_1,L23H6,no_tool,corrupt_full,clean_full,0.20454545454545456,-0.0022735595703125,1.40625,False,False
codecontests_java_1,L23H6,no_tool,corrupt_full,clean_no_schema,0.004048295454545455,-0.75,0.02783203125,True,True
codecontests_java_1,L23H6,no_tool,corrupt_full,clean_schema_mismatch,0.017329545454545455,-0.5625,0.119140625,True,True
codecontests_java_1,L23H6,no_tool,corrupt_full,clean_no_protocol,0.003409090909090909,-0.8125,0.0234375,True,True
codecontests_java_1,L24H6,tool,clean_full,corrupt_full,0.6748768472906403,8.5625,-0.053955078125,False,False
codecontests_java_1,L24H6,tool,clean_full,clean_no_schema,0.6330049261083743,8.03125,-0.20703125,False,False
codecontests_java_1,L24H6,tool,clean_full,clean_schema_mismatch,0.7992610837438424,10.140625,-0.06640625,False,False
codecontests_java_1,L24H6,tool,clean_full,clean_no_protocol,0.5086206896551724,6.453125,-0.1015625,False,False
mbpp_python_1,L2H14,tool,clean_full,corrupt_full,-0.09803921568627451,-0.3125,-0.00128173828125,False,False
mbpp_python_1,L2H14,tool,clean_full,clean_no_schema,0.010186887254901961,0.032470703125,-0.1875,True,True
mbpp_python_1,L2H14,tool,clean_full,clean_schema_mismatch,0.12745098039215685,0.40625,-0.00146484375,False,False
mbpp_python_1,L2H14,tool,clean_full,clean_no_protocol,0.1568627450980392,0.5,-0.08984375,False,False
mbpp_python_1,MLP11,tool,clean_full,corrupt_full,0.24019607843137256,0.765625,-0.01519775390625,False,False
mbpp_python_1,MLP11,tool,clean_full,clean_no_schema,-0.04534313725490196,-0.14453125,0.41015625,True,True
mbpp_python_1,MLP11,tool,clean_full,clean_schema_mismatch,0.12745098039215685,0.40625,-0.00146484375,False,False
mbpp_python_1,MLP11,tool,clean_full,clean_no_protocol,-0.5098039215686274,-1.625,0.06640625,False,False
mbpp_python_1,MLP16,tool,clean_full,corrupt_full,0.5833333333333334,1.859375,-0.1162109375,False,False
mbpp_python_1,MLP16,tool,clean_full,clean_no_schema,0.0157015931372549,0.050048828125,-0.2734375,True,True
mbpp_python_1,MLP16,tool,clean_full,clean_schema_mismatch,0.6421568627450981,2.046875,-0.03271484375,False,False
mbpp_python_1,MLP16,tool,clean_full,clean_no_protocol,-0.0392156862745098,-0.125,-0.08984375,False,False
mbpp_python_1,L21H12,tool,clean_full,corrupt_full,0.3382352941176471,1.078125,-0.024169921875,False,False
mbpp_python_1,L21H12,tool,clean_full,clean_no_schema,0.02217371323529412,0.0706787109375,-0.578125,True,True
mbpp_python_1,L21H12,tool,clean_full,clean_schema_mismatch,0.9387254901960784,2.9921875,-0.060546875,False,False
mbpp_python_1,L21H12,tool,clean_full,clean_no_protocol,2.784313725490196,8.875,0.302734375,False,False
mbpp_python_1,MLP27,tool,clean_full,corrupt_full,0.7169117647058824,2.28515625,-0.244140625,False,False
mbpp_python_1,MLP27,tool,clean_full,clean_no_schema,-0.021139705882352942,-0.0673828125,0.2734375,True,True
mbpp_python_1,MLP27,tool,clean_full,clean_schema_mismatch,1.125,3.5859375,-0.5576171875,False,False
mbpp_python_1,MLP27,tool,clean_full,clean_no_protocol,3.5980392156862746,11.46875,0.0625,False,False
mbpp_python_1,L16H4,no_tool,corrupt_full,clean_full,0.23741007194244604,-0.020751953125,0.515625,False,False
mbpp_python_1,L16H4,no_tool,corrupt_full,clean_no_schema,0.1223021582733813,-0.0712890625,0.265625,False,False
mbpp_python_1,L16H4,no_tool,corrupt_full,clean_schema_mismatch,0.012477517985611511,0.703125,0.027099609375,True,True
mbpp_python_1,L16H4,no_tool,corrupt_full,clean_no_protocol,0.03776978417266187,1.125,0.08203125,True,True
mbpp_python_1,MLP17,no_tool,corrupt_full,clean_full,0.7014388489208633,-0.330078125,1.5234375,False,False
mbpp_python_1,MLP17,no_tool,corrupt_full,clean_no_schema,0.5526079136690647,-1.439453125,1.2001953125,True,True
mbpp_python_1,MLP17,no_tool,corrupt_full,clean_schema_mismatch,-0.012589928057553957,-3.9375,-0.02734375,True,True
mbpp_python_1,MLP17,no_tool,corrupt_full,clean_no_protocol,0.0710431654676259,-2.75,0.154296875,True,True
mbpp_python_1,L23H6,no_tool,corrupt_full,clean_full,0.18705035971223022,-0.01220703125,0.40625,False,False
mbpp_python_1,L23H6,no_tool,corrupt_full,clean_no_schema,0.1564748201438849,-0.09765625,0.33984375,False,False
mbpp_python_1,L23H6,no_tool,corrupt_full,clean_schema_mismatch,0.009217625899280575,0.578125,0.02001953125,True,True
mbpp_python_1,L23H6,no_tool,corrupt_full,clean_no_protocol,0.052158273381294966,2.3125,0.11328125,True,True
mbpp_python_1,L24H6,tool,clean_full,corrupt_full,0.39950980392156865,1.2734375,-0.038330078125,False,False
mbpp_python_1,L24H6,tool,clean_full,clean_no_schema,0.00045955882352941176,0.00146484375,0.0,True,True
mbpp_python_1,L24H6,tool,clean_full,clean_schema_mismatch,0.8823529411764706,2.8125,-0.01220703125,False,False
mbpp_python_1,L24H6,tool,clean_full,clean_no_protocol,3.656862745098039,11.65625,0.33984375,False,False
codecontests_java_2,L2H14,tool,clean_full,corrupt_full,0.12962962962962962,0.875,-0.0004253387451171875,False,False
codecontests_java_2,L2H14,tool,clean_full,clean_no_schema,0.023148148148148147,0.15625,0.0146484375,False,False
codecontests_java_2,L2H14,tool,clean_full,clean_schema_mismatch,0.03935185185185185,0.265625,-0.0078125,False,False
codecontests_java_2,L2H14,tool,clean_full,clean_no_protocol,0.0,0.0,0.01025390625,False,False
