sample_id,group,n_nodes,promote_suff_ratio,suppress_suff_ratio,promote_tool_top1,suppress_no_tool_top1,promote_nec_drop,suppress_nec_drop,promote_nec_top1_drop,suppress_nec_top1_drop
apps_python_1,full_functional_circuit,24,0.9999754202311935,0.9985719086021505,True,True,0.0,0.0,0.0,0.0
apps_python_1,tool_schema_readers,6,0.9623868778280543,0.8702956989247311,True,True,2.9827135180959807e-05,-0.0004830309139784994,0.0,0.0
apps_python_1,user_query_readers,1,0.3031674208144796,0.0,False,False,5.882573882920461e-05,-0.00035702284946237395,0.0,0.0
apps_python_1,suppression_readers,6,0.956447963800905,0.8286290322580645,True,True,0.0012038563171663519,-0.0009398101478494958,0.0,0.0
apps_python_1,tool_call_writers,2,0.6877828054298643,0.1774193548387097,False,False,0.00020630435166857364,0.00037802419354837635,0.0,0.0
apps_python_1,no_tool_writers,2,0.8930995475113123,0.7432795698924731,True,False,0.0012392069958993002,-9.975638440862244e-05,0.0,0.0
apps_python_1,arbitration_integrators,7,0.9948741515837104,0.9914314516129032,True,True,0.0005852194393382026,0.006804435483870885,0.0,0.0
codecontests_cpp_1,full_functional_circuit,24,0.9999568147479363,0.9968631628787878,True,True,0.0,0.0,0.0,0.0
codecontests_cpp_1,tool_schema_readers,6,0.9938458136792453,0.8383838383838383,True,False,6.852059994100212e-05,0.0021109532828282873,0.0,0.0
codecontests_cpp_1,user_query_readers,1,0.0047169811320754715,-0.020202020202020204,False,False,1.1516067216499337e-06,-0.0006214488636363535,0.0,0.0
codecontests_cpp_1,suppression_readers,6,0.9463443396226415,0.5328282828282829,True,False,3.7427218454455513e-06,-9.864267676773508e-05,0.0,0.0
codecontests_cpp_1,tool_call_writers,2,0.5047169811320755,0.045454545454545456,False,False,-1.5402739902747875e-05,0.0002959280303029832,0.0,0.0
codecontests_cpp_1,no_tool_writers,2,0.6509433962264151,0.29292929292929293,False,False,0.00010537201503535432,0.003965435606060552,0.0,0.0
codecontests_cpp_1,arbitration_integrators,7,0.9984061762971698,0.9825599747474747,True,True,0.00037139316774759124,0.00047348484848486194,0.0,0.0
codecontests_java_1,full_functional_circuit,24,0.9999950390143935,0.9989124644886364,True,True,0.0,0.0,0.0,0.0
codecontests_java_1,tool_schema_readers,6,0.9941117610837439,0.9759943181818181,True,True,8.117976447064024e-06,0.001114169034090895,0.0,0.0
codecontests_java_1,user_query_readers,1,0.1330049261083744,0.01818181818181818,False,False,1.5409121959519823e-06,0.0005814985795454808,0.0,0.0
codecontests_java_1,suppression_readers,6,0.9593596059113301,0.8397727272727272,True,False,3.0818243919039645e-06,0.003777521306818188,0.0,0.0
codecontests_java_1,tool_call_writers,2,0.7204433497536946,0.33181818181818185,False,False,3.382490185721565e-07,0.0013627485795454364,0.0,0.0
