dataset_name,language,n_samples,gap_median,gap_mean,promote__forward_only_core__ratio__median,promote__forward_only_core__ratio__mean,promote__forward_selective__ratio__median,promote__forward_selective__ratio__mean,promote__shared_backbone__ratio__median,promote__shared_backbone__ratio__mean,promote__shared_core__ratio__median,promote__shared_core__ratio__mean,suppress__reverse_only_core__ratio__median,suppress__reverse_only_core__ratio__mean,suppress__reverse_selective__ratio__median,suppress__reverse_selective__ratio__mean,suppress__shared_backbone__ratio__median,suppress__shared_backbone__ratio__mean,suppress__shared_core__ratio__median,suppress__shared_core__ratio__mean
apps,python,30,6.75,6.829166666666667,0.09647495361781076,0.0596712045062944,0.6207792207792208,0.6239719771112118,0.980566037735849,0.9861662963605637,0.9811752287121744,0.977556251683923,-0.22514812376563528,-0.22329694046091725,-0.5649213075060533,-0.5609267637498694,-1.0,-1.003748494713689,-1.0,-1.0109247570245055
codecontests,cpp,41,7.125,7.225609756097561,0.20634920634920634,0.1445747499776339,0.7538461538461538,0.7603633460496211,0.9607843137254902,0.9600493695164879,0.9807692307692307,0.9672095450662076,-0.1935483870967742,-0.2006848011299152,-0.603448275862069,-0.6009802709491503,-0.9818181818181818,-0.9762321221405585,-0.9777777777777777,-0.9896342515828088
codecontests,java,52,12.5625,12.977163461538462,0.309125723893144,0.3141717517475197,0.8036413708690331,0.8012988670981792,0.9694252444112336,0.9772607436673018,0.9613276188577693,0.9635696554007576,-0.14354652837798904,-0.15047692162474047,-0.5533253044292787,-0.5292673775149697,-0.9350288448009005,-0.9562770262305542,-0.9443757088359626,-0.9479181700966559
humaneval,python,10,6.625,7.5375,0.04767533490937746,0.053368180248360306,0.5725152129817443,0.5456245233015483,0.9891304347826086,0.992680034646811,0.967612293144208,0.971296208186258,-0.21627789046653145,-0.1912635354629658,-0.6069004524886878,-0.5693756872950505,-1.0106382978723403,-1.018022045326425,-1.0,-1.0000243810632732
mbpp,python,10,6.6875,6.85,0.10336743393009377,0.028534243458194976,0.5509803921568628,0.5464065540027948,1.026470588235294,1.0299834295376094,1.0,0.9735450556949926,-0.1830825353397173,-0.18095127672695405,-0.5707364341085271,-0.5282288541092595,-1.0204422194409677,-1.0481528965438052,-1.0322094298245614,-1.0086077716949726
