family,component,n_samples,rescue_ratio_median,decision_score_median,top1_rate,boundary_flip_rate
query,L20H5,1722,0.307643234704417,-3.03802490234375,0.005226480836236934,0.0023228803716608595
query,L21H1,1722,0.5725214198286414,-1.7135009765625,0.056329849012775844,0.03716608594657375
query,L21H12,1722,0.7068972611758509,-1.16455078125,0.15911730545876887,0.14285714285714285
query,L24H6,1722,0.5741183767499557,-1.9163818359375,0.004645760743321719,0.0
query,MLP27,1722,0.8089183087027915,-0.5146484375,0.2886178861788618,0.27468060394889665
suppress,L16H4,1722,0.19777256258234518,-2.509674072265625,0.011614401858304297,0.0011614401858304297
suppress,L23H6,1722,0.27993710691823903,-2.25457763671875,0.022067363530778164,0.0005807200929152149
suppress,MLP17,1722,0.47361459203564465,-1.5023193359375,0.15331010452961671,0.08768873403019745
