sample_id,family,component,base_variant,rescue_ratio,decision_score,top1_success,boundary_flip
codecontests_java_2,query,L21H12,corrupt_full,0.6666666666666666,-2.142578125,False,False
codecontests_java_2,query,L24H6,corrupt_full,0.6782407407407407,-2.0498046875,False,False
codecontests_java_2,query,MLP27,corrupt_full,0.8628472222222222,-0.42578125,False,False
codecontests_java_2,suppress,L16H4,clean_full,0.07746478873239436,-4.092170715332031,False,False
codecontests_java_2,suppress,MLP17,clean_full,0.3732394366197183,-2.74560546875,False,False
codecontests_java_2,suppress,L23H6,clean_full,0.23591549295774647,-3.3804931640625,False,False
codecontests_cpp_3,query,L20H5,corrupt_full,0.30327868852459017,-2.6375732421875,False,False
codecontests_cpp_3,query,L21H1,corrupt_full,0.7295081967213115,-0.755859375,False,False
codecontests_cpp_3,query,L21H12,corrupt_full,0.6413934426229508,-1.193359375,False,False
codecontests_cpp_3,query,L24H6,corrupt_full,0.5573770491803278,-1.58203125,False,False
codecontests_cpp_3,query,MLP27,corrupt_full,0.8247950819672131,-0.177734375,False,False
codecontests_cpp_3,suppress,L16H4,clean_full,-0.11855670103092783,-3.388031005859375,False,False
codecontests_cpp_3,suppress,MLP17,clean_full,0.6262886597938144,-0.9169921875,False,False
codecontests_cpp_3,suppress,L23H6,clean_full,0.25257731958762886,-2.247314453125,False,False
codecontests_java_3,query,L20H5,corrupt_full,0.3614864864864865,-5.8961181640625,False,False
codecontests_java_3,query,L21H1,corrupt_full,0.6706081081081081,-2.96435546875,False,False
codecontests_java_3,query,L21H12,corrupt_full,0.9442567567567568,0.44921875,True,True
codecontests_java_3,query,L24H6,corrupt_full,0.7027027027027027,-2.6591796875,False,False
codecontests_java_3,query,MLP27,corrupt_full,0.8940033783783784,-0.33984375,False,False
codecontests_java_3,suppress,L16H4,clean_full,0.22857142857142856,-5.0592041015625,False,False
codecontests_java_3,suppress,MLP17,clean_full,0.38571428571428573,-4.014404296875,False,False
codecontests_java_3,suppress,L23H6,clean_full,0.18095238095238095,-5.3730010986328125,False,False
apps_python_4,query,L20H5,corrupt_full,0.6616541353383458,-1.177734375,False,False
apps_python_4,query,L21H1,corrupt_full,0.7678571428571429,-0.56640625,False,False
apps_python_4,query,L21H12,corrupt_full,0.7518796992481203,-0.669921875,False,False
apps_python_4,query,L24H6,corrupt_full,0.5939849624060151,-1.5400390625,False,False
apps_python_4,query,MLP27,corrupt_full,0.8609022556390977,0.32421875,True,True
apps_python_4,suppress,L16H4,clean_full,0.15384615384615385,-4.1215362548828125,False,False
apps_python_4,suppress,MLP17,clean_full,0.21153846153846154,-3.837860107421875,False,False
apps_python_4,suppress,L23H6,clean_full,0.21794871794871795,-3.805084228515625,False,False
codecontests_cpp_4,query,L20H5,corrupt_full,0.12773722627737227,-3.7314910888671875,False,False
codecontests_cpp_4,query,L21H1,corrupt_full,0.38321167883211676,-2.62542724609375,False,False
codecontests_cpp_4,query,L21H12,corrupt_full,0.5875912408759124,-1.70556640625,False,False
codecontests_cpp_4,query,L24H6,corrupt_full,0.5328467153284672,-1.954345703125,False,False
codecontests_cpp_4,query,MLP27,corrupt_full,0.6806569343065694,-1.240234375,False,False
codecontests_cpp_4,suppress,L16H4,clean_full,0.1834862385321101,-1.37646484375,False,False
codecontests_cpp_4,suppress,MLP17,clean_full,0.6376146788990825,-0.3125,True,False
codecontests_cpp_4,suppress,L23H6,clean_full,0.4151376146788991,-0.90478515625,False,False
codecontests_java_4,query,L20H5,corrupt_full,0.2983425414364641,-7.93548583984375,False,False
codecontests_java_4,query,L21H1,corrupt_full,0.5883977900552486,-4.64013671875,False,False
codecontests_java_4,query,L21H12,corrupt_full,0.8825966850828729,-1.0,False,False
codecontests_java_4,query,L24H6,corrupt_full,0.675414364640884,-3.62158203125,False,False
codecontests_java_4,query,MLP27,corrupt_full,0.875,-1.03515625,False,False
codecontests_java_4,suppress,L16H4,clean_full,0.10497237569060773,-5.060333251953125,False,False
codecontests_java_4,suppress,MLP17,clean_full,0.3259668508287293,-3.7987060546875,False,False
codecontests_java_4,suppress,L23H6,clean_full,0.2265193370165746,-4.37060546875,False,False
mbpp_python_4,query,L20H5,corrupt_full,0.3903225806451613,-2.927734375,False,False
mbpp_python_4,query,L21H1,corrupt_full,0.7,-1.33154296875,False,False
mbpp_python_4,query,L21H12,corrupt_full,0.6612903225806451,-1.548828125,False,False
mbpp_python_4,query,L24H6,corrupt_full,0.47419354838709676,-2.5164794921875,False,False
mbpp_python_4,query,MLP27,corrupt_full,0.6919354838709677,-1.2705078125,False,False
mbpp_python_4,suppress,L16H4,clean_full,0.06538461538461539,-1.8965911865234375,False,False
mbpp_python_4,suppress,MLP17,clean_full,0.24615384615384617,-1.51025390625,False,False
mbpp_python_4,suppress,L23H6,clean_full,0.45384615384615384,-0.9814453125,False,False
