family,edge,n_samples,source_ratio_median,blocked_ratio_median,mediated_ratio_median
query,L20H5->L21H1,1722,0.307643234704417,0.2546764261647496,0.05208695652173913
query,L20H5->L21H12,1722,0.307643234704417,0.20943058443058443,0.09375
query,L21H1->MLP27,1722,0.5725214198286414,0.27873820168902136,0.2915780141843971
query,L21H12->MLP27,1722,0.7068972611758509,0.3713760504201681,0.3284202317290552
suppress,L16H4->MLP17,1722,0.19777256258234518,0.11702127659574468,0.07608695652173914
suppress,MLP17->L20H5,1722,0.47361459203564465,0.4322429906542056,0.04850746268656714
suppress,MLP17->L21H1,1722,0.47361459203564465,0.41256389561474305,0.058314648729446944
suppress,MLP17->L21H12,1722,0.47361459203564465,0.40026178010471203,0.0657906790335509
suppress,MLP17->L23H6,1722,0.47361459203564465,0.40900468883205454,0.06586826347305388
