family,step_idx,step_label,nodes,n_samples,rescue_ratio_median,decision_score_median,top1_rate,boundary_flip_rate
query,1,user_query_read,L20H5,1722,0.307643234704417,-3.03802490234375,0.005226480836236934,0.0023228803716608595
query,2,query_to_l21h1,L20H5|L21H1,1722,0.7299765390669082,-0.934814453125,0.2073170731707317,0.19628339140534262
query,3,query_to_l21h12,L20H5|L21H12,1722,0.8237769019019019,-0.3935546875,0.3530778164924506,0.34959349593495936
query,4,query_to_both_l21,L20H5|L21H1|L21H12,1722,0.9421909209085934,0.7138671875,0.6997677119628339,0.7485481997677119
query,5,query_to_late_router,L20H5|L21H1|L21H12|L24H6,1722,0.9715249775985664,1.27880859375,0.8571428571428571,0.9175377468060395
query,6,query_to_late_writer,L20H5|L21H1|L21H12|L24H6|MLP27,1722,0.9910485341706889,1.9571533203125,0.9372822299651568,0.9912891986062717
suppress,1,no_tool_read,L16H4,1722,0.19777256258234518,-2.509674072265625,0.011614401858304297,0.0011614401858304297
suppress,2,no_tool_writer,L16H4|MLP17,1722,0.6053221619070097,-0.99609375,0.2456445993031359,0.17886178861788618
suppress,3,no_tool_late_relay,L16H4|MLP17|L23H6,1722,0.7951188500937816,-0.0859375,0.516260162601626,0.4738675958188153
