component,source_rescue_ratio_median,blocked_rescue_ratio_median,mediated_ratio_median,source_top1_rate,blocked_top1_rate
k,0.06553902302077486,0.05466998754669987,0.009457586191476993,0.0,0.0
q,0.004210694277001631,0.0,0.0,0.0,0.0
v,0.03766891891891892,0.0597843745384729,-0.018314404257994216,0.0,0.0
z,0.0415587219343696,0.02997872418473277,0.009009009009009009,0.0,0.0
