sample_id,family,edge,source_ratio,blocked_ratio,mediated_ratio
apps_python_1,tool,L20H5->L21H1,0.0,-0.03167420814479638,0.03167420814479638
apps_python_1,tool,L20H5->L21H12,0.0,0.0,0.0
apps_python_1,tool,L21H1->L24H6,0.6266968325791855,0.45248868778280543,0.17420814479638008
apps_python_1,tool,L21H1->MLP27,0.6266968325791855,0.33031674208144796,0.29638009049773756
apps_python_1,tool,L21H12->L24H6,0.45701357466063347,0.36199095022624433,0.09502262443438914
apps_python_1,tool,L21H12->MLP27,0.45701357466063347,0.23529411764705882,0.22171945701357465
apps_python_1,tool,L24H6->MLP27,0.5475113122171946,0.23529411764705882,0.3122171945701358
apps_python_1,no_tool,L16H4->MLP17,0.11827956989247312,0.043010752688172046,0.07526881720430108
apps_python_1,no_tool,MLP17->L23H6,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,no_tool,MLP17->L20H5,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,no_tool,MLP17->L21H1,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,no_tool,MLP17->L21H12,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,no_tool,MLP17->L24H6,0.7661290322580645,0.7217741935483871,0.04435483870967738
codecontests_cpp_1,tool,L20H5->L21H1,0.4716981132075472,0.37735849056603776,0.09433962264150941
codecontests_cpp_1,tool,L20H5->L21H12,0.4716981132075472,0.32547169811320753,0.14622641509433965
codecontests_cpp_1,tool,L21H1->L24H6,0.8443396226415094,0.6179245283018868,0.2264150943396226
codecontests_cpp_1,tool,L21H1->MLP27,0.8443396226415094,0.4528301886792453,0.3915094339622641
codecontests_cpp_1,tool,L21H12->L24H6,0.8466981132075472,0.6367924528301887,0.20990566037735847
codecontests_cpp_1,tool,L21H12->MLP27,0.8466981132075472,0.4716981132075472,0.375
codecontests_cpp_1,tool,L24H6->MLP27,0.5778301886792453,0.2783018867924528,0.29952830188679247
codecontests_cpp_1,no_tool,L16H4->MLP17,0.10606060606060606,0.06060606060606061,0.045454545454545456
codecontests_cpp_1,no_tool,MLP17->L23H6,0.23232323232323232,0.1717171717171717,0.06060606060606061
codecontests_cpp_1,no_tool,MLP17->L20H5,0.23232323232323232,0.21212121212121213,0.020202020202020193
codecontests_cpp_1,no_tool,MLP17->L21H1,0.23232323232323232,0.1919191919191919,0.040404040404040414
codecontests_cpp_1,no_tool,MLP17->L21H12,0.23232323232323232,0.1919191919191919,0.040404040404040414
codecontests_cpp_1,no_tool,MLP17->L24H6,0.23232323232323232,0.21212121212121213,0.020202020202020193
codecontests_java_1,tool,L20H5->L21H1,0.32019704433497537,0.27586206896551724,0.04433497536945813
codecontests_java_1,tool,L20H5->L21H12,0.32019704433497537,0.18719211822660098,0.1330049261083744
codecontests_java_1,tool,L21H1->L24H6,0.6600985221674877,0.3645320197044335,0.29556650246305416
codecontests_java_1,tool,L21H1->MLP27,0.6600985221674877,0.33004926108374383,0.33004926108374383
codecontests_java_1,tool,L21H12->L24H6,0.9227216748768473,0.6527093596059114,0.27001231527093594
codecontests_java_1,tool,L21H12->MLP27,0.9227216748768473,0.5197044334975369,0.4030172413793104
codecontests_java_1,tool,L24H6->MLP27,0.6748768472906403,0.33497536945812806,0.3399014778325123
codecontests_java_1,no_tool,L16H4->MLP17,0.32272727272727275,0.15,0.17272727272727276
codecontests_java_1,no_tool,MLP17->L23H6,0.4636363636363636,0.35909090909090907,0.10454545454545455
codecontests_java_1,no_tool,MLP17->L20H5,0.4636363636363636,0.43863636363636366,0.024999999999999967
codecontests_java_1,no_tool,MLP17->L21H1,0.4636363636363636,0.39090909090909093,0.0727272727272727
codecontests_java_1,no_tool,MLP17->L21H12,0.4636363636363636,0.35,0.11363636363636365
codecontests_java_1,no_tool,MLP17->L24H6,0.4636363636363636,0.42727272727272725,0.036363636363636376
mbpp_python_1,tool,L20H5->L21H1,0.30392156862745096,0.20588235294117646,0.0980392156862745
mbpp_python_1,tool,L20H5->L21H12,0.30392156862745096,0.23529411764705882,0.06862745098039214
mbpp_python_1,tool,L21H1->L24H6,0.6666666666666666,0.49264705882352944,0.1740196078431372
mbpp_python_1,tool,L21H1->MLP27,0.6666666666666666,0.3382352941176471,0.32843137254901955
mbpp_python_1,tool,L21H12->L24H6,0.3382352941176471,0.23529411764705882,0.10294117647058826
mbpp_python_1,tool,L21H12->MLP27,0.3382352941176471,0.13725490196078433,0.20098039215686275
mbpp_python_1,tool,L24H6->MLP27,0.39950980392156865,0.13725490196078433,0.2622549019607843
mbpp_python_1,no_tool,L16H4->MLP17,0.23741007194244604,0.14028776978417265,0.09712230215827339
mbpp_python_1,no_tool,MLP17->L23H6,0.7014388489208633,0.670863309352518,0.030575539568345245
mbpp_python_1,no_tool,MLP17->L20H5,0.7014388489208633,0.670863309352518,0.030575539568345245
mbpp_python_1,no_tool,MLP17->L21H1,0.7014388489208633,0.6384892086330936,0.06294964028776973
mbpp_python_1,no_tool,MLP17->L21H12,0.7014388489208633,0.7014388489208633,0.0
mbpp_python_1,no_tool,MLP17->L24H6,0.7014388489208633,0.6726618705035972,0.02877697841726612
codecontests_java_2,tool,L20H5->L21H1,0.38425925925925924,0.3472222222222222,0.037037037037037035
codecontests_java_2,tool,L20H5->L21H12,0.38425925925925924,0.2361111111111111,0.14814814814814814
codecontests_java_2,tool,L21H1->L24H6,0.5833333333333334,0.3472222222222222,0.23611111111111116
codecontests_java_2,tool,L21H1->MLP27,0.5833333333333334,0.2916666666666667,0.2916666666666667
codecontests_java_2,tool,L21H12->L24H6,0.6666666666666666,0.41898148148148145,0.24768518518518517
codecontests_java_2,tool,L21H12->MLP27,0.6666666666666666,0.3472222222222222,0.3194444444444444
codecontests_java_2,tool,L24H6->MLP27,0.6782407407407407,0.3194444444444444,0.3587962962962963
codecontests_java_2,no_tool,L16H4->MLP17,0.07746478873239436,0.07042253521126761,0.007042253521126751
codecontests_java_2,no_tool,MLP17->L23H6,0.3732394366197183,0.2746478873239437,0.09859154929577463
codecontests_java_2,no_tool,MLP17->L20H5,0.3732394366197183,0.31690140845070425,0.056338028169014065
codecontests_java_2,no_tool,MLP17->L21H1,0.3732394366197183,0.29225352112676056,0.08098591549295775
codecontests_java_2,no_tool,MLP17->L21H12,0.3732394366197183,0.31690140845070425,0.056338028169014065
codecontests_java_2,no_tool,MLP17->L24H6,0.3732394366197183,0.31690140845070425,0.056338028169014065
codecontests_cpp_3,tool,L20H5->L21H1,0.30327868852459017,0.27049180327868855,0.03278688524590162
codecontests_cpp_3,tool,L20H5->L21H12,0.30327868852459017,0.20901639344262296,0.0942622950819672
codecontests_cpp_3,tool,L21H1->L24H6,0.7295081967213115,0.48155737704918034,0.24795081967213117
codecontests_cpp_3,tool,L21H1->MLP27,0.7295081967213115,0.3319672131147541,0.39754098360655743
codecontests_cpp_3,tool,L21H12->L24H6,0.6413934426229508,0.48770491803278687,0.15368852459016397
codecontests_cpp_3,tool,L21H12->MLP27,0.6413934426229508,0.3114754098360656,0.32991803278688525
codecontests_cpp_3,tool,L24H6->MLP27,0.5573770491803278,0.26229508196721313,0.2950819672131147
codecontests_cpp_3,no_tool,L16H4->MLP17,-0.11855670103092783,-0.16494845360824742,0.04639175257731959
codecontests_cpp_3,no_tool,MLP17->L23H6,0.6262886597938144,0.5412371134020618,0.08505154639175261
codecontests_cpp_3,no_tool,MLP17->L20H5,0.6262886597938144,0.5051546391752577,0.12113402061855671
codecontests_cpp_3,no_tool,MLP17->L21H1,0.6262886597938144,0.4742268041237113,0.1520618556701031
codecontests_cpp_3,no_tool,MLP17->L21H12,0.6262886597938144,0.47680412371134023,0.1494845360824742
codecontests_cpp_3,no_tool,MLP17->L24H6,0.6262886597938144,0.5360824742268041,0.09020618556701032
codecontests_java_3,tool,L20H5->L21H1,0.3614864864864865,0.30743243243243246,0.05405405405405406
codecontests_java_3,tool,L20H5->L21H12,0.3614864864864865,0.20945945945945946,0.15202702702702706
codecontests_java_3,tool,L21H1->L24H6,0.6706081081081081,0.3918918918918919,0.27871621621621623
codecontests_java_3,tool,L21H1->MLP27,0.6706081081081081,0.3344594594594595,0.33614864864864863
codecontests_java_3,tool,L21H12->L24H6,0.9442567567567568,0.6993243243243243,0.24493243243243246
codecontests_java_3,tool,L21H12->MLP27,0.9442567567567568,0.5506756756756757,0.39358108108108114
codecontests_java_3,tool,L24H6->MLP27,0.7027027027027027,0.3344594594594595,0.36824324324324326
codecontests_java_3,no_tool,L16H4->MLP17,0.22857142857142856,0.10476190476190476,0.1238095238095238
codecontests_java_3,no_tool,MLP17->L23H6,0.38571428571428573,0.319047619047619,0.06666666666666671
codecontests_java_3,no_tool,MLP17->L20H5,0.38571428571428573,0.4,-0.01428571428571429
codecontests_java_3,no_tool,MLP17->L21H1,0.38571428571428573,0.36666666666666664,0.01904761904761909
codecontests_java_3,no_tool,MLP17->L21H12,0.38571428571428573,0.32857142857142857,0.05714285714285716
codecontests_java_3,no_tool,MLP17->L24H6,0.38571428571428573,0.36666666666666664,0.01904761904761909
apps_python_4,tool,L20H5->L21H1,0.6616541353383458,0.4398496240601504,0.22180451127819545
apps_python_4,tool,L20H5->L21H12,0.6616541353383458,0.48872180451127817,0.17293233082706766
apps_python_4,tool,L21H1->L24H6,0.7678571428571429,0.5939849624060151,0.17387218045112784
apps_python_4,tool,L21H1->MLP27,0.7678571428571429,0.4398496240601504,0.3280075187969925
apps_python_4,tool,L21H12->L24H6,0.7518796992481203,0.618421052631579,0.13345864661654128
apps_python_4,tool,L21H12->MLP27,0.7518796992481203,0.4699248120300752,0.28195488721804507
apps_python_4,tool,L24H6->MLP27,0.5939849624060151,0.2932330827067669,0.30075187969924816
apps_python_4,no_tool,L16H4->MLP17,0.15384615384615385,0.08333333333333333,0.07051282051282053
apps_python_4,no_tool,MLP17->L23H6,0.21153846153846154,0.16025641025641027,0.051282051282051266
apps_python_4,no_tool,MLP17->L20H5,0.21153846153846154,0.1858974358974359,0.025641025641025633
apps_python_4,no_tool,MLP17->L21H1,0.21153846153846154,0.19230769230769232,0.019230769230769218
apps_python_4,no_tool,MLP17->L21H12,0.21153846153846154,0.20833333333333334,0.0032051282051281937
apps_python_4,no_tool,MLP17->L24H6,0.21153846153846154,0.21474358974358973,-0.0032051282051281937
codecontests_cpp_4,tool,L20H5->L21H1,0.12773722627737227,0.14963503649635038,-0.021897810218978103
codecontests_cpp_4,tool,L20H5->L21H12,0.12773722627737227,0.09854014598540146,0.02919708029197081
codecontests_cpp_4,tool,L21H1->L24H6,0.38321167883211676,0.17153284671532848,0.21167883211678828
codecontests_cpp_4,tool,L21H1->MLP27,0.38321167883211676,0.14963503649635038,0.2335766423357664
codecontests_cpp_4,tool,L21H12->L24H6,0.5875912408759124,0.38686131386861317,0.20072992700729925
codecontests_cpp_4,tool,L21H12->MLP27,0.5875912408759124,0.2737226277372263,0.31386861313868614
codecontests_cpp_4,tool,L24H6->MLP27,0.5328467153284672,0.24817518248175183,0.2846715328467153
codecontests_cpp_4,no_tool,L16H4->MLP17,0.1834862385321101,0.1743119266055046,0.009174311926605505
codecontests_cpp_4,no_tool,MLP17->L23H6,0.6376146788990825,0.5802752293577982,0.05733944954128434
