sample_id,stage,tool_token_delta,distractor_delta
codecontests_java_22,resid_post,0.0625,0.06640625
apps_python_23,resid_mid,-0.03125,0.2603759765625
apps_python_23,resid_post,0.0625,-0.015625
codecontests_cpp_23,resid_mid,0.0,0.587646484375
codecontests_cpp_23,resid_post,0.0,0.3212890625
codecontests_java_23,resid_mid,0.0,0.091796875
codecontests_java_23,resid_post,-0.0625,0.17578125
codecontests_cpp_24,resid_mid,0.125,0.205078125
codecontests_cpp_24,resid_post,0.0625,-0.0859375
codecontests_java_24,resid_mid,0.0,0.15234375
codecontests_java_24,resid_post,-0.09375,0.37890625
apps_python_25,resid_mid,-0.03125,-0.14306640625
apps_python_25,resid_post,-0.1875,0.09375
codecontests_java_25,resid_mid,0.0625,0.255859375
codecontests_java_25,resid_post,0.03125,0.1142578125
codecontests_cpp_26,resid_mid,0.03125,0.13153076171875
codecontests_cpp_26,resid_post,0.09375,0.11328125
codecontests_java_26,resid_mid,0.0,-0.1083984375
codecontests_java_26,resid_post,-0.03125,-0.0703125
humaneval_python_26,resid_mid,-0.0625,0.1494140625
humaneval_python_26,resid_post,-0.0625,0.15625
codecontests_cpp_27,resid_mid,-0.03125,-0.033203125
codecontests_cpp_27,resid_post,-0.09375,-0.0703125
codecontests_java_27,resid_mid,-0.1875,-0.109375
codecontests_java_27,resid_post,-0.25,-0.0703125
codecontests_cpp_28,resid_mid,0.03125,0.27197265625
codecontests_cpp_28,resid_post,0.0,0.025390625
codecontests_java_28,resid_mid,-0.03125,0.087890625
codecontests_java_28,resid_post,-0.15625,-0.080078125
apps_python_29,resid_mid,-0.03125,0.412353515625
apps_python_29,resid_post,-0.03125,-0.01953125
codecontests_cpp_29,resid_mid,0.03125,-0.0244140625
codecontests_cpp_29,resid_post,0.0,0.087890625
codecontests_java_29,resid_mid,0.03125,0.166015625
codecontests_java_29,resid_post,-0.09375,0.3642578125
apps_python_30,resid_mid,0.03125,0.35009765625
apps_python_30,resid_post,0.09375,-0.1875
codecontests_cpp_30,resid_mid,0.03125,0.419921875
codecontests_cpp_30,resid_post,0.0625,0.13671875
codecontests_java_30,resid_mid,0.0625,0.1591796875
codecontests_java_30,resid_post,-0.03125,-0.13671875
codecontests_cpp_32,resid_mid,0.0625,0.5625
codecontests_cpp_32,resid_post,-0.03125,0.22265625
codecontests_java_32,resid_mid,0.03125,0.04296875
codecontests_java_32,resid_post,-0.125,0.142578125
mbpp_python_32,resid_mid,-0.15625,-0.12109375
mbpp_python_32,resid_post,-0.28125,0.0546875
codecontests_cpp_33,resid_mid,0.0625,-0.1337890625
codecontests_cpp_33,resid_post,0.03125,0.0078125
codecontests_java_33,resid_mid,0.0625,-0.08905029296875
codecontests_java_33,resid_post,0.0,0.015625
humaneval_python_33,resid_mid,0.03125,0.2421875
