sample_id,component,source_rescue_ratio,blocked_rescue_ratio,mediated_ratio,source_decision_score,blocked_decision_score,source_top1,blocked_top1
apps_python_1,q,0.20361990950226244,-0.1583710407239819,0.36199095022624433,-2.74188232421875,-3.995941162109375,False,False
apps_python_1,k,0.03619909502262444,-0.22171945701357465,0.2579185520361991,-3.3263626098632812,-4.212371826171875,False,False
apps_python_1,v,0.09954751131221719,-0.06787330316742081,0.167420814479638,-3.1064605712890625,-3.68341064453125,False,False
apps_python_1,z,0.3031674208144796,-0.06787330316742081,0.37104072398190047,-2.3819580078125,-3.6856002807617188,False,False
codecontests_cpp_1,q,0.08018867924528301,0.1179245283018868,-0.03773584905660377,-6.09271240234375,-5.8428802490234375,False,False
codecontests_cpp_1,k,0.21226415094339623,0.07547169811320754,0.13679245283018868,-5.213897705078125,-6.125222206115723,False,False
codecontests_cpp_1,v,0.25943396226415094,0.14622641509433962,0.11320754716981132,-4.89691162109375,-5.64910888671875,False,False
codecontests_cpp_1,z,0.0047169811320754715,0.05660377358490566,-0.05188679245283019,-6.591766357421875,-6.249704360961914,False,False
codecontests_java_1,q,0.0049261083743842365,0.054187192118226604,-0.04926108374384237,-12.617919921875,-11.9949951171875,False,False
codecontests_java_1,k,0.06403940886699508,0.054187192118226604,0.009852216748768473,-11.873046875,-11.998519897460938,False,False
codecontests_java_1,v,0.029556650246305417,0.08866995073891626,-0.059113300492610835,-12.31170654296875,-11.56121826171875,False,False
codecontests_java_1,z,0.1330049261083744,0.12315270935960591,0.009852216748768473,-10.994598388671875,-11.120758056640625,False,False
mbpp_python_1,q,-0.03431372549019608,-0.09803921568627451,0.06372549019607843,-3.2967710494995117,-3.4983367919921875,False,False
mbpp_python_1,k,-0.03431372549019608,-0.1323529411764706,0.09803921568627451,-3.297055244445801,-3.6075057983398438,False,False
mbpp_python_1,v,0.13725490196078433,0.03431372549019608,0.10294117647058823,-2.7466888427734375,-3.0777359008789062,False,False
mbpp_python_1,z,-0.09803921568627451,-0.09803921568627451,0.0,-3.49871826171875,-3.4988021850585938,False,False
codecontests_java_2,q,0.05092592592592592,-0.06944444444444445,0.12037037037037036,-6.4030303955078125,-7.216804504394531,False,False
codecontests_java_2,k,0.10648148148148148,0.018518518518518517,0.08796296296296297,-6.0284576416015625,-6.6247758865356445,False,False
codecontests_java_2,v,0.09259259259259259,-0.1111111111111111,0.2037037037037037,-6.124427795410156,-7.499976277351379,False,False
codecontests_java_2,z,0.12962962962962962,-0.05092592592592592,0.18055555555555555,-5.874574661254883,-7.0917816162109375,False,False
codecontests_cpp_3,q,-0.04918032786885246,0.06967213114754098,-0.11885245901639344,-3.995330810546875,-3.5416259765625,False,False
codecontests_cpp_3,k,0.20491803278688525,0.11065573770491803,0.0942622950819672,-3.0203857421875,-3.382080078125,False,False
codecontests_cpp_3,v,0.06147540983606557,0.29508196721311475,-0.2336065573770492,-3.5768203735351562,-2.6678466796875,False,False
codecontests_cpp_3,z,0.22540983606557377,0.036885245901639344,0.1885245901639344,-2.9317626953125,-3.667449951171875,False,False
codecontests_java_3,q,0.07432432432432433,0.06756756756756757,0.006756756756756757,-8.561660766601562,-8.622711181640625,False,False
codecontests_java_3,k,0.10810810810810811,0.15202702702702703,-0.04391891891891892,-8.249775886535645,-7.839263916015625,False,False
codecontests_java_3,v,-0.10810810810810811,0.05405405405405406,-0.16216216216216217,-10.24627685546875,-8.73565673828125,False,False
codecontests_java_3,z,0.06756756756756757,0.0945945945945946,-0.02702702702702703,-8.622695922851562,-8.375162124633789,False,False
apps_python_4,q,0.007518796992481203,-0.05263157894736842,0.06015037593984962,-4.1156005859375,-4.3712310791015625,False,False
apps_python_4,k,-0.17293233082706766,-0.05263157894736842,-0.12030075187969924,-4.86846923828125,-4.3731689453125,False,False
apps_python_4,v,-0.16541353383458646,0.07142857142857142,-0.23684210526315788,-4.83441162109375,-3.85028076171875,False,False
apps_python_4,z,-0.08270676691729323,-0.07518796992481203,-0.007518796992481203,-4.49456787109375,-4.4635009765625,False,False
codecontests_cpp_4,q,0.043795620437956206,-0.08759124087591241,0.13138686131386862,-4.08929443359375,-4.6539306640625,False,False
codecontests_cpp_4,k,0.043795620437956206,-0.0072992700729927005,0.051094890510948905,-4.0908966064453125,-4.307037353515625,False,False
codecontests_cpp_4,v,0.12043795620437957,0.12773722627737227,-0.0072992700729927005,-3.7632293701171875,-3.726715087890625,False,False
codecontests_cpp_4,z,0.17153284671532848,0.06934306569343066,0.10218978102189781,-3.543731689453125,-3.982208251953125,False,False
codecontests_java_4,q,-0.011049723756906077,-0.022099447513812154,0.011049723756906077,-11.435806274414062,-11.561347961425781,False,False
codecontests_java_4,k,0.055248618784530384,0.04419889502762431,0.011049723756906077,-10.6697998046875,-10.811279296875,False,False
codecontests_java_4,v,0.08839779005524862,0.14917127071823205,-0.06077348066298342,-10.306732177734375,-9.61883544921875,False,False
codecontests_java_4,z,-0.022099447513812154,0.06629834254143646,-0.08839779005524862,-11.557891845703125,-10.560394287109375,False,False
mbpp_python_4,q,0.10967741935483871,0.025806451612903226,0.08387096774193549,-4.3111724853515625,-4.718355178833008,False,False
mbpp_python_4,k,0.10967741935483871,0.17419354838709677,-0.06451612903225806,-4.3095703125,-3.9976348876953125,False,False
mbpp_python_4,v,0.10967741935483871,0.01935483870967742,0.09032258064516129,-4.3109588623046875,-4.749673843383789,False,False
mbpp_python_4,z,0.10967741935483871,-0.03870967741935484,0.14838709677419354,-4.30999755859375,-5.029747009277344,False,False
apps_python_5,q,0.1695906432748538,0.11695906432748537,0.05263157894736842,-4.436622619628906,-4.717964172363281,False,False
apps_python_5,k,0.30994152046783624,0.26900584795321636,0.04093567251461988,-3.6840057373046875,-3.9040069580078125,False,False
apps_python_5,v,0.07017543859649122,0.2222222222222222,-0.15204678362573099,-4.9665069580078125,-4.148651123046875,False,False
apps_python_5,z,0.21637426900584794,0.1871345029239766,0.029239766081871343,-4.186042785644531,-4.34173583984375,False,False
codecontests_cpp_5,q,-0.033783783783783786,0.08108108108108109,-0.11486486486486487,-4.780097961425781,-4.2465972900390625,False,False
codecontests_cpp_5,k,0.08108108108108109,-0.006756756756756757,0.08783783783783784,-4.2452392578125,-4.656261622905731,False,False
codecontests_cpp_5,v,0.11486486486486487,0.10810810810810811,0.006756756756756757,-4.0872802734375,-4.123382568359375,False,False
codecontests_cpp_5,z,-0.02702702702702703,0.0,-0.02702702702702703,-4.747955322265625,-4.6236419677734375,False,False
codecontests_java_5,q,0.171875,0.0234375,0.1484375,-6.623237609863281,-7.811271667480469,False,False
codecontests_java_5,k,0.27734375,0.18359375,0.09375,-5.77685546875,-6.529571533203125,False,False
codecontests_java_5,v,0.15625,0.140625,0.015625,-6.7474822998046875,-6.872467041015625,False,False
codecontests_java_5,z,0.16015625,0.09765625,0.0625,-6.71307373046875,-7.216278076171875,False,False
codecontests_cpp_6,q,-0.4787234042553192,-0.24468085106382978,-0.23404255319148937,-4.3128662109375,-3.64599609375,False,False
codecontests_cpp_6,k,0.03723404255319149,-0.20212765957446807,0.2393617021276596,-2.8270950317382812,-3.52288818359375,False,False
codecontests_cpp_6,v,0.0797872340425532,-0.03723404255319149,0.11702127659574468,-2.702617645263672,-3.0474624633789062,False,False
codecontests_cpp_6,z,-0.648936170212766,-0.3191489361702128,-0.32978723404255317,-4.794921875,-3.8597412109375,False,False
codecontests_java_6,q,-0.03896103896103896,-0.012987012987012988,-0.025974025974025976,-9.999777793884277,-9.748001098632812,False,False
codecontests_java_6,k,-0.12337662337662338,0.012987012987012988,-0.13636363636363635,-10.805572509765625,-9.498855590820312,False,False
codecontests_java_6,v,0.045454545454545456,0.08441558441558442,-0.03896103896103896,-9.18072509765625,-8.809768676757812,False,False
codecontests_java_6,z,0.012987012987012988,0.05194805194805195,-0.03896103896103896,-9.4947509765625,-9.123321533203125,False,False
codecontests_java_7,q,0.06372549019607843,0.19117647058823528,-0.12745098039215685,-5.968469619750977,-5.1514892578125,False,False
codecontests_java_7,k,0.19117647058823528,0.28431372549019607,-0.09313725490196079,-5.155923843383789,-4.554840087890625,False,False
codecontests_java_7,v,0.1568627450980392,0.1323529411764706,0.024509803921568627,-5.370025634765625,-5.526580810546875,False,False
codecontests_java_7,z,0.14705882352941177,0.1323529411764706,0.014705882352941176,-5.438835144042969,-5.529266357421875,False,False
apps_python_8,q,-0.03349282296650718,0.03349282296650718,-0.06698564593301436,-3.3728179931640625,-3.15509033203125,False,False
apps_python_8,k,-0.07177033492822966,0.03349282296650718,-0.10526315789473684,-3.495452880859375,-3.15264892578125,False,False
apps_python_8,v,0.03349282296650718,0.10526315789473684,-0.07177033492822966,-3.1547775268554688,-2.9191131591796875,False,False
apps_python_8,z,0.11004784688995216,0.11004784688995216,0.0,-2.90093994140625,-2.902313232421875,False,False
apps_python_9,q,-0.36492890995260663,-0.15165876777251186,-0.2132701421800948,-4.48388671875,-3.792694091796875,False,False
apps_python_9,k,0.07109004739336493,0.06635071090047394,0.004739336492890996,-3.060546875,-3.07574462890625,False,False
apps_python_9,v,0.17535545023696683,0.2037914691943128,-0.02843601895734597,-2.7093505859375,-2.61328125,False,False
apps_python_9,z,-0.33649289099526064,-0.10900473933649289,-0.22748815165876776,-4.3909912109375,-3.652374267578125,False,False
codecontests_cpp_9,q,0.36936936936936937,0.2702702702702703,0.0990990990990991,-2.15380859375,-2.514404296875,False,False
codecontests_cpp_9,k,0.3783783783783784,0.23873873873873874,0.13963963963963963,-2.115966796875,-2.62811279296875,False,False
codecontests_cpp_9,v,0.20270270270270271,0.0945945945945946,0.10810810810810811,-2.757843017578125,-3.1391220092773438,False,False
codecontests_cpp_9,z,0.22522522522522523,0.21621621621621623,0.009009009009009009,-2.67620849609375,-2.7081298828125,False,False
codecontests_java_9,q,0.12244897959183673,0.11564625850340136,0.006802721088435374,-8.061500549316406,-8.119476318359375,False,False
codecontests_java_9,k,0.1598639455782313,0.09523809523809523,0.06462585034013606,-7.7155914306640625,-8.296630859375,False,False
codecontests_java_9,v,0.08163265306122448,0.2687074829931973,-0.1870748299319728,-8.434158325195312,-6.7164306640625,False,False
codecontests_java_9,z,0.1564625850340136,0.09523809523809523,0.061224489795918366,-7.73748779296875,-8.3096923828125,False,False
apps_python_10,q,-0.14728682170542637,-0.10852713178294573,-0.03875968992248062,-2.306060791015625,-2.2294921875,False,False
apps_python_10,k,0.011627906976744186,0.11627906976744186,-0.10465116279069768,-1.993743896484375,-1.778106689453125,False,False
apps_python_10,v,0.26744186046511625,0.05813953488372093,0.20930232558139536,-1.45361328125,-1.8979263305664062,False,False
apps_python_10,z,0.05813953488372093,-0.3798449612403101,0.437984496124031,-1.8980121612548828,-2.7520751953125,False,False
codecontests_cpp_11,q,-0.08092485549132948,-0.2138728323699422,0.1329479768786127,-2.919403076171875,-3.2716064453125,False,False
