sample_id,variant,span,attn_mass,attn_density
apps_python_1,clean,lead_phrase,0.034076809883117676,0.008519202470779419
apps_python_1,clean,function_body_anchor,0.005499470047652721,0.0027497350238263607
apps_python_1,clean,file_target,0.0165725015103817,0.00828625075519085
apps_python_1,clean,tail_suffix,0.07578921318054199,0.005413515027612448
apps_python_1,clean,task_body,0.08089765161275864,0.0013261910062283278
apps_python_1,base,lead_phrase,0.08132392913103104,0.02033098228275776
apps_python_1,base,function_body_anchor,0.005488857161253691,0.0027444285806268454
apps_python_1,base,file_target,0.015063268132507801,0.0075316340662539005
apps_python_1,base,tail_suffix,0.0748167484998703,0.005344053264707327
apps_python_1,base,task_body,0.07572783529758453,0.0012414399534463882
codecontests_cpp_1,clean,lead_phrase,0.12053865194320679,0.040179550647735596
codecontests_cpp_1,clean,function_body_anchor,0.019213842228055,0.0096069211140275
codecontests_cpp_1,clean,file_target,0.024197163060307503,0.012098581530153751
codecontests_cpp_1,clean,tail_suffix,0.08074416220188141,0.0073403785936534405
codecontests_cpp_1,clean,task_body,0.16044798493385315,0.0017439998919144273
codecontests_cpp_1,base,lead_phrase,0.058003515005111694,0.01933450438082218
codecontests_cpp_1,base,function_body_anchor,0.011096183210611343,0.005548091605305672
codecontests_cpp_1,base,file_target,0.023490890860557556,0.011745445430278778
codecontests_cpp_1,base,tail_suffix,0.08376907557249069,0.00761537067592144
codecontests_cpp_1,base,task_body,0.17074693739414215,0.0018559449817985296
codecontests_java_1,clean,lead_phrase,0.01515430398285389,0.007577151991426945
codecontests_java_1,clean,function_body_anchor,0.00947762094438076,0.00473881047219038
codecontests_java_1,clean,file_target,0.007949895225465298,0.003974947612732649
codecontests_java_1,clean,tail_suffix,0.08122262358665466,0.007383875083178282
codecontests_java_1,clean,task_body,0.168789803981781,0.0019401126774027944
codecontests_java_1,base,lead_phrase,0.16274519264698029,0.08137259632349014
codecontests_java_1,base,function_body_anchor,0.008948215283453465,0.004474107641726732
codecontests_java_1,base,file_target,0.006872926838696003,0.0034364634193480015
codecontests_java_1,base,tail_suffix,0.07892204821109772,0.007174731697887182
codecontests_java_1,base,task_body,0.1386702060699463,0.0015939103905111551
mbpp_python_1,clean,lead_phrase,0.05288677662611008,0.01322169415652752
mbpp_python_1,clean,function_body_anchor,0.007776516489684582,0.003888258244842291
mbpp_python_1,clean,file_target,0.02001972310245037,0.010009861551225185
mbpp_python_1,clean,tail_suffix,0.10492109507322311,0.009538281708955765
mbpp_python_1,clean,task_body,0.10194090753793716,0.0007229851325973868
mbpp_python_1,base,lead_phrase,0.026975378394126892,0.006743844598531723
mbpp_python_1,base,function_body_anchor,0.006638676859438419,0.0033193384297192097
mbpp_python_1,base,file_target,0.01937331259250641,0.009686656296253204
mbpp_python_1,base,tail_suffix,0.0927734449505806,0.008433949202299118
mbpp_python_1,base,task_body,0.10625366121530533,0.0007535720942541957
codecontests_java_2,clean,lead_phrase,0.03921753540635109,0.013072512112557888
codecontests_java_2,clean,function_body_anchor,0.020190203562378883,0.010095101781189442
codecontests_java_2,clean,file_target,0.014253136701881886,0.007126568350940943
codecontests_java_2,clean,tail_suffix,0.13152284920215607,0.011956622824072838
codecontests_java_2,clean,task_body,0.15457826852798462,0.0012076427228748798
codecontests_java_2,base,lead_phrase,0.16557307541370392,0.055191025137901306
codecontests_java_2,base,function_body_anchor,0.019822459667921066,0.009911229833960533
codecontests_java_2,base,file_target,0.01134350523352623,0.005671752616763115
codecontests_java_2,base,tail_suffix,0.10373008996248245,0.009430008009076118
codecontests_java_2,base,task_body,0.13094979524612427,0.0010230452753603458
codecontests_cpp_3,clean,lead_phrase,0.0684649869799614,0.0342324934899807
codecontests_cpp_3,clean,function_body_anchor,0.010419952683150768,0.005209976341575384
codecontests_cpp_3,clean,file_target,0.02299225702881813,0.011496128514409065
codecontests_cpp_3,clean,tail_suffix,0.07265281677246094,0.006604801397770643
codecontests_cpp_3,clean,task_body,0.1467236578464508,0.0017261606408283114
codecontests_cpp_3,base,lead_phrase,0.11963137984275818,0.05981568992137909
codecontests_cpp_3,base,function_body_anchor,0.008873370476067066,0.004436685238033533
codecontests_cpp_3,base,file_target,0.02001115307211876,0.01000557653605938
codecontests_cpp_3,base,tail_suffix,0.07535778731107712,0.006850707810372114
codecontests_cpp_3,base,task_body,0.1407417505979538,0.0016557852504774928
codecontests_java_3,clean,lead_phrase,0.012972673401236534,0.006486336700618267
codecontests_java_3,clean,function_body_anchor,0.00906550046056509,0.004532750230282545
codecontests_java_3,clean,file_target,0.010908862575888634,0.005454431287944317
codecontests_java_3,clean,tail_suffix,0.07686808705329895,0.006988008040934801
codecontests_java_3,clean,task_body,0.15835197269916534,0.0019793997053056955
codecontests_java_3,base,lead_phrase,0.16005946695804596,0.08002973347902298
codecontests_java_3,base,function_body_anchor,0.008478881791234016,0.004239440895617008
codecontests_java_3,base,file_target,0.009096521884202957,0.004548260942101479
codecontests_java_3,base,tail_suffix,0.07681044936180115,0.006982767954468727
codecontests_java_3,base,task_body,0.1336117535829544,0.0016701469430699944
apps_python_4,clean,lead_phrase,0.08794727176427841,0.029315756633877754
apps_python_4,clean,function_body_anchor,0.018785124644637108,0.009392562322318554
apps_python_4,clean,file_target,0.022105898708105087,0.011052949354052544
apps_python_4,clean,tail_suffix,0.08689781278371811,0.00789980124682188
apps_python_4,clean,task_body,0.09999534487724304,0.0012657638872042298
apps_python_4,base,lead_phrase,0.04628484696149826,0.01542828232049942
apps_python_4,base,function_body_anchor,0.010645227506756783,0.005322613753378391
apps_python_4,base,file_target,0.022376133129000664,0.011188066564500332
apps_python_4,base,tail_suffix,0.08381739258766174,0.007619762793183327
apps_python_4,base,task_body,0.10212068259716034,0.0012926668860018253
codecontests_cpp_4,clean,lead_phrase,0.061529453843832016,0.030764726921916008
codecontests_cpp_4,clean,function_body_anchor,0.021016469225287437,0.010508234612643719
codecontests_cpp_4,clean,file_target,0.030553417280316353,0.015276708640158176
codecontests_cpp_4,clean,tail_suffix,0.09168697893619537,0.008335179649293423
codecontests_cpp_4,clean,task_body,0.1393415480852127,0.001678813830949366
codecontests_cpp_4,base,lead_phrase,0.11458346247673035,0.05729173123836517
codecontests_cpp_4,base,function_body_anchor,0.0117080332711339,0.00585401663556695
codecontests_cpp_4,base,file_target,0.025905445218086243,0.012952722609043121
codecontests_cpp_4,base,tail_suffix,0.0770622119307518,0.00700565567240119
codecontests_cpp_4,base,task_body,0.1347803771495819,0.0016238599782809615
codecontests_java_4,clean,lead_phrase,0.01809503138065338,0.00904751569032669
codecontests_java_4,clean,function_body_anchor,0.010110627859830856,0.005055313929915428
codecontests_java_4,clean,file_target,0.010546506382524967,0.005273253191262484
codecontests_java_4,clean,tail_suffix,0.0647306963801384,0.005884608719497919
codecontests_java_4,clean,task_body,0.149522066116333,0.0019169495208188891
codecontests_java_4,base,lead_phrase,0.07353658974170685,0.036768294870853424
codecontests_java_4,base,function_body_anchor,0.012084228917956352,0.006042114458978176
