variant,semantic,frame,n_samples,decision_score_median,tool_top1_rate,no_tool_top1_rate,l2h14_lead_density_median,l2h14_file_density_median,l2h14_function_density_median
original_clean,tool,original,1722,3.203125,1.0,0.0,0.016067360527813435,0.00846822652965784,0.005490257870405912
original_corrupt,no_tool,original,1722,-4.5625,0.0,0.9988385598141696,0.040197912603616714,0.007921549957245588,0.005032786633819342
tool_out,tool,out,1722,4.53472900390625,0.9941927990708479,0.005807200929152149,0.03117804229259491,0.009348162449896336,0.009665427263826132
no_tool_out,no_tool,out,1722,-3.342529296875,0.02613240418118467,0.9651567944250871,0.015802633948624134,0.009402460884302855,0.005603487836197019
tool_manually,tool,manually,1722,1.46240234375,0.7926829268292683,0.20267131242741,0.013032959308475256,0.007449230644851923,0.0032569975592195988
no_tool_manually,no_tool,manually,1722,-4.394287109375,0.005226480836236934,0.9866434378629501,0.014470872469246387,0.007100583286955953,0.00284455472137779
tool_properly,tool,properly,1722,2.8564453125,0.9407665505226481,0.059233449477351915,0.01197610329836607,0.007717990083619952,0.0030814079800620675
no_tool_properly,no_tool,properly,1722,-4.082275390625,0.03484320557491289,0.9407665505226481,0.010065833106637001,0.007440774468705058,0.0032202056609094143
