space,variant,semantic,frame,semantic_margin_median,semantic_correct_rate
l2h14_lead_k,no_tool_manually,no_tool,manually,0.004119813442230225,1.0
l2h14_lead_k,no_tool_out,no_tool,out,-0.023287415504455566,0.0
l2h14_lead_k,no_tool_properly,no_tool,properly,0.006522655487060547,1.0
l2h14_lead_k,original_clean,tool,original,0.012958884239196777,0.6626016260162602
l2h14_lead_k,original_corrupt,no_tool,original,-0.006337761878967285,0.4065040650406504
l2h14_lead_k,tool_manually,tool,manually,-0.04749178886413574,0.0
l2h14_lead_k,tool_out,tool,out,-0.012964069843292236,0.0
l2h14_lead_k,tool_properly,tool,properly,-0.034516990184783936,0.0
l2h14_lead_k_centered,no_tool_manually,no_tool,manually,0.35444608330726624,1.0
l2h14_lead_k_centered,no_tool_out,no_tool,out,-0.36846187710762024,0.0
l2h14_lead_k_centered,no_tool_properly,no_tool,properly,0.5045822411775589,1.0
l2h14_lead_k_centered,original_clean,tool,original,0.42699237167835236,0.6626016260162602
l2h14_lead_k_centered,original_corrupt,no_tool,original,-0.24653758853673935,0.4065040650406504
l2h14_lead_k_centered,tool_manually,tool,manually,-1.0991376638412476,0.0
l2h14_lead_k_centered,tool_out,tool,out,0.005070209503173828,1.0
l2h14_lead_k_centered,tool_properly,tool,properly,-0.7122999131679535,0.0
l2h14_z,no_tool_manually,no_tool,manually,0.0021462738513946533,1.0
l2h14_z,no_tool_out,no_tool,out,-0.00210455060005188,0.0
l2h14_z,no_tool_properly,no_tool,properly,0.0022279322147369385,1.0
l2h14_z,original_clean,tool,original,-0.0008174777030944824,0.4076655052264808
l2h14_z,original_corrupt,no_tool,original,-0.00457841157913208,0.3310104529616725
l2h14_z,tool_manually,tool,manually,-0.005717217922210693,0.0
l2h14_z,tool_out,tool,out,-0.004558265209197998,0.0
l2h14_z,tool_properly,tool,properly,-0.006759762763977051,0.0
l2h14_z_centered,no_tool_manually,no_tool,manually,0.9690022096037865,1.0
l2h14_z_centered,no_tool_out,no_tool,out,-0.4064561799168587,0.0
l2h14_z_centered,no_tool_properly,no_tool,properly,1.0115721970796585,1.0
l2h14_z_centered,original_clean,tool,original,-0.2682642862200737,0.40824622531939603
l2h14_z_centered,original_corrupt,no_tool,original,-0.7973292469978333,0.3228803716608595
l2h14_z_centered,tool_manually,tool,manually,-1.3481629490852356,0.0
l2h14_z_centered,tool_out,tool,out,-0.03900083899497986,0.006387921022067364
l2h14_z_centered,tool_properly,tool,properly,-0.7805441804230213,0.0
mlp11_out,no_tool_manually,no_tool,manually,0.0017528235912322998,0.9994192799070848
mlp11_out,no_tool_out,no_tool,out,-0.0014653801918029785,0.15156794425087108
mlp11_out,no_tool_properly,no_tool,properly,0.003982752561569214,1.0
mlp11_out,original_clean,tool,original,0.004361957311630249,1.0
mlp11_out,original_corrupt,no_tool,original,0.002531379461288452,0.9227642276422764
mlp11_out,tool_manually,tool,manually,0.0022040903568267822,0.9988385598141696
mlp11_out,tool_out,tool,out,0.0026745200157165527,1.0
mlp11_out,tool_properly,tool,properly,-0.0013225376605987549,0.11556329849012775
mlp11_out_centered,no_tool_manually,no_tool,manually,0.6794528216123581,1.0
mlp11_out_centered,no_tool_out,no_tool,out,0.026853613555431366,0.5389082462253194
mlp11_out_centered,no_tool_properly,no_tool,properly,0.8509782738983631,1.0
mlp11_out_centered,original_clean,tool,original,1.1202330887317657,1.0
mlp11_out_centered,original_corrupt,no_tool,original,0.6151122152805328,0.9349593495934959
mlp11_out_centered,tool_manually,tool,manually,0.8096919134259224,1.0
mlp11_out_centered,tool_out,tool,out,0.6620767507702112,1.0
mlp11_out_centered,tool_properly,tool,properly,0.13279957324266434,0.7340301974448316
