space,variant,semantic,frame,semantic_margin_median,semantic_correct_rate
l2h14_lead_k,no_tool_manually,no_tool,manually,0.0041277408599853516,1.0
l2h14_lead_k,no_tool_out,no_tool,out,-0.02328038215637207,0.0
l2h14_lead_k,no_tool_properly,no_tool,properly,0.006522655487060547,1.0
l2h14_lead_k,original_clean,tool,original,0.019519925117492676,0.7
l2h14_lead_k,original_corrupt,no_tool,original,-5.5670738220214844e-05,0.5
l2h14_lead_k,tool_manually,tool,manually,-0.04749178886413574,0.0
l2h14_lead_k,tool_out,tool,out,-0.012969881296157837,0.0
l2h14_lead_k,tool_properly,tool,properly,-0.0345151424407959,0.0
l2h14_lead_k_centered,no_tool_manually,no_tool,manually,0.3546292781829834,1.0
l2h14_lead_k_centered,no_tool_out,no_tool,out,-0.3682510703802109,0.0
l2h14_lead_k_centered,no_tool_properly,no_tool,properly,0.5045822411775589,1.0
l2h14_lead_k_centered,original_clean,tool,original,0.5429705381393433,0.7
l2h14_lead_k_centered,original_corrupt,no_tool,original,-0.03149566426873207,0.5
l2h14_lead_k_centered,tool_manually,tool,manually,-1.0991376638412476,0.0
l2h14_lead_k_centered,tool_out,tool,out,0.005070209503173828,1.0
l2h14_lead_k_centered,tool_properly,tool,properly,-0.7117360383272171,0.0
l2h14_z,no_tool_manually,no_tool,manually,0.0022264719009399414,1.0
l2h14_z,no_tool_out,no_tool,out,-0.00208166241645813,0.0
l2h14_z,no_tool_properly,no_tool,properly,0.0022732317447662354,1.0
l2h14_z,original_clean,tool,original,-6.80685043334961e-05,0.5
l2h14_z,original_corrupt,no_tool,original,-0.003796011209487915,0.4
l2h14_z,tool_manually,tool,manually,-0.005921155214309692,0.0
l2h14_z,tool_out,tool,out,-0.004751920700073242,0.0
l2h14_z,tool_properly,tool,properly,-0.007429540157318115,0.0
l2h14_z_centered,no_tool_manually,no_tool,manually,0.9688613042235374,1.0
l2h14_z_centered,no_tool_out,no_tool,out,-0.36885451525449753,0.0
l2h14_z_centered,no_tool_properly,no_tool,properly,1.004794716835022,1.0
l2h14_z_centered,original_clean,tool,original,-0.06759730726480484,0.5
l2h14_z_centered,original_corrupt,no_tool,original,-0.5115527212619781,0.4
l2h14_z_centered,tool_manually,tool,manually,-1.3471229672431946,0.0
l2h14_z_centered,tool_out,tool,out,-0.04206281900405884,0.0
l2h14_z_centered,tool_properly,tool,properly,-0.7769711501896381,0.0
mlp11_out,no_tool_manually,no_tool,manually,0.001802593469619751,1.0
mlp11_out,no_tool_out,no_tool,out,-0.0010653138160705566,0.05
mlp11_out,no_tool_properly,no_tool,properly,0.0040596723556518555,1.0
mlp11_out,original_clean,tool,original,0.004170268774032593,1.0
mlp11_out,original_corrupt,no_tool,original,0.0031069517135620117,0.95
mlp11_out,tool_manually,tool,manually,0.0021437108516693115,1.0
mlp11_out,tool_out,tool,out,0.002775341272354126,1.0
mlp11_out,tool_properly,tool,properly,-0.0013256072998046875,0.05
mlp11_out_centered,no_tool_manually,no_tool,manually,0.6787684485316277,1.0
mlp11_out_centered,no_tool_out,no_tool,out,0.13978853821754456,0.6
mlp11_out_centered,no_tool_properly,no_tool,properly,0.8868975378572941,1.0
mlp11_out_centered,original_clean,tool,original,1.1467065513134003,1.0
mlp11_out_centered,original_corrupt,no_tool,original,0.702456533908844,0.95
mlp11_out_centered,tool_manually,tool,manually,0.8383345529437065,1.0
mlp11_out_centered,tool_out,tool,out,0.6689729057252407,1.0
mlp11_out_centered,tool_properly,tool,properly,0.15755406767129898,0.7
