head,blocked_node,source_ratio_median,blocked_ratio_median,mediated_ratio_median,top1_rate
L16H8,MLP11,0.2722222222222222,0.2722222222222222,0.0,0.0011614401858304297
L16H8,MLP16,0.2722222222222222,0.16782118887823586,0.09907785143634201,0.0011614401858304297
L16H8,MLP19,0.2722222222222222,0.1963470319634703,0.07720588235294118,0.0011614401858304297
L17H2,MLP11,0.2511243319552284,0.2511243319552284,0.0,0.0005807200929152149
L17H2,MLP16,0.2511243319552284,0.2511243319552284,0.0,0.0005807200929152149
L17H2,MLP19,0.2511243319552284,0.22849891225525742,0.02615329077367383,0.0005807200929152149
L17H8,MLP11,0.3184644524374378,0.3184644524374378,0.0,0.0005807200929152149
L17H8,MLP16,0.3184644524374378,0.3184644524374378,0.0,0.0005807200929152149
L17H8,MLP19,0.3184644524374378,0.2527448397013614,0.06965861143076335,0.0005807200929152149
L20H5,MLP11,0.307643234704417,0.307643234704417,0.0,0.005226480836236934
L20H5,MLP16,0.307643234704417,0.307643234704417,0.0,0.005226480836236934
L20H5,MLP19,0.307643234704417,0.307643234704417,0.0,0.005226480836236934
L2H14,MLP11,0.0415587219343696,0.02997872418473277,0.009009009009009014,0.0
L2H14,MLP16,0.0415587219343696,0.04246822397801443,0.0,0.0
L2H14,MLP19,0.0415587219343696,0.044374120956399435,0.0,0.0
