node,mode,n_samples,tool_token_delta_median,no_tool_token_delta_median,tool_score_delta_median,no_tool_score_delta_median,decision_score_delta_median,tool_top1_rate,no_tool_top1_rate,direction_alignment_median,L16H4_projection_delta_median,MLP17_projection_delta_median,L23H6_projection_delta_median,L20H5_projection_delta_median,L21H1_projection_delta_median,L21H12_projection_delta_median,L24H6_projection_delta_median,MLP27_projection_delta_median
L16H4,inject_no_tool_into_clean,1722,-0.25,0.375,-0.009521484375,0.625,-0.6574287414550781,0.9860627177700348,0.011614401858304297,0.6480768024921417,2.3708128929138184,1.3839862942695618,3.844602346420288,1.5819261074066162,4.466769456863403,4.919313430786133,4.569092512130737,51.53032684326172
L23H6,inject_no_tool_into_clean,1722,-0.375,0.625,-0.0211181640625,0.859375,-0.9024658203125,0.9692218350754936,0.029616724738675958,0.9275494813919067,0.0,0.0,27.954184532165527,0.0,0.0,0.0,12.859551429748535,60.191383361816406
MLP17,inject_no_tool_into_clean,1722,-0.625,1.125,-0.08251953125,1.462890625,-1.592041015625,0.9041811846689896,0.09407665505226481,0.6512205004692078,0.0,18.79401969909668,4.612267017364502,3.517374634742737,6.4786670207977295,7.030174255371094,12.383768558502197,111.54307556152344
