space,variant,frame,delivery_object,object_margin_median,object_correct_rate
l2h14_lead_k,develop_answer,develop,answer,0.0,0.2601626016260163
l2h14_lead_k,develop_file,develop,file,0.0,0.2880371660859466
l2h14_lead_k,write_answer,write,answer,0.0,0.2880371660859466
l2h14_lead_k,write_file,write,file,0.0,0.2601626016260163
l2h14_lead_k_centered,develop_answer,develop,answer,0.0,0.2787456445993031
l2h14_lead_k_centered,develop_file,develop,file,0.0,0.2938443670150987
l2h14_lead_k_centered,write_answer,write,answer,0.0,0.2938443670150987
l2h14_lead_k_centered,write_file,write,file,0.0,0.2787456445993031
l2h14_z,develop_answer,develop,answer,0.030592262744903564,1.0
l2h14_z,develop_file,develop,file,0.04467788338661194,1.0
l2h14_z,write_answer,write,answer,0.0332811176776886,1.0
l2h14_z,write_file,write,file,0.020748525857925415,1.0
l2h14_z_centered,develop_answer,develop,answer,1.0808743238449097,1.0
l2h14_z_centered,develop_file,develop,file,1.4440945386886597,1.0
l2h14_z_centered,write_answer,write,answer,1.3938629031181335,1.0
l2h14_z_centered,write_file,write,file,0.8135097026824951,1.0
mlp11_out,develop_answer,develop,answer,0.018708795309066772,1.0
mlp11_out,develop_file,develop,file,0.026932120323181152,1.0
mlp11_out,write_answer,write,answer,0.030696362257003784,1.0
mlp11_out,write_file,write,file,0.021939724683761597,1.0
mlp11_out_centered,develop_answer,develop,answer,1.6343262791633606,1.0
mlp11_out_centered,develop_file,develop,file,1.8186407089233398,1.0
mlp11_out_centered,write_answer,write,answer,1.833984375,1.0
mlp11_out_centered,write_file,write,file,1.7161824703216553,1.0
