node,write_vs_develop_direction_cosine_median,global_direction_norm_median,write_delta_norm_median,develop_delta_norm_median
L2H14,0.971807211637497,1.0,0.2208840623497963,0.26592595875263214
MLP11,0.9070960879325867,1.0,10.258453369140625,9.200957775115967
MLP16,0.8713625371456146,1.0,34.659780502319336,33.62042808532715
MLP19,0.8686969876289368,1.0,85.2456169128418,83.32506561279297
L20H5,0.8441232144832611,1.0,13.662153720855713,11.738380432128906
L21H1,0.859375536441803,1.0,15.16541576385498,9.42981243133545
L21H12,0.8680519163608551,1.0,13.809120178222656,16.20939350128174
L24H6,0.9890848994255066,1.0,45.033790588378906,53.92920684814453
MLP27,0.7425990104675293,1.0,281.68568420410156,216.69781494140625
