step_idx,stage_label,nodes,n_samples,tool_token_delta_median,no_tool_token_delta_median,tool_score_delta_median,no_tool_score_delta_median,decision_score_delta_median,tool_top1_rate,no_tool_top1_rate,L20H5_projection_delta_median,L21H1_projection_delta_median,L21H12_projection_delta_median,L24H6_projection_delta_median,MLP27_projection_delta_median
1,read_only,L16H4,1722,-0.25,0.375,-0.009521484375,0.625,-0.6574287414550781,0.9860627177700348,0.011614401858304297,1.5819261074066162,4.466769456863403,4.919313430786133,4.569092512130737,51.53032684326172
2,writer_added,L16H4|MLP17,1722,-1.0,1.625,-0.24609375,2.0703125,-2.41357421875,0.7061556329849012,0.289198606271777,4.936193466186523,10.92796802520752,11.668536186218262,20.01719570159912,166.9011993408203
3,late_relay_added,L16H4|MLP17|L23H6,1722,-1.625,2.75,-1.0859375,2.73779296875,-3.95068359375,0.2038327526132404,0.7828106852497096,4.936193466186523,10.92796802520752,11.668536186218262,48.364511489868164,265.07659912109375
