node,mode,n_samples,tool_token_delta_median,no_tool_token_delta_median,tool_score_delta_median,no_tool_score_delta_median,decision_score_delta_median,tool_top1_rate,no_tool_top1_rate,direction_alignment_median,L16H4_projection_delta_median,MLP17_projection_delta_median,L23H6_projection_delta_median,L20H5_projection_delta_median,L21H1_projection_delta_median,L21H12_projection_delta_median,L24H6_projection_delta_median,MLP27_projection_delta_median
L16H4,inject_no_tool_into_clean,1223,-0.25,0.375,-0.00958251953125,0.609375,-0.63104248046875,0.9869174161896974,0.0098119378577269,0.6437433362007141,2.355747699737549,1.3641629219055176,3.793337821960449,1.5511972904205322,4.493659019470215,4.833423614501953,4.6559906005859375,50.58269119262695
L23H6,inject_no_tool_into_clean,1223,-0.375,0.625,-0.02197265625,0.859375,-0.8935546875,0.9754701553556828,0.0237121831561733,0.9262148141860962,0.0,0.0,27.834762573242188,0.0,0.0,0.0,12.86172103881836,60.56287384033203
MLP17,inject_no_tool_into_clean,1223,-0.625,1.125,-0.08544921875,1.453125,-1.5859375,0.9010629599345872,0.098119378577269,0.6495018005371094,0.0,18.855411529541016,4.50511360168457,3.549436092376709,6.391203880310059,7.124560356140137,12.308638572692873,110.86199188232422
