head,layer,set,n,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool,tool_mass_mean,no_tool_mass_mean
L2H14,2,contrast,1189,0.010672405362129211,0.016953108832240105,0.006280703470110893,0.014642215563576508,0.02074163114472666
L2H14,2,prefix_16,1189,0.13968074321746826,0.1296014040708542,-0.010079339146614075,0.13839318409023213,0.1311608956730396
L2H14,2,recent_32,1189,0.14002275466918945,0.12894243001937866,-0.011080324649810791,0.13357048776216923,0.12589666827623336
L2H14,2,tool_call_tags,1189,0.0032522487454116344,0.003083578310906887,-0.0001686704345047474,0.0032682059736314556,0.0031286041792583964
L2H14,2,tools_block,1189,0.145196795463562,0.1356075555086136,-0.009589239954948425,0.14410460355579602,0.13832677274792007
L2H14,2,user_block,1189,0.31357571482658386,0.36576926708221436,0.05219355225563049,0.3223871240052383,0.35473327569293817
L16H4,16,contrast,1189,0.011564457789063454,0.00636657839640975,-0.005197879392653704,0.013153522567454603,0.00750065833905671
L16H4,16,prefix_16,1189,0.11689294874668121,0.11055555939674377,-0.006337389349937439,0.12404326956070602,0.11738766637404392
L16H4,16,recent_32,1189,0.6237791776657104,0.6279624104499817,0.00418323278427124,0.6156861151688434,0.614436592872249
L16H4,16,tool_call_tags,1189,0.00014892322360537946,0.00014309780090115964,-5.825422704219818e-06,0.00016468829188147902,0.00015106522911508018
L16H4,16,tools_block,1189,0.022622335702180862,0.01768459379673004,-0.004937741905450821,0.02350065426915082,0.01827589509565355
L16H4,16,user_block,1189,0.4571993350982666,0.5185086727142334,0.0613093376159668,0.46153130578433293,0.5215992627522843
L16H8,16,contrast,1189,0.004435913171619177,0.00317179667763412,-0.0012641164939850569,0.004828124615709204,0.003266317646273336
L16H8,16,prefix_16,1189,0.060965411365032196,0.06264200061559677,0.0016765892505645752,0.060724047929850616,0.06384205717602831
L16H8,16,recent_32,1189,0.2409474402666092,0.27026453614234924,0.02931709587574005,0.24329732892340827,0.2747621748555699
L16H8,16,tool_call_tags,1189,0.0015772506594657898,0.0021546001080423594,0.0005773494485765696,0.0016549479602984895,0.0022219973959967092
