step_idx,nodes,rescue_ratio_median,decision_score_median,no_tool_top1_rate,boundary_flip_rate
1,L16H4,0.19777256258234518,-2.509674072265625,0.011614401858304297,0.0011614401858304297
2,L16H4|MLP17,0.6053221619070097,-0.99609375,0.2456445993031359,0.17886178861788618
3,L16H4|MLP17|L23H6,0.7951188500937816,-0.0859375,0.516260162601626,0.4738675958188153
